day,month,year,date
3,7,1992,1992-07-03
3,8,1970,1970-08-03
20,4,1997,1997-04-20
23,2,1978,1978-02-23
30,9,1992,1992-09-30
29,1,1983,1983-01-29
22,4,2011,2011-04-22
18,9,2004,2004-09-18
9,8,2006,2006-08-09
8,7,2007,2007-07-08
11,6,1986,1986-06-11
11,10,2016,2016-10-11
13,2,1995,1995-02-13
2,5,1978,1978-05-02
29,10,1995,1995-10-29
11,12,1973,1973-12-11
6,1,1996,1996-01-06
16,2,1971,1971-02-16
15,4,2023,2023-04-15
25,1,1988,1988-01-25
16,6,2013,2013-06-16
30,1,1982,1982-01-30
8,1,1972,1972-01-08
30,11,1977,1977-11-30
1,7,2011,2011-07-01
10,2,1976,1976-02-10
14,2,2014,2014-02-14
6,6,1996,1996-06-06
22,3,1977,1977-03-22
30,1,1975,1975-01-30
15,6,1997,1997-06-15
28,5,2024,2024-05-28
20,8,2006,2006-08-20
20,6,1974,1974-06-20
20,9,1988,1988-09-20
18,8,2020,2020-08-18
12,7,1995,1995-07-12
19,6,2024,2024-06-19
14,4,1983,1983-04-14
18,11,1987,1987-11-18
9,6,2005,2005-06-09
17,3,2004,2004-03-17
9,3,1992,1992-03-09
19,8,1999,1999-08-19
15,10,1972,1972-10-15
20,12,1993,1993-12-20
12,9,2013,2013-09-12
8,8,1987,1987-08-08
24,4,1985,1985-04-24
26,10,1989,1989-10-26
30,4,1983,1983-04-30
14,3,2020,2020-03-14
11,10,2007,2007-10-11
14,10,1985,1985-10-14
3,9,2004,2004-09-03
25,10,1992,1992-10-25
9,9,2004,2004-09-09
26,9,2009,2009-09-26
17,11,1999,1999-11-17
14,9,2015,2015-09-14
24,1,2004,2004-01-24
6,12,1982,1982-12-06
4,5,1983,1983-05-04
2,2,2005,2005-02-02
3,7,1990,1990-07-03
21,6,1970,1970-06-21
1,3,1971,1971-03-01
27,10,2007,2007-10-27
15,6,2000,2000-06-15
26,10,1987,1987-10-26
23,11,1998,1998-11-23
16,6,1986,1986-06-16
20,1,1995,1995-01-20
29,8,1999,1999-08-29
8,10,1983,1983-10-08
6,3,1986,1986-03-06
16,10,2018,2018-10-16
25,12,1976,1976-12-25
13,1,1974,1974-01-13
18,5,1988,1988-05-18
7,6,1972,1972-06-07
11,9,2008,2008-09-11
29,12,2010,2010-12-29
16,11,2019,2019-11-16
27,9,1996,1996-09-27
4,8,2018,2018-08-04
17,4,2024,2024-04-17
30,8,2005,2005-08-30
29,8,2002,2002-08-29
31,3,2019,2019-03-31
11,12,1995,1995-12-11
20,8,1971,1971-08-20
31,5,1983,1983-05-31
23,10,1986,1986-10-23
13,11,1991,1991-11-13
20,11,1988,1988-11-20
9,12,1972,1972-12-09
12,5,1973,1973-05-12
10,4,1981,1981-04-10
29,7,2022,2022-07-29
11,12,1977,1977-12-11
17,7,2015,2015-07-17
14,3,1981,1981-03-14
21,6,1992,1992-06-21
21,8,2002,2002-08-21
29,12,1981,1981-12-29
14,12,2022,2022-12-14
9,5,1970,1970-05-09
2,12,2017,2017-12-02
9,1,1995,1995-01-09
9,5,1975,1975-05-09
20,6,2014,2014-06-20
29,8,1972,1972-08-29
18,5,2021,2021-05-18
30,4,1996,1996-04-30
17,11,1997,1997-11-17
4,6,2016,2016-06-04
2,12,2022,2022-12-02
19,12,2004,2004-12-19
25,9,2002,2002-09-25
5,12,1970,1970-12-05
20,7,1973,1973-07-20
16,10,2004,2004-10-16
12,7,1989,1989-07-12
16,7,2022,2022-07-16
13,5,2001,2001-05-13
7,4,2015,2015-04-07
3,3,1985,1985-03-03
22,8,1987,1987-08-22
16,7,2008,2008-07-16
7,4,2013,2013-04-07
23,4,2018,2018-04-23
31,1,2002,2002-01-31
6,5,2014,2014-05-06
9,12,1984,1984-12-09
20,8,2016,2016-08-20
12,12,1992,1992-12-12
6,6,1970,1970-06-06
24,3,1988,1988-03-24
13,1,2003,2003-01-13
21,9,1990,1990-09-21
18,10,1972,1972-10-18
5,7,1985,1985-07-05
10,1,2002,2002-01-10
6,9,1995,1995-09-06
29,6,1986,1986-06-29
7,10,2019,2019-10-07
30,1,1983,1983-01-30
29,5,1998,1998-05-29
10,11,1999,1999-11-10
3,10,1986,1986-10-03
22,7,1978,1978-07-22
5,6,1997,1997-06-05
8,2,1987,1987-02-08
30,6,2019,2019-06-30
18,1,1973,1973-01-18
1,8,1988,1988-08-01
31,12,2016,2016-12-31
18,5,1976,1976-05-18
30,12,1996,1996-12-30
31,1,1981,1981-01-31
17,10,2006,2006-10-17
22,6,2022,2022-06-22
22,11,1971,1971-11-22
30,11,1986,1986-11-30
6,10,1996,1996-10-06
3,6,1985,1985-06-03
1,6,1977,1977-06-01
25,12,1979,1979-12-25
10,12,2007,2007-12-10
1,10,1981,1981-10-01
19,8,1993,1993-08-19
30,7,1973,1973-07-30
3,9,2004,2004-09-03
10,11,1991,1991-11-10
31,7,1971,1971-07-31
13,3,1982,1982-03-13
3,5,2004,2004-05-03
8,11,2006,2006-11-08
14,6,1978,1978-06-14
23,4,1989,1989-04-23
20,4,1985,1985-04-20
11,7,2007,2007-07-11
1,11,2011,2011-11-01
23,3,2021,2021-03-23
24,6,1986,1986-06-24
19,9,2011,2011-09-19
30,8,1978,1978-08-30
31,7,1974,1974-07-31
3,9,2014,2014-09-03
11,9,2018,2018-09-11
23,6,1971,1971-06-23
19,5,1993,1993-05-19
13,3,1974,1974-03-13
26,6,1983,1983-06-26
9,10,1996,1996-10-09
31,12,1985,1985-12-31
6,2,1988,1988-02-06
1,2,1995,1995-02-01
8,2,1984,1984-02-08
22,11,1988,1988-11-22
6,10,2014,2014-10-06
29,4,2004,2004-04-29
16,4,1997,1997-04-16
3,3,2022,2022-03-03
10,4,2010,2010-04-10
24,4,2009,2009-04-24
25,10,2009,2009-10-25
27,1,1980,1980-01-27
22,9,1978,1978-09-22
9,7,1993,1993-07-09
18,10,2005,2005-10-18
5,11,2009,2009-11-05
13,11,1999,1999-11-13
14,5,1979,1979-05-14
16,3,1999,1999-03-16
13,1,2004,2004-01-13
18,4,2009,2009-04-18
27,2,1999,1999-02-27
9,7,2005,2005-07-09
25,2,1988,1988-02-25
15,10,2009,2009-10-15
28,4,2017,2017-04-28
4,9,1997,1997-09-04
19,12,2016,2016-12-19
27,4,2019,2019-04-27
23,1,1995,1995-01-23
12,12,2016,2016-12-12
18,10,2000,2000-10-18
21,9,1984,1984-09-21
12,9,2009,2009-09-12
2,1,1981,1981-01-02
16,2,1978,1978-02-16
21,8,1984,1984-08-21
18,8,1994,1994-08-18
10,9,1983,1983-09-10
19,7,1991,1991-07-19
7,4,1989,1989-04-07
22,1,1971,1971-01-22
6,1,1998,1998-01-06
9,9,1980,1980-09-09
3,9,1987,1987-09-03
18,11,2005,2005-11-18
19,7,2024,2024-07-19
18,8,2017,2017-08-18
23,10,2002,2002-10-23
12,5,2019,2019-05-12
17,5,1991,1991-05-17
21,7,2018,2018-07-21
26,9,1981,1981-09-26
9,11,1995,1995-11-09
18,2,1988,1988-02-18
13,6,1992,1992-06-13
27,6,1987,1987-06-27
14,8,2015,2015-08-14
14,11,2015,2015-11-14
19,1,2020,2020-01-19
28,9,1974,1974-09-28
24,9,1979,1979-09-24
2,2,2000,2000-02-02
4,2,1977,1977-02-04
17,3,2004,2004-03-17
3,7,2013,2013-07-03
29,8,2016,2016-08-29
27,12,1987,1987-12-27
18,4,1994,1994-04-18
14,1,1993,1993-01-14
27,8,1977,1977-08-27
7,12,1984,1984-12-07
10,7,2014,2014-07-10
23,2,1997,1997-02-23
19,4,2005,2005-04-19
1,1,2022,2022-01-01
10,3,2007,2007-03-10
22,4,2019,2019-04-22
31,3,1989,1989-03-31
12,1,2008,2008-01-12
1,7,1971,1971-07-01
18,5,1970,1970-05-18
4,9,2009,2009-09-04
27,1,1995,1995-01-27
22,5,1997,1997-05-22
12,8,2001,2001-08-12
31,7,1995,1995-07-31
13,5,1976,1976-05-13
6,8,1974,1974-08-06
14,7,1982,1982-07-14
15,11,1970,1970-11-15
4,3,1973,1973-03-04
14,8,1977,1977-08-14
26,1,1996,1996-01-26
22,2,1987,1987-02-22
9,6,2019,2019-06-09
22,6,2003,2003-06-22
17,9,2010,2010-09-17
17,9,1975,1975-09-17
29,3,1988,1988-03-29
11,2,2018,2018-02-11
19,11,2022,2022-11-19
4,5,1992,1992-05-04
20,1,2002,2002-01-20
23,2,1982,1982-02-23
17,7,1978,1978-07-17
6,4,1980,1980-04-06
30,10,1987,1987-10-30
2,6,2004,2004-06-02
24,5,1983,1983-05-24
5,11,1987,1987-11-05
20,1,1981,1981-01-20
2,1,2000,2000-01-02
23,8,1983,1983-08-23
16,7,1991,1991-07-16
20,4,2002,2002-04-20
3,4,2006,2006-04-03
31,10,1979,1979-10-31
30,6,1972,1972-06-30
12,7,1995,1995-07-12
28,8,2006,2006-08-28
12,12,2013,2013-12-12
14,2,1984,1984-02-14
10,9,1994,1994-09-10
3,2,1994,1994-02-03
22,1,1977,1977-01-22
27,9,2014,2014-09-27
16,12,2003,2003-12-16
15,4,2001,2001-04-15
11,11,1988,1988-11-11
9,12,1973,1973-12-09
1,3,2016,2016-03-01
19,9,1998,1998-09-19
30,3,2021,2021-03-30
29,10,2002,2002-10-29
4,4,1989,1989-04-04
22,12,2007,2007-12-22
17,9,2017,2017-09-17
11,1,1980,1980-01-11
22,9,1976,1976-09-22
27,5,2000,2000-05-27
2,6,1981,1981-06-02
30,5,1992,1992-05-30
25,8,2015,2015-08-25
10,5,2021,2021-05-10
28,9,2009,2009-09-28
24,4,1975,1975-04-24
9,3,1987,1987-03-09
6,4,2011,2011-04-06
20,2,2018,2018-02-20
11,2,2019,2019-02-11
16,5,2003,2003-05-16
4,6,1985,1985-06-04
10,1,1978,1978-01-10
8,4,2024,2024-04-08
18,9,2005,2005-09-18
6,4,1983,1983-04-06
11,3,1997,1997-03-11
14,1,1975,1975-01-14
23,12,2000,2000-12-23
18,10,1992,1992-10-18
15,3,1976,1976-03-15
21,12,1974,1974-12-21
27,8,1977,1977-08-27
4,5,1978,1978-05-04
8,3,1978,1978-03-08
30,1,2005,2005-01-30
11,10,1973,1973-10-11
13,7,2022,2022-07-13
24,12,1978,1978-12-24
1,6,1997,1997-06-01
23,1,2020,2020-01-23
19,9,1987,1987-09-19
29,8,1989,1989-08-29
4,9,2010,2010-09-04
18,3,2010,2010-03-18
11,7,1989,1989-07-11
10,2,1976,1976-02-10
17,11,2016,2016-11-17
24,5,1998,1998-05-24
27,12,2005,2005-12-27
16,5,1972,1972-05-16
23,4,1980,1980-04-23
11,9,1976,1976-09-11
12,11,1996,1996-11-12
1,2,1984,1984-02-01
7,11,2021,2021-11-07
12,6,2024,2024-06-12
14,7,2020,2020-07-14
27,10,1994,1994-10-27
16,4,2019,2019-04-16
15,6,2017,2017-06-15
2,3,1981,1981-03-02
1,8,2006,2006-08-01
22,1,1995,1995-01-22
17,12,2017,2017-12-17
11,10,1971,1971-10-11
9,2,2016,2016-02-09
11,5,1985,1985-05-11
5,2,2019,2019-02-05
3,6,1983,1983-06-03
21,9,2012,2012-09-21
1,6,1992,1992-06-01
29,3,1986,1986-03-29
17,6,1997,1997-06-17
29,7,2014,2014-07-29
30,1,2015,2015-01-30
12,10,1992,1992-10-12
6,8,2005,2005-08-06
5,12,2007,2007-12-05
12,9,2001,2001-09-12
13,7,2024,2024-07-13
21,4,1981,1981-04-21
3,3,1990,1990-03-03
25,11,1972,1972-11-25
16,7,2016,2016-07-16
27,8,1987,1987-08-27
31,1,1988,1988-01-31
4,1,2006,2006-01-04
4,9,1987,1987-09-04
23,4,1972,1972-04-23
18,8,2020,2020-08-18
6,11,1997,1997-11-06
6,2,2017,2017-02-06
28,11,2005,2005-11-28
29,8,2024,2024-08-29
22,1,1973,1973-01-22
11,10,2022,2022-10-11
20,1,2009,2009-01-20
15,6,2003,2003-06-15
25,7,1988,1988-07-25
30,8,1980,1980-08-30
30,3,1998,1998-03-30
1,10,2014,2014-10-01
20,1,2016,2016-01-20
29,11,2007,2007-11-29
25,9,2017,2017-09-25
23,11,2003,2003-11-23
20,3,2011,2011-03-20
5,8,1988,1988-08-05
5,6,1976,1976-06-05
24,10,1984,1984-10-24
27,9,1990,1990-09-27
2,7,2002,2002-07-02
22,9,2013,2013-09-22
2,5,2000,2000-05-02
6,9,2020,2020-09-06
8,8,1985,1985-08-08
23,3,1996,1996-03-23
8,4,2019,2019-04-08
23,7,2009,2009-07-23
21,3,1983,1983-03-21
25,2,1983,1983-02-25
17,2,1974,1974-02-17
13,11,1989,1989-11-13
22,7,1999,1999-07-22
11,3,1985,1985-03-11
6,7,2009,2009-07-06
24,2,2012,2012-02-24
15,10,1981,1981-10-15
25,6,1985,1985-06-25
4,7,2006,2006-07-04
25,8,2003,2003-08-25
1,2,1971,1971-02-01
9,4,1972,1972-04-09
11,4,2024,2024-04-11
11,1,1989,1989-01-11
4,7,2009,2009-07-04
25,11,2016,2016-11-25
29,6,2000,2000-06-29
23,9,2017,2017-09-23
3,11,2001,2001-11-03
15,6,1975,1975-06-15
26,7,2019,2019-07-26
2,12,1970,1970-12-02
14,9,2000,2000-09-14
7,1,1980,1980-01-07
18,2,1976,1976-02-18
17,11,2011,2011-11-17
20,8,2007,2007-08-20
29,2,2020,2020-02-29
20,7,2018,2018-07-20
3,11,1996,1996-11-03
11,5,1993,1993-05-11
12,1,2012,2012-01-12
7,12,2014,2014-12-07
20,2,2022,2022-02-20
12,2,1986,1986-02-12
2,11,2011,2011-11-02
23,7,2009,2009-07-23
5,3,1996,1996-03-05
1,12,1991,1991-12-01
26,9,2003,2003-09-26
1,11,2019,2019-11-01
10,12,1978,1978-12-10
25,10,1981,1981-10-25
8,3,1980,1980-03-08
27,9,2023,2023-09-27
12,1,2008,2008-01-12
14,2,1991,1991-02-14
15,10,2019,2019-10-15
15,4,2021,2021-04-15
30,8,1989,1989-08-30
30,6,2024,2024-06-30
6,7,2001,2001-07-06
10,4,2020,2020-04-10
4,8,2002,2002-08-04
28,12,1987,1987-12-28
30,8,2018,2018-08-30
20,2,1998,1998-02-20
9,5,2010,2010-05-09
13,11,2011,2011-11-13
28,7,2024,2024-07-28
14,1,1983,1983-01-14
15,12,1976,1976-12-15
30,5,2011,2011-05-30
5,8,2017,2017-08-05
13,10,2022,2022-10-13
19,7,1985,1985-07-19
4,6,2016,2016-06-04
3,6,2015,2015-06-03
2,1,2017,2017-01-02
6,7,1982,1982-07-06
9,6,2015,2015-06-09
1,7,2000,2000-07-01
27,12,1975,1975-12-27
17,6,1981,1981-06-17
23,3,2010,2010-03-23
16,8,1995,1995-08-16
11,12,1979,1979-12-11
27,1,1984,1984-01-27
27,12,1995,1995-12-27
28,12,1970,1970-12-28
21,11,1989,1989-11-21
5,10,1976,1976-10-05
28,8,2004,2004-08-28
23,11,2019,2019-11-23
15,9,1990,1990-09-15
14,7,2005,2005-07-14
26,8,2006,2006-08-26
11,9,1993,1993-09-11
25,4,1990,1990-04-25
2,5,2012,2012-05-02
29,5,1974,1974-05-29
29,5,1996,1996-05-29
8,11,2012,2012-11-08
29,9,2008,2008-09-29
23,1,2002,2002-01-23
25,8,2000,2000-08-25
30,10,2001,2001-10-30
11,6,2008,2008-06-11
16,10,2006,2006-10-16
10,8,1973,1973-08-10
5,8,1978,1978-08-05
3,2,1972,1972-02-03
7,7,2006,2006-07-07
5,1,1974,1974-01-05
10,9,2011,2011-09-10
24,8,2024,2024-08-24
20,12,2008,2008-12-20
19,8,1982,1982-08-19
1,9,1993,1993-09-01
30,4,1998,1998-04-30
11,3,1970,1970-03-11
12,12,2022,2022-12-12
5,10,2004,2004-10-05
18,8,1971,1971-08-18
18,6,1988,1988-06-18
24,6,2007,2007-06-24
20,4,2002,2002-04-20
16,9,2015,2015-09-16
6,7,2020,2020-07-06
24,4,1998,1998-04-24
16,6,1971,1971-06-16
2,1,1987,1987-01-02
30,1,2015,2015-01-30
3,1,2022,2022-01-03
27,5,2008,2008-05-27
17,7,1975,1975-07-17
18,11,1985,1985-11-18
28,4,1974,1974-04-28
3,5,2014,2014-05-03
5,11,1998,1998-11-05
5,7,2002,2002-07-05
14,9,1973,1973-09-14
16,6,2007,2007-06-16
25,9,1982,1982-09-25
20,4,2000,2000-04-20
11,1,2010,2010-01-11
14,11,1975,1975-11-14
10,12,2019,2019-12-10
8,12,2019,2019-12-08
13,10,2010,2010-10-13
26,12,1978,1978-12-26
14,11,2023,2023-11-14
7,2,1975,1975-02-07
4,10,1971,1971-10-04
2,1,1980,1980-01-02
17,9,2012,2012-09-17
30,1,2004,2004-01-30
8,11,1971,1971-11-08
5,3,1986,1986-03-05
15,8,2007,2007-08-15
2,8,2000,2000-08-02
30,4,1985,1985-04-30
21,6,1985,1985-06-21
14,7,1999,1999-07-14
20,11,2008,2008-11-20
23,4,2009,2009-04-23
11,6,1972,1972-06-11
24,12,2011,2011-12-24
21,5,2009,2009-05-21
16,9,2016,2016-09-16
24,3,1980,1980-03-24
27,7,2023,2023-07-27
26,7,1991,1991-07-26
7,6,2005,2005-06-07
2,11,2000,2000-11-02
11,3,2008,2008-03-11
21,3,2012,2012-03-21
9,10,2000,2000-10-09
6,9,1997,1997-09-06
25,8,2009,2009-08-25
21,9,1996,1996-09-21
14,3,2009,2009-03-14
2,5,1983,1983-05-02
11,1,2001,2001-01-11
24,3,1970,1970-03-24
8,9,1988,1988-09-08
28,2,2018,2018-02-28
27,2,1983,1983-02-27
6,8,2019,2019-08-06
21,9,1992,1992-09-21
5,4,2020,2020-04-05
4,8,2008,2008-08-04
6,10,1990,1990-10-06
18,4,1978,1978-04-18
8,1,2002,2002-01-08
10,6,1974,1974-06-10
20,3,1986,1986-03-20
4,2,2010,2010-02-04
1,11,1981,1981-11-01
9,11,1995,1995-11-09
6,7,1976,1976-07-06
11,7,1976,1976-07-11
4,3,1982,1982-03-04
28,4,2014,2014-04-28
4,5,1990,1990-05-04
8,6,1976,1976-06-08
8,12,2012,2012-12-08
22,6,2012,2012-06-22
17,9,1997,1997-09-17
23,3,2011,2011-03-23
20,7,1972,1972-07-20
8,7,2009,2009-07-08
3,2,1985,1985-02-03
4,10,1971,1971-10-04
25,8,2007,2007-08-25
20,12,1979,1979-12-20
21,7,1992,1992-07-21
3,5,1999,1999-05-03
26,5,2008,2008-05-26
1,10,1990,1990-10-01
18,7,2018,2018-07-18
26,2,2008,2008-02-26
2,2,2004,2004-02-02
11,6,2017,2017-06-11
19,7,1994,1994-07-19
22,5,1979,1979-05-22
3,5,1971,1971-05-03
9,8,2024,2024-08-09
22,10,2001,2001-10-22
18,11,1993,1993-11-18
9,7,2011,2011-07-09
2,2,2023,2023-02-02
3,12,2011,2011-12-03
30,4,2018,2018-04-30
16,6,2017,2017-06-16
24,4,2013,2013-04-24
13,1,1981,1981-01-13
28,6,2023,2023-06-28
5,10,1995,1995-10-05
30,5,2002,2002-05-30
19,5,2013,2013-05-19
6,7,2007,2007-07-06
15,10,2011,2011-10-15
18,10,2001,2001-10-18
26,12,1988,1988-12-26
3,9,2019,2019-09-03
5,7,2013,2013-07-05
5,2,1997,1997-02-05
15,3,1972,1972-03-15
5,11,1975,1975-11-05
19,1,2012,2012-01-19
10,11,2002,2002-11-10
27,8,2014,2014-08-27
14,3,1996,1996-03-14
20,11,2004,2004-11-20
21,4,1983,1983-04-21
8,4,1985,1985-04-08
17,4,2012,2012-04-17
20,5,1992,1992-05-20
6,4,2018,2018-04-06
1,6,2014,2014-06-01
5,3,2003,2003-03-05
16,8,1971,1971-08-16
4,11,2017,2017-11-04
10,9,1975,1975-09-10
9,7,2010,2010-07-09
8,6,1986,1986-06-08
21,9,2010,2010-09-21
5,10,2020,2020-10-05
1,5,2010,2010-05-01
7,8,2017,2017-08-07
18,6,2006,2006-06-18
23,3,1984,1984-03-23
15,8,2023,2023-08-15
4,7,1977,1977-07-04
31,1,2015,2015-01-31
17,4,1970,1970-04-17
14,11,1972,1972-11-14
21,6,1977,1977-06-21
2,11,1977,1977-11-02
4,8,2011,2011-08-04
12,11,1981,1981-11-12
26,7,2024,2024-07-26
24,11,2023,2023-11-24
30,9,2011,2011-09-30
23,11,1984,1984-11-23
20,12,2009,2009-12-20
4,4,2001,2001-04-04
11,1,1987,1987-01-11
25,2,1996,1996-02-25
2,11,2002,2002-11-02
1,8,1977,1977-08-01
24,11,1981,1981-11-24
8,12,1996,1996-12-08
11,1,2005,2005-01-11
5,2,2023,2023-02-05
26,6,2005,2005-06-26
18,11,1977,1977-11-18
18,7,2009,2009-07-18
25,11,1978,1978-11-25
11,9,2003,2003-09-11
13,7,2009,2009-07-13
3,4,1975,1975-04-03
7,6,2007,2007-06-07
14,9,1988,1988-09-14
30,5,2011,2011-05-30
7,10,1979,1979-10-07
31,10,1993,1993-10-31
5,1,2004,2004-01-05
6,11,2011,2011-11-06
24,4,2018,2018-04-24
31,3,1972,1972-03-31
15,2,2001,2001-02-15
9,1,2002,2002-01-09
4,9,1979,1979-09-04
12,1,2020,2020-01-12
6,7,1973,1973-07-06
22,11,1997,1997-11-22
18,8,1978,1978-08-18
30,12,2001,2001-12-30
27,2,2021,2021-02-27
23,8,1982,1982-08-23
7,4,1972,1972-04-07
24,7,1988,1988-07-24
14,10,1998,1998-10-14
3,4,2001,2001-04-03
22,10,2004,2004-10-22
23,4,2020,2020-04-23
17,11,2017,2017-11-17
7,8,1978,1978-08-07
20,4,1986,1986-04-20
30,5,1987,1987-05-30
16,9,2006,2006-09-16
26,7,2010,2010-07-26
4,8,1973,1973-08-04
2,5,1997,1997-05-02
24,8,1984,1984-08-24
4,4,1987,1987-04-04
1,6,1983,1983-06-01
26,11,1977,1977-11-26
23,9,2001,2001-09-23
22,12,2007,2007-12-22
17,5,1988,1988-05-17
18,9,1976,1976-09-18
3,8,2016,2016-08-03
8,4,1997,1997-04-08
27,10,1999,1999-10-27
22,11,1982,1982-11-22
29,1,2018,2018-01-29
17,8,2015,2015-08-17
11,4,1985,1985-04-11
16,4,1978,1978-04-16
10,12,2000,2000-12-10
29,3,1991,1991-03-29
15,8,2015,2015-08-15
31,3,2002,2002-03-31
30,7,2024,2024-07-30
6,9,1998,1998-09-06
18,10,1982,1982-10-18
2,10,2006,2006-10-02
20,1,2009,2009-01-20
23,3,1973,1973-03-23
15,11,2018,2018-11-15
30,1,1971,1971-01-30
15,7,1982,1982-07-15
26,8,2020,2020-08-26
22,8,1991,1991-08-22
4,1,2010,2010-01-04
26,9,1976,1976-09-26
26,4,1996,1996-04-26
11,1,2005,2005-01-11
29,8,1975,1975-08-29
11,2,2016,2016-02-11
2,12,1994,1994-12-02
6,7,1990,1990-07-06
6,2,1983,1983-02-06
6,11,1995,1995-11-06
29,12,1992,1992-12-29
14,9,2019,2019-09-14
8,12,1984,1984-12-08
26,5,1995,1995-05-26
15,8,2024,2024-08-15
6,1,1994,1994-01-06
3,8,1993,1993-08-03
30,8,1984,1984-08-30
22,11,2001,2001-11-22
1,4,2020,2020-04-01
1,5,1971,1971-05-01
19,4,2018,2018-04-19
31,1,1972,1972-01-31
17,11,1981,1981-11-17
27,6,2010,2010-06-27
18,1,1993,1993-01-18
23,8,2008,2008-08-23
20,7,2024,2024-07-20
28,4,1991,1991-04-28
5,9,2024,2024-09-05
28,4,2019,2019-04-28
4,4,2022,2022-04-04
26,2,1986,1986-02-26
22,8,1974,1974-08-22
16,7,1980,1980-07-16
12,2,2005,2005-02-12
11,10,1981,1981-10-11
13,4,2022,2022-04-13
24,4,2015,2015-04-24
24,3,1974,1974-03-24
7,12,1986,1986-12-07
1,5,1991,1991-05-01
14,11,2015,2015-11-14
18,5,2010,2010-05-18
18,8,2020,2020-08-18
19,10,1971,1971-10-19
22,2,2012,2012-02-22
30,5,2012,2012-05-30
18,5,2014,2014-05-18
14,2,1997,1997-02-14
9,3,1995,1995-03-09
21,3,2024,2024-03-21
10,7,2023,2023-07-10
22,11,2010,2010-11-22
6,4,2008,2008-04-06
8,7,2010,2010-07-08
26,3,1999,1999-03-26
30,8,2023,2023-08-30
22,2,2014,2014-02-22
27,9,1971,1971-09-27
10,12,1985,1985-12-10
26,1,1994,1994-01-26
27,10,2005,2005-10-27
9,6,1971,1971-06-09
27,7,2011,2011-07-27
5,7,1990,1990-07-05
5,9,1977,1977-09-05
18,7,1991,1991-07-18
28,8,1996,1996-08-28
30,1,2014,2014-01-30
23,2,1997,1997-02-23
26,9,2007,2007-09-26
4,9,2011,2011-09-04
23,11,1981,1981-11-23
27,11,1981,1981-11-27
30,10,2000,2000-10-30
3,5,1981,1981-05-03
21,3,2023,2023-03-21
16,11,1999,1999-11-16
22,1,2018,2018-01-22
6,9,2005,2005-09-06
9,4,1988,1988-04-09
4,2,2014,2014-02-04
25,3,2003,2003-03-25
29,1,1990,1990-01-29
15,10,2014,2014-10-15
1,11,2020,2020-11-01
19,3,1972,1972-03-19
22,7,2001,2001-07-22
18,2,2007,2007-02-18
26,7,2016,2016-07-26
27,9,2006,2006-09-27
15,4,1996,1996-04-15
6,10,1972,1972-10-06
5,3,1989,1989-03-05
1,1,2013,2013-01-01
31,7,1986,1986-07-31
15,3,1971,1971-03-15
