birth_day,birth_month,birth_year,birth_date
23,5,2023,2023-05-23
20,2,1930,1930-02-20
30,9,2021,2021-09-30
6,4,1953,1953-04-06
7,2,1985,1985-02-07
28,8,1994,1994-08-28
22,9,2009,2009-09-22
22,1,1968,1968-01-22
9,10,1935,1935-10-09
27,7,1935,1935-07-27
2,11,1964,1964-11-02
23,9,2009,2009-09-23
29,4,2009,2009-04-29
19,7,1954,1954-07-19
21,7,1996,1996-07-21
28,7,1950,1950-07-28
21,11,1928,1928-11-21
30,11,1973,1973-11-30
15,7,1927,1927-07-15
13,6,2014,2014-06-13
20,7,1928,1928-07-20
22,12,1926,1926-12-22
24,12,1949,1949-12-24
14,8,1978,1978-08-14
24,5,2009,2009-05-24
10,11,2005,2005-11-10
15,6,1995,1995-06-15
1,2,1950,1950-02-01
12,10,1946,1946-10-12
3,3,2001,2001-03-03
10,7,2015,2015-07-10
18,1,1937,1937-01-18
25,5,1936,1936-05-25
21,8,1989,1989-08-21
12,5,1951,1951-05-12
10,1,2024,2024-01-10
16,9,1963,1963-09-16
27,12,1934,1934-12-27
7,7,1946,1946-07-07
23,7,1959,1959-07-23
16,7,1977,1977-07-16
19,4,1968,1968-04-19
30,9,1978,1978-09-30
26,7,1977,1977-07-26
18,9,1943,1943-09-18
26,7,2011,2011-07-26
30,10,1922,1922-10-30
4,9,1963,1963-09-04
5,1,2020,2020-01-05
27,7,1998,1998-07-27
21,8,2013,2013-08-21
30,10,1984,1984-10-30
17,2,1934,1934-02-17
31,5,1958,1958-05-31
17,12,1993,1993-12-17
19,12,1991,1991-12-19
27,3,1945,1945-03-27
6,10,1913,1913-10-06
26,5,1949,1949-05-26
30,11,2012,2012-11-30
9,2,1980,1980-02-09
4,10,2005,2005-10-04
15,10,1923,1923-10-15
22,6,1937,1937-06-22
20,1,2002,2002-01-20
19,4,2020,2020-04-19
13,11,1921,1921-11-13
17,4,1915,1915-04-17
12,9,1994,1994-09-12
12,7,1983,1983-07-12
15,5,1958,1958-05-15
25,2,1987,1987-02-25
28,5,1997,1997-05-28
10,11,2016,2016-11-10
30,9,1986,1986-09-30
14,11,1997,1997-11-14
2,12,1972,1972-12-02
20,6,1990,1990-06-20
9,8,1920,1920-08-09
31,7,1970,1970-07-31
10,3,1954,1954-03-10
19,12,1990,1990-12-19
9,7,2013,2013-07-09
3,4,1924,1924-04-03
6,2,1968,1968-02-06
9,4,1920,1920-04-09
1,12,1939,1939-12-01
5,11,1996,1996-11-05
18,4,1958,1958-04-18
16,5,1950,1950-05-16
26,11,1949,1949-11-26
1,12,1922,1922-12-01
1,7,1934,1934-07-01
25,3,1953,1953-03-25
29,1,1944,1944-01-29
23,4,1989,1989-04-23
24,5,1999,1999-05-24
20,12,1986,1986-12-20
23,4,1921,1921-04-23
14,7,1953,1953-07-14
27,3,1990,1990-03-27
24,8,1969,1969-08-24
31,8,1970,1970-08-31
13,4,2013,2013-04-13
20,9,1922,1922-09-20
14,6,1981,1981-06-14
23,7,2001,2001-07-23
31,7,1995,1995-07-31
13,3,1964,1964-03-13
11,8,1970,1970-08-11
11,10,1912,1912-10-11
10,10,1955,1955-10-10
20,6,1944,1944-06-20
1,10,1940,1940-10-01
28,9,1908,1908-09-28
5,11,1922,1922-11-05
28,7,1949,1949-07-28
15,9,1920,1920-09-15
19,5,1934,1934-05-19
7,1,1930,1930-01-07
23,4,1964,1964-04-23
12,4,1966,1966-04-12
15,7,1909,1909-07-15
5,5,2016,2016-05-05
21,7,1910,1910-07-21
16,7,1928,1928-07-16
18,6,2007,2007-06-18
13,1,1982,1982-01-13
5,10,1996,1996-10-05
4,11,1909,1909-11-04
26,5,1965,1965-05-26
9,12,2015,2015-12-09
5,5,1992,1992-05-05
25,3,1999,1999-03-25
18,5,1941,1941-05-18
13,8,1968,1968-08-13
4,1,1934,1934-01-04
27,1,1982,1982-01-27
10,4,2003,2003-04-10
15,3,1962,1962-03-15
7,3,1974,1974-03-07
14,1,2017,2017-01-14
29,8,2001,2001-08-29
25,7,1943,1943-07-25
13,2,1909,1909-02-13
15,12,1962,1962-12-15
16,7,2016,2016-07-16
14,8,1952,1952-08-14
24,10,1955,1955-10-24
8,7,1921,1921-07-08
14,12,1948,1948-12-14
17,10,1923,1923-10-17
16,3,1945,1945-03-16
10,5,1982,1982-05-10
29,4,2003,2003-04-29
8,2,2022,2022-02-08
28,4,1973,1973-04-28
2,10,1925,1925-10-02
25,7,1982,1982-07-25
1,5,1979,1979-05-01
9,12,1914,1914-12-09
18,12,1954,1954-12-18
15,12,1922,1922-12-15
22,6,2024,2024-06-22
3,12,1988,1988-12-03
12,11,1955,1955-11-12
13,9,1977,1977-09-13
1,7,1942,1942-07-01
26,3,2002,2002-03-26
30,5,1930,1930-05-30
20,5,2020,2020-05-20
22,12,1961,1961-12-22
11,4,1945,1945-04-11
15,8,1977,1977-08-15
5,9,1964,1964-09-05
31,8,1985,1985-08-31
28,6,2003,2003-06-28
19,5,1988,1988-05-19
24,11,1986,1986-11-24
16,2,1977,1977-02-16
25,11,1991,1991-11-25
3,11,2021,2021-11-03
13,8,1978,1978-08-13
27,12,1977,1977-12-27
17,10,1986,1986-10-17
19,4,1966,1966-04-19
29,8,1940,1940-08-29
14,4,1943,1943-04-14
26,6,1945,1945-06-26
2,7,1961,1961-07-02
5,4,2011,2011-04-05
24,4,1914,1914-04-24
11,12,1925,1925-12-11
26,9,1998,1998-09-26
12,4,1966,1966-04-12
3,1,1961,1961-01-03
8,10,2009,2009-10-08
15,7,1921,1921-07-15
28,5,1935,1935-05-28
6,11,1979,1979-11-06
8,6,2024,2024-06-08
13,1,1951,1951-01-13
19,8,2020,2020-08-19
14,4,1920,1920-04-14
7,12,1922,1922-12-07
17,7,2023,2023-07-17
7,7,2001,2001-07-07
16,8,2017,2017-08-16
28,5,1978,1978-05-28
15,1,2001,2001-01-15
4,3,1996,1996-03-04
4,6,1983,1983-06-04
22,4,1950,1950-04-22
3,4,1941,1941-04-03
5,9,1976,1976-09-05
2,6,2022,2022-06-02
17,2,1993,1993-02-17
21,6,1924,1924-06-21
1,11,1974,1974-11-01
14,4,2003,2003-04-14
6,8,1993,1993-08-06
7,7,1977,1977-07-07
16,12,2015,2015-12-16
27,3,1924,1924-03-27
3,5,1938,1938-05-03
14,5,2008,2008-05-14
2,6,1932,1932-06-02
2,11,1949,1949-11-02
8,1,1989,1989-01-08
6,2,1960,1960-02-06
26,4,1951,1951-04-26
17,4,2016,2016-04-17
1,1,1919,1919-01-01
22,3,1970,1970-03-22
15,11,1916,1916-11-15
27,8,1930,1930-08-27
18,5,1977,1977-05-18
28,9,1993,1993-09-28
5,5,2009,2009-05-05
20,12,1964,1964-12-20
27,8,1917,1917-08-27
11,3,1937,1937-03-11
16,5,1947,1947-05-16
25,5,2019,2019-05-25
22,1,1945,1945-01-22
5,4,1961,1961-04-05
12,11,2023,2023-11-12
23,7,1975,1975-07-23
28,7,2009,2009-07-28
22,8,1988,1988-08-22
26,5,2018,2018-05-26
25,2,1938,1938-02-25
29,9,1956,1956-09-29
21,3,2014,2014-03-21
6,2,1911,1911-02-06
8,10,1928,1928-10-08
27,7,2019,2019-07-27
17,2,1961,1961-02-17
10,4,2000,2000-04-10
19,1,2004,2004-01-19
24,1,2018,2018-01-24
27,6,1977,1977-06-27
6,3,1919,1919-03-06
1,7,1937,1937-07-01
29,5,1971,1971-05-29
20,3,2020,2020-03-20
27,10,1971,1971-10-27
4,7,1983,1983-07-04
25,4,1947,1947-04-25
15,11,1986,1986-11-15
25,8,1934,1934-08-25
3,1,1937,1937-01-03
11,4,1965,1965-04-11
19,10,1909,1909-10-19
6,7,1981,1981-07-06
30,4,1964,1964-04-30
8,9,2018,2018-09-08
3,11,2003,2003-11-03
7,7,1953,1953-07-07
1,10,2018,2018-10-01
21,11,1929,1929-11-21
11,2,1961,1961-02-11
3,1,1940,1940-01-03
3,11,1951,1951-11-03
9,2,1988,1988-02-09
3,7,1919,1919-07-03
30,5,1933,1933-05-30
6,1,1934,1934-01-06
5,1,1948,1948-01-05
15,11,1996,1996-11-15
18,10,1978,1978-10-18
11,6,1936,1936-06-11
31,5,1981,1981-05-31
10,6,1945,1945-06-10
12,8,2001,2001-08-12
6,5,1937,1937-05-06
12,1,2008,2008-01-12
12,8,1925,1925-08-12
2,1,2011,2011-01-02
30,5,1949,1949-05-30
19,1,1919,1919-01-19
17,1,1926,1926-01-17
31,10,1988,1988-10-31
2,10,1927,1927-10-02
11,11,1912,1912-11-11
3,4,1976,1976-04-03
23,4,1974,1974-04-23
30,12,1918,1918-12-30
20,11,1950,1950-11-20
26,6,1951,1951-06-26
16,8,1970,1970-08-16
25,11,1984,1984-11-25
19,2,1965,1965-02-19
30,1,1998,1998-01-30
17,10,1920,1920-10-17
12,11,2005,2005-11-12
15,8,1921,1921-08-15
11,8,1969,1969-08-11
4,1,1929,1929-01-04
18,1,2006,2006-01-18
8,3,1996,1996-03-08
9,12,1990,1990-12-09
14,3,1944,1944-03-14
3,10,1972,1972-10-03
3,8,2007,2007-08-03
26,5,1950,1950-05-26
23,5,1938,1938-05-23
18,10,1989,1989-10-18
20,10,2004,2004-10-20
30,3,1987,1987-03-30
27,4,2004,2004-04-27
16,7,1955,1955-07-16
17,10,1970,1970-10-17
8,2,2024,2024-02-08
27,7,2015,2015-07-27
11,9,1978,1978-09-11
15,7,1970,1970-07-15
31,5,1982,1982-05-31
23,10,1923,1923-10-23
3,8,2006,2006-08-03
14,3,1973,1973-03-14
9,8,2014,2014-08-09
4,4,1959,1959-04-04
6,11,1966,1966-11-06
2,9,2011,2011-09-02
19,11,1995,1995-11-19
18,4,2024,2024-04-18
11,2,1920,1920-02-11
8,10,1958,1958-10-08
2,7,1953,1953-07-02
9,7,1909,1909-07-09
7,1,1918,1918-01-07
23,8,1928,1928-08-23
20,4,1944,1944-04-20
15,1,1953,1953-01-15
19,5,2006,2006-05-19
8,11,1997,1997-11-08
15,7,1975,1975-07-15
23,9,1989,1989-09-23
3,12,1979,1979-12-03
7,8,1960,1960-08-07
16,9,1923,1923-09-16
22,8,1957,1957-08-22
6,3,2008,2008-03-06
26,2,1940,1940-02-26
18,4,1916,1916-04-18
11,5,2016,2016-05-11
17,10,1973,1973-10-17
16,1,2006,2006-01-16
17,2,1938,1938-02-17
10,4,1912,1912-04-10
11,12,1949,1949-12-11
4,11,2021,2021-11-04
14,10,1917,1917-10-14
21,1,1942,1942-01-21
27,12,2017,2017-12-27
22,2,1928,1928-02-22
8,6,2010,2010-06-08
16,12,1986,1986-12-16
21,6,1956,1956-06-21
23,1,1928,1928-01-23
22,1,2014,2014-01-22
1,6,2011,2011-06-01
7,10,2012,2012-10-07
7,2,1968,1968-02-07
24,1,2021,2021-01-24
17,12,2006,2006-12-17
7,3,1927,1927-03-07
8,12,1985,1985-12-08
10,7,1959,1959-07-10
16,1,1959,1959-01-16
30,11,1991,1991-11-30
15,12,1915,1915-12-15
28,9,1918,1918-09-28
13,4,1958,1958-04-13
7,10,1941,1941-10-07
28,1,1995,1995-01-28
12,5,1960,1960-05-12
18,12,1995,1995-12-18
16,11,1933,1933-11-16
20,1,1995,1995-01-20
29,11,1980,1980-11-29
26,10,1911,1911-10-26
21,6,2009,2009-06-21
16,2,2020,2020-02-16
24,8,1940,1940-08-24
6,2,2018,2018-02-06
11,11,2003,2003-11-11
29,7,1973,1973-07-29
5,11,2004,2004-11-05
21,8,1986,1986-08-21
20,11,2006,2006-11-20
6,8,1929,1929-08-06
28,2,1941,1941-02-28
16,4,1977,1977-04-16
19,12,2005,2005-12-19
9,8,1916,1916-08-09
4,4,1944,1944-04-04
3,2,2022,2022-02-03
29,1,1983,1983-01-29
30,8,2014,2014-08-30
4,10,1934,1934-10-04
9,11,1937,1937-11-09
11,7,2024,2024-07-11
4,12,2015,2015-12-04
27,9,1962,1962-09-27
20,7,1932,1932-07-20
8,1,2000,2000-01-08
3,2,1918,1918-02-03
29,10,2008,2008-10-29
30,4,1994,1994-04-30
8,7,1920,1920-07-08
30,4,1990,1990-04-30
14,3,2015,2015-03-14
4,7,2018,2018-07-04
13,2,1921,1921-02-13
15,11,1938,1938-11-15
18,6,1965,1965-06-18
28,4,1953,1953-04-28
15,1,1941,1941-01-15
12,10,1994,1994-10-12
9,2,1909,1909-02-09
20,2,2024,2024-02-20
20,4,1951,1951-04-20
7,4,1972,1972-04-07
12,6,1982,1982-06-12
22,2,2008,2008-02-22
13,7,1958,1958-07-13
29,12,1961,1961-12-29
25,8,1952,1952-08-25
15,1,1991,1991-01-15
18,8,1931,1931-08-18
3,7,1922,1922-07-03
15,6,1918,1918-06-15
27,12,1954,1954-12-27
2,10,1917,1917-10-02
17,1,1921,1921-01-17
27,10,1980,1980-10-27
11,6,1944,1944-06-11
28,11,1965,1965-11-28
19,5,1910,1910-05-19
23,9,2002,2002-09-23
5,10,1943,1943-10-05
18,5,1988,1988-05-18
16,7,2016,2016-07-16
13,1,2009,2009-01-13
3,10,2023,2023-10-03
8,1,1912,1912-01-08
4,4,1947,1947-04-04
18,2,1955,1955-02-18
9,12,1927,1927-12-09
13,4,1959,1959-04-13
21,9,2007,2007-09-21
19,6,1941,1941-06-19
6,3,2001,2001-03-06
29,9,1993,1993-09-29
3,1,1987,1987-01-03
5,6,1983,1983-06-05
12,5,1941,1941-05-12
6,2,1920,1920-02-06
8,2,1987,1987-02-08
23,1,1920,1920-01-23
17,2,1977,1977-02-17
9,11,1974,1974-11-09
8,12,1933,1933-12-08
24,1,1961,1961-01-24
31,12,1969,1969-12-31
4,7,1931,1931-07-04
15,12,1956,1956-12-15
5,3,1939,1939-03-05
11,5,1977,1977-05-11
21,7,2015,2015-07-21
17,12,2006,2006-12-17
9,10,2023,2023-10-09
30,5,2019,2019-05-30
12,11,1911,1911-11-12
11,11,2000,2000-11-11
21,3,1939,1939-03-21
30,9,1989,1989-09-30
27,9,1931,1931-09-27
4,6,1970,1970-06-04
11,10,2003,2003-10-11
19,7,1986,1986-07-19
16,5,1936,1936-05-16
22,4,1953,1953-04-22
25,6,1920,1920-06-25
4,8,1998,1998-08-04
22,12,2011,2011-12-22
23,8,1960,1960-08-23
15,3,1921,1921-03-15
22,5,2009,2009-05-22
12,9,2012,2012-09-12
17,4,1930,1930-04-17
4,2,2000,2000-02-04
19,5,1950,1950-05-19
10,5,1923,1923-05-10
14,7,1994,1994-07-14
23,12,2010,2010-12-23
30,12,1992,1992-12-30
10,7,2006,2006-07-10
11,6,1929,1929-06-11
18,11,1991,1991-11-18
6,1,1939,1939-01-06
25,5,1929,1929-05-25
26,12,1952,1952-12-26
28,10,2001,2001-10-28
2,10,1988,1988-10-02
19,10,1956,1956-10-19
9,3,1985,1985-03-09
4,3,1925,1925-03-04
30,9,1962,1962-09-30
25,5,1972,1972-05-25
23,9,1925,1925-09-23
5,10,1921,1921-10-05
28,1,1922,1922-01-28
16,9,2006,2006-09-16
19,12,1928,1928-12-19
7,10,1936,1936-10-07
14,6,1927,1927-06-14
12,7,1959,1959-07-12
14,5,2023,2023-05-14
19,12,1976,1976-12-19
27,4,1995,1995-04-27
12,1,1981,1981-01-12
19,12,2006,2006-12-19
17,1,2017,2017-01-17
4,6,1951,1951-06-04
22,11,1910,1910-11-22
1,3,1914,1914-03-01
12,3,1972,1972-03-12
7,9,1949,1949-09-07
8,4,1981,1981-04-08
26,6,1988,1988-06-26
1,6,1914,1914-06-01
26,3,1924,1924-03-26
23,1,1994,1994-01-23
12,9,2012,2012-09-12
25,5,1935,1935-05-25
16,3,1912,1912-03-16
19,6,1945,1945-06-19
29,5,1968,1968-05-29
19,11,1971,1971-11-19
20,3,1967,1967-03-20
11,4,2009,2009-04-11
14,9,1930,1930-09-14
1,2,1946,1946-02-01
22,8,2002,2002-08-22
24,3,1985,1985-03-24
14,3,2017,2017-03-14
24,12,1909,1909-12-24
5,5,1943,1943-05-05
1,6,1968,1968-06-01
23,3,1968,1968-03-23
3,10,1988,1988-10-03
3,8,1913,1913-08-03
12,3,1962,1962-03-12
20,5,1976,1976-05-20
28,8,1943,1943-08-28
29,7,1982,1982-07-29
27,8,1972,1972-08-27
1,4,1985,1985-04-01
12,12,1989,1989-12-12
27,3,1988,1988-03-27
30,1,1941,1941-01-30
27,1,2021,2021-01-27
7,10,1928,1928-10-07
10,9,1987,1987-09-10
13,6,1967,1967-06-13
31,5,2021,2021-05-31
18,10,2021,2021-10-18
8,12,1951,1951-12-08
2,4,1922,1922-04-02
29,3,2023,2023-03-29
5,10,1982,1982-10-05
28,2,1942,1942-02-28
11,6,1986,1986-06-11
24,12,1955,1955-12-24
3,4,1930,1930-04-03
19,2,1967,1967-02-19
16,5,1917,1917-05-16
15,12,1920,1920-12-15
2,6,1913,1913-06-02
26,4,1998,1998-04-26
24,9,1994,1994-09-24
17,10,1918,1918-10-17
13,9,2005,2005-09-13
19,1,1920,1920-01-19
1,6,2015,2015-06-01
16,7,1943,1943-07-16
29,1,1954,1954-01-29
24,7,1927,1927-07-24
11,8,1959,1959-08-11
23,2,1979,1979-02-23
13,5,1981,1981-05-13
8,12,1933,1933-12-08
25,8,1910,1910-08-25
26,1,2019,2019-01-26
31,3,1947,1947-03-31
1,3,1981,1981-03-01
31,3,1993,1993-03-31
7,3,1968,1968-03-07
23,12,1945,1945-12-23
7,9,1948,1948-09-07
3,1,2008,2008-01-03
15,3,1941,1941-03-15
10,12,2010,2010-12-10
20,1,1992,1992-01-20
9,4,1967,1967-04-09
1,4,1946,1946-04-01
27,5,1917,1917-05-27
31,10,1952,1952-10-31
21,5,2016,2016-05-21
18,11,2003,2003-11-18
17,4,1967,1967-04-17
12,5,1972,1972-05-12
8,12,2014,2014-12-08
6,5,1952,1952-05-06
11,1,1911,1911-01-11
17,9,1909,1909-09-17
26,1,1986,1986-01-26
27,9,1910,1910-09-27
7,8,1982,1982-08-07
9,3,2014,2014-03-09
21,1,1936,1936-01-21
5,7,1972,1972-07-05
4,7,1912,1912-07-04
30,6,1970,1970-06-30
19,5,1948,1948-05-19
25,11,2021,2021-11-25
7,11,2012,2012-11-07
26,6,1988,1988-06-26
17,8,1953,1953-08-17
1,1,1926,1926-01-01
20,12,1924,1924-12-20
5,7,1951,1951-07-05
22,7,1975,1975-07-22
8,5,1992,1992-05-08
28,5,1939,1939-05-28
5,11,1991,1991-11-05
2,2,1969,1969-02-02
11,4,1931,1931-04-11
5,7,2012,2012-07-05
27,5,1932,1932-05-27
19,6,1945,1945-06-19
1,9,2009,2009-09-01
23,4,1937,1937-04-23
15,1,1963,1963-01-15
30,11,1978,1978-11-30
21,2,1949,1949-02-21
24,10,1995,1995-10-24
20,11,1950,1950-11-20
16,6,1952,1952-06-16
9,10,1996,1996-10-09
4,4,1958,1958-04-04
11,6,2008,2008-06-11
23,12,2004,2004-12-23
20,12,1982,1982-12-20
26,12,1978,1978-12-26
30,6,2005,2005-06-30
29,6,1942,1942-06-29
9,6,2003,2003-06-09
25,9,1947,1947-09-25
31,7,1987,1987-07-31
19,2,1979,1979-02-19
28,4,2011,2011-04-28
28,7,1999,1999-07-28
30,11,1952,1952-11-30
14,1,1989,1989-01-14
2,12,1957,1957-12-02
3,5,1932,1932-05-03
7,10,1971,1971-10-07
15,4,1971,1971-04-15
21,11,1972,1972-11-21
17,4,1976,1976-04-17
12,9,1998,1998-09-12
14,8,1966,1966-08-14
22,1,1988,1988-01-22
28,10,1946,1946-10-28
8,5,2010,2010-05-08
14,5,1946,1946-05-14
1,2,1922,1922-02-01
22,5,1938,1938-05-22
8,6,1961,1961-06-08
7,12,1908,1908-12-07
5,11,1914,1914-11-05
22,11,1946,1946-11-22
27,12,2005,2005-12-27
18,12,1951,1951-12-18
2,9,1939,1939-09-02
2,10,1930,1930-10-02
7,5,1964,1964-05-07
2,7,2015,2015-07-02
31,10,2002,2002-10-31
8,9,1967,1967-09-08
28,11,1983,1983-11-28
28,8,1985,1985-08-28
23,11,2012,2012-11-23
20,2,1983,1983-02-20
18,4,1969,1969-04-18
3,12,1963,1963-12-03
2,1,2005,2005-01-02
2,3,2006,2006-03-02
26,1,1936,1936-01-26
12,7,1937,1937-07-12
2,10,1950,1950-10-02
4,3,1926,1926-03-04
2,8,2013,2013-08-02
23,11,1942,1942-11-23
26,6,1972,1972-06-26
4,6,1927,1927-06-04
21,11,1940,1940-11-21
21,7,2010,2010-07-21
29,10,1922,1922-10-29
12,3,1957,1957-03-12
6,6,2015,2015-06-06
28,12,1990,1990-12-28
27,9,2002,2002-09-27
31,8,1982,1982-08-31
7,11,2022,2022-11-07
22,2,1979,1979-02-22
28,8,1995,1995-08-28
10,2,1948,1948-02-10
23,7,2002,2002-07-23
6,10,1931,1931-10-06
13,2,2013,2013-02-13
11,4,1932,1932-04-11
16,4,1965,1965-04-16
13,3,1964,1964-03-13
18,6,1972,1972-06-18
18,8,2005,2005-08-18
22,5,1911,1911-05-22
15,12,1970,1970-12-15
3,7,1960,1960-07-03
26,7,1952,1952-07-26
5,7,1949,1949-07-05
11,4,1921,1921-04-11
5,3,1978,1978-03-05
14,11,1908,1908-11-14
25,2,2020,2020-02-25
28,7,2023,2023-07-28
26,7,1912,1912-07-26
30,4,1967,1967-04-30
7,9,1951,1951-09-07
20,3,2009,2009-03-20
23,5,1976,1976-05-23
22,10,1911,1911-10-22
26,7,1928,1928-07-26
20,9,1963,1963-09-20
12,3,1940,1940-03-12
29,9,2004,2004-09-29
9,5,1929,1929-05-09
30,11,2023,2023-11-30
19,7,1916,1916-07-19
7,3,1954,1954-03-07
1,3,1945,1945-03-01
28,2,2013,2013-02-28
5,4,1935,1935-04-05
10,8,1959,1959-08-10
30,10,2014,2014-10-30
25,9,1910,1910-09-25
4,10,1936,1936-10-04
15,9,1979,1979-09-15
31,12,1992,1992-12-31
26,3,1918,1918-03-26
30,5,1954,1954-05-30
26,5,1947,1947-05-26
28,3,1989,1989-03-28
6,12,1913,1913-12-06
8,4,1989,1989-04-08
6,5,1951,1951-05-06
19,12,1969,1969-12-19
3,6,1960,1960-06-03
20,8,1916,1916-08-20
28,6,1965,1965-06-28
1,5,2010,2010-05-01
12,6,2018,2018-06-12
16,10,1960,1960-10-16
26,12,1932,1932-12-26
7,3,1978,1978-03-07
8,5,1948,1948-05-08
28,6,1917,1917-06-28
20,7,1978,1978-07-20
6,11,1978,1978-11-06
28,10,1972,1972-10-28
26,1,1924,1924-01-26
18,12,1998,1998-12-18
20,9,1919,1919-09-20
4,12,1994,1994-12-04
15,12,1980,1980-12-15
22,8,1935,1935-08-22
16,7,1975,1975-07-16
1,9,1964,1964-09-01
7,2,1957,1957-02-07
6,3,1938,1938-03-06
20,2,2008,2008-02-20
7,6,2012,2012-06-07
30,8,2003,2003-08-30
24,7,1959,1959-07-24
30,12,1999,1999-12-30
15,2,1988,1988-02-15
16,9,1931,1931-09-16
24,8,1962,1962-08-24
15,12,1951,1951-12-15
22,7,1983,1983-07-22
8,10,1937,1937-10-08
