exam_date,exam_time,exam_datetime
1976-05-04,21:48:42,1976-05-04 21:48:42
2011-10-17,14:13:57,2011-10-17 14:13:57
1974-08-05,12:38:17,1974-08-05 12:38:17
1988-04-29,03:29:49,1988-04-29 03:29:49
2007-03-17,05:00:26,2007-03-17 05:00:26
1990-08-27,09:09:08,1990-08-27 09:09:08
2013-01-04,06:12:07,2013-01-04 06:12:07
2020-12-31,19:18:03,2020-12-31 19:18:03
2001-03-27,23:10:33,2001-03-27 23:10:33
2016-01-21,00:36:24,2016-01-21 00:36:24
2007-04-02,07:40:24,2007-04-02 07:40:24
2009-09-22,11:13:43,2009-09-22 11:13:43
2009-09-06,06:04:24,2009-09-06 06:04:24
1976-03-27,10:41:25,1976-03-27 10:41:25
1988-07-22,23:47:44,1988-07-22 23:47:44
1997-11-19,20:54:56,1997-11-19 20:54:56
2010-07-27,10:45:36,2010-07-27 10:45:36
2006-01-19,20:24:24,2006-01-19 20:24:24
1970-10-23,14:40:38,1970-10-23 14:40:38
2016-05-04,20:53:25,2016-05-04 20:53:25
2010-01-22,00:04:16,2010-01-22 00:04:16
2016-06-18,07:30:44,2016-06-18 07:30:44
1986-12-07,03:29:06,1986-12-07 03:29:06
2018-06-25,13:58:53,2018-06-25 13:58:53
1991-11-28,16:28:32,1991-11-28 16:28:32
2014-06-07,06:42:25,2014-06-07 06:42:25
2007-01-16,01:14:39,2007-01-16 01:14:39
2015-03-22,22:30:59,2015-03-22 22:30:59
1995-06-14,19:07:34,1995-06-14 19:07:34
2019-09-22,04:42:11,2019-09-22 04:42:11
2017-04-24,09:09:47,2017-04-24 09:09:47
2001-03-31,20:01:07,2001-03-31 20:01:07
1985-06-19,00:02:12,1985-06-19 00:02:12
2007-02-04,21:52:47,2007-02-04 21:52:47
1970-07-06,07:17:17,1970-07-06 07:17:17
2016-07-20,10:26:25,2016-07-20 10:26:25
1980-11-01,11:23:23,1980-11-01 11:23:23
1979-12-02,14:07:24,1979-12-02 14:07:24
2011-01-18,09:25:19,2011-01-18 09:25:19
2005-11-05,20:57:33,2005-11-05 20:57:33
1981-11-09,02:34:26,1981-11-09 02:34:26
2009-12-24,17:14:12,2009-12-24 17:14:12
2000-05-26,00:41:03,2000-05-26 00:41:03
1987-10-02,13:40:30,1987-10-02 13:40:30
1981-06-29,12:37:30,1981-06-29 12:37:30
1973-06-24,18:13:40,1973-06-24 18:13:40
1979-03-11,17:21:51,1979-03-11 17:21:51
2009-12-16,10:05:37,2009-12-16 10:05:37
1997-11-26,01:32:57,1997-11-26 01:32:57
1981-01-01,05:45:39,1981-01-01 05:45:39
1991-07-30,00:31:37,1991-07-30 00:31:37
1989-08-21,05:58:21,1989-08-21 05:58:21
2013-01-09,05:19:49,2013-01-09 05:19:49
1984-01-25,03:55:33,1984-01-25 03:55:33
2019-11-05,07:08:16,2019-11-05 07:08:16
1986-07-12,11:54:55,1986-07-12 11:54:55
2010-01-03,11:06:38,2010-01-03 11:06:38
2014-07-18,23:07:35,2014-07-18 23:07:35
2006-12-15,13:30:34,2006-12-15 13:30:34
1996-02-16,21:40:08,1996-02-16 21:40:08
1986-01-02,00:21:50,1986-01-02 00:21:50
1998-02-13,13:57:13,1998-02-13 13:57:13
2012-06-02,14:19:16,2012-06-02 14:19:16
1977-04-13,08:20:06,1977-04-13 08:20:06
2019-09-23,08:34:48,2019-09-23 08:34:48
1984-06-01,15:27:16,1984-06-01 15:27:16
2017-02-10,14:28:08,2017-02-10 14:28:08
2019-01-21,22:46:29,2019-01-21 22:46:29
2019-01-11,22:04:09,2019-01-11 22:04:09
2023-12-20,15:03:39,2023-12-20 15:03:39
1978-04-12,03:15:53,1978-04-12 03:15:53
1998-05-04,17:30:04,1998-05-04 17:30:04
1999-11-07,03:46:14,1999-11-07 03:46:14
2023-09-03,09:53:17,2023-09-03 09:53:17
2011-09-14,17:24:11,2011-09-14 17:24:11
2017-04-27,07:00:05,2017-04-27 07:00:05
1982-07-30,21:45:50,1982-07-30 21:45:50
2000-03-20,17:13:37,2000-03-20 17:13:37
2008-05-16,10:44:10,2008-05-16 10:44:10
1975-03-23,16:38:48,1975-03-23 16:38:48
1992-09-05,11:27:02,1992-09-05 11:27:02
1976-03-07,16:10:38,1976-03-07 16:10:38
1997-03-24,18:56:44,1997-03-24 18:56:44
1998-09-08,01:12:11,1998-09-08 01:12:11
1972-10-19,06:22:10,1972-10-19 06:22:10
2020-04-03,12:46:48,2020-04-03 12:46:48
2021-11-21,08:25:11,2021-11-21 08:25:11
2016-10-21,18:29:12,2016-10-21 18:29:12
1977-06-07,22:42:21,1977-06-07 22:42:21
2014-07-20,16:38:59,2014-07-20 16:38:59
1973-05-19,03:32:30,1973-05-19 03:32:30
2017-01-26,06:52:10,2017-01-26 06:52:10
1976-09-10,19:20:28,1976-09-10 19:20:28
2004-09-10,11:12:38,2004-09-10 11:12:38
2016-05-15,17:49:26,2016-05-15 17:49:26
2009-09-26,08:15:33,2009-09-26 08:15:33
2010-05-31,16:52:08,2010-05-31 16:52:08
1996-07-12,20:50:29,1996-07-12 20:50:29
1985-07-19,19:02:29,1985-07-19 19:02:29
2002-01-03,04:27:59,2002-01-03 04:27:59
1990-07-30,03:31:36,1990-07-30 03:31:36
1976-03-20,05:32:53,1976-03-20 05:32:53
2020-11-07,23:20:55,2020-11-07 23:20:55
1993-01-02,04:12:35,1993-01-02 04:12:35
2001-10-05,00:06:56,2001-10-05 00:06:56
2009-12-28,13:25:48,2009-12-28 13:25:48
1987-12-07,14:06:00,1987-12-07 14:06:00
2015-08-29,12:22:15,2015-08-29 12:22:15
1993-03-13,12:45:38,1993-03-13 12:45:38
1982-10-09,00:05:34,1982-10-09 00:05:34
2013-05-21,06:18:06,2013-05-21 06:18:06
2009-02-09,07:30:03,2009-02-09 07:30:03
2000-01-25,03:49:17,2000-01-25 03:49:17
1973-02-10,07:12:48,1973-02-10 07:12:48
1977-02-12,20:51:00,1977-02-12 20:51:00
2021-10-03,02:55:57,2021-10-03 02:55:57
2011-06-03,13:27:39,2011-06-03 13:27:39
1977-04-15,15:08:18,1977-04-15 15:08:18
2007-09-06,07:06:56,2007-09-06 07:06:56
2007-03-24,09:50:34,2007-03-24 09:50:34
1997-04-30,03:37:05,1997-04-30 03:37:05
2003-09-21,01:08:15,2003-09-21 01:08:15
2000-09-26,20:44:18,2000-09-26 20:44:18
1972-07-04,09:29:31,1972-07-04 09:29:31
2018-12-07,19:40:50,2018-12-07 19:40:50
1983-06-07,14:35:21,1983-06-07 14:35:21
1981-08-11,11:03:22,1981-08-11 11:03:22
2009-10-15,00:54:42,2009-10-15 00:54:42
2023-11-09,11:48:15,2023-11-09 11:48:15
2005-08-16,06:48:36,2005-08-16 06:48:36
1975-11-14,16:03:49,1975-11-14 16:03:49
1976-04-18,12:52:52,1976-04-18 12:52:52
1987-08-05,14:34:33,1987-08-05 14:34:33
2000-03-14,11:16:20,2000-03-14 11:16:20
2014-01-22,05:15:05,2014-01-22 05:15:05
1985-08-16,15:37:57,1985-08-16 15:37:57
1984-09-04,18:57:53,1984-09-04 18:57:53
2020-09-13,01:51:40,2020-09-13 01:51:40
2020-05-29,12:54:08,2020-05-29 12:54:08
1987-05-30,00:03:10,1987-05-30 00:03:10
1974-11-23,11:52:13,1974-11-23 11:52:13
2009-03-02,05:35:37,2009-03-02 05:35:37
1979-11-01,14:43:05,1979-11-01 14:43:05
2012-01-27,19:29:07,2012-01-27 19:29:07
2000-05-01,08:59:13,2000-05-01 08:59:13
1981-12-09,01:15:13,1981-12-09 01:15:13
2014-07-14,12:18:58,2014-07-14 12:18:58
1994-11-07,11:14:04,1994-11-07 11:14:04
1990-05-05,12:35:34,1990-05-05 12:35:34
2004-08-13,14:26:31,2004-08-13 14:26:31
2018-10-08,19:31:12,2018-10-08 19:31:12
1996-05-02,02:14:30,1996-05-02 02:14:30
2021-06-22,18:41:29,2021-06-22 18:41:29
2016-06-20,21:27:52,2016-06-20 21:27:52
1991-09-25,09:24:14,1991-09-25 09:24:14
2001-08-06,11:21:13,2001-08-06 11:21:13
2017-06-13,20:31:30,2017-06-13 20:31:30
1979-11-25,12:22:50,1979-11-25 12:22:50
1988-06-01,16:39:35,1988-06-01 16:39:35
1997-01-03,11:51:03,1997-01-03 11:51:03
2021-01-30,16:27:55,2021-01-30 16:27:55
2015-12-25,12:36:55,2015-12-25 12:36:55
2014-11-08,09:57:27,2014-11-08 09:57:27
2016-04-11,07:48:19,2016-04-11 07:48:19
1988-01-02,01:37:51,1988-01-02 01:37:51
1970-09-17,11:13:19,1970-09-17 11:13:19
2018-11-08,23:16:32,2018-11-08 23:16:32
1976-04-12,02:50:57,1976-04-12 02:50:57
1986-11-26,21:26:57,1986-11-26 21:26:57
1997-12-05,06:27:14,1997-12-05 06:27:14
2014-08-26,01:47:46,2014-08-26 01:47:46
2001-09-05,23:03:53,2001-09-05 23:03:53
1974-02-28,06:30:29,1974-02-28 06:30:29
1992-02-29,08:08:00,1992-02-29 08:08:00
1988-11-02,15:53:00,1988-11-02 15:53:00
1984-08-05,03:15:11,1984-08-05 03:15:11
2004-09-14,22:14:07,2004-09-14 22:14:07
2020-05-22,14:29:03,2020-05-22 14:29:03
1979-03-19,12:14:01,1979-03-19 12:14:01
2024-01-21,00:19:58,2024-01-21 00:19:58
2003-03-21,22:36:13,2003-03-21 22:36:13
1980-12-24,16:01:54,1980-12-24 16:01:54
1993-03-20,09:05:55,1993-03-20 09:05:55
1973-07-01,00:17:49,1973-07-01 00:17:49
1982-04-03,09:09:36,1982-04-03 09:09:36
1984-02-06,13:46:46,1984-02-06 13:46:46
1977-03-20,03:57:44,1977-03-20 03:57:44
1998-12-17,13:40:02,1998-12-17 13:40:02
1988-06-16,00:38:05,1988-06-16 00:38:05
1990-01-19,21:00:26,1990-01-19 21:00:26
2017-10-26,14:02:14,2017-10-26 14:02:14
2008-11-28,11:41:24,2008-11-28 11:41:24
2006-11-03,02:49:49,2006-11-03 02:49:49
2003-04-07,18:21:28,2003-04-07 18:21:28
1999-09-10,14:26:52,1999-09-10 14:26:52
2004-03-07,18:57:24,2004-03-07 18:57:24
1970-03-06,06:47:20,1970-03-06 06:47:20
1984-10-15,23:25:35,1984-10-15 23:25:35
1974-09-18,06:19:01,1974-09-18 06:19:01
2001-12-16,07:29:58,2001-12-16 07:29:58
2003-03-01,04:12:28,2003-03-01 04:12:28
1991-12-21,10:59:45,1991-12-21 10:59:45
1986-07-22,10:39:54,1986-07-22 10:39:54
1985-03-23,01:47:05,1985-03-23 01:47:05
2018-10-28,19:55:01,2018-10-28 19:55:01
2004-03-23,19:48:38,2004-03-23 19:48:38
2014-06-17,09:49:01,2014-06-17 09:49:01
2012-08-07,15:35:50,2012-08-07 15:35:50
1999-10-04,19:12:31,1999-10-04 19:12:31
1979-12-01,10:34:19,1979-12-01 10:34:19
2016-02-27,22:17:21,2016-02-27 22:17:21
1972-04-23,14:31:49,1972-04-23 14:31:49
1990-10-28,12:45:00,1990-10-28 12:45:00
1980-10-12,13:25:04,1980-10-12 13:25:04
2001-10-10,15:57:54,2001-10-10 15:57:54
2002-05-13,18:55:41,2002-05-13 18:55:41
2024-03-06,08:23:51,2024-03-06 08:23:51
1986-06-08,12:34:00,1986-06-08 12:34:00
1978-11-21,15:29:42,1978-11-21 15:29:42
2002-07-10,07:32:01,2002-07-10 07:32:01
2008-04-23,19:56:05,2008-04-23 19:56:05
2003-07-10,02:12:19,2003-07-10 02:12:19
1999-09-02,13:36:50,1999-09-02 13:36:50
2005-09-27,07:32:19,2005-09-27 07:32:19
1990-03-02,11:33:32,1990-03-02 11:33:32
1973-10-14,05:37:42,1973-10-14 05:37:42
1985-08-05,09:16:49,1985-08-05 09:16:49
1973-10-03,21:05:49,1973-10-03 21:05:49
2021-09-16,23:44:41,2021-09-16 23:44:41
2009-06-11,17:25:12,2009-06-11 17:25:12
1985-07-29,06:46:12,1985-07-29 06:46:12
2023-08-21,08:41:55,2023-08-21 08:41:55
2004-10-19,21:20:27,2004-10-19 21:20:27
1988-05-25,00:50:44,1988-05-25 00:50:44
1989-09-13,18:23:14,1989-09-13 18:23:14
1973-07-07,16:58:51,1973-07-07 16:58:51
2012-09-20,02:39:03,2012-09-20 02:39:03
1982-11-20,21:42:52,1982-11-20 21:42:52
1970-06-29,04:07:13,1970-06-29 04:07:13
1988-03-08,04:26:45,1988-03-08 04:26:45
2021-10-12,14:45:15,2021-10-12 14:45:15
1973-07-17,20:09:04,1973-07-17 20:09:04
2001-05-06,07:00:02,2001-05-06 07:00:02
1975-04-05,03:25:54,1975-04-05 03:25:54
1989-01-09,19:22:41,1989-01-09 19:22:41
1999-06-13,09:03:07,1999-06-13 09:03:07
1975-07-25,04:07:05,1975-07-25 04:07:05
2017-10-28,03:57:37,2017-10-28 03:57:37
1977-05-26,13:12:12,1977-05-26 13:12:12
2021-06-16,05:57:27,2021-06-16 05:57:27
1998-07-18,06:42:10,1998-07-18 06:42:10
1973-10-05,01:35:50,1973-10-05 01:35:50
2022-05-17,11:39:28,2022-05-17 11:39:28
1994-01-19,19:10:32,1994-01-19 19:10:32
2014-08-08,07:29:58,2014-08-08 07:29:58
2007-09-08,11:13:56,2007-09-08 11:13:56
2016-09-22,22:05:48,2016-09-22 22:05:48
2014-04-24,16:54:14,2014-04-24 16:54:14
1995-07-16,16:11:51,1995-07-16 16:11:51
2016-12-11,16:27:34,2016-12-11 16:27:34
1993-03-20,19:04:00,1993-03-20 19:04:00
2021-05-30,19:29:45,2021-05-30 19:29:45
1999-09-25,13:52:30,1999-09-25 13:52:30
2001-03-08,15:06:08,2001-03-08 15:06:08
1980-11-08,01:09:39,1980-11-08 01:09:39
1991-08-21,09:10:12,1991-08-21 09:10:12
1992-05-05,21:00:59,1992-05-05 21:00:59
2016-02-07,03:38:49,2016-02-07 03:38:49
1976-06-19,08:10:45,1976-06-19 08:10:45
1972-10-12,18:08:17,1972-10-12 18:08:17
1975-03-31,07:49:16,1975-03-31 07:49:16
2008-08-23,12:48:52,2008-08-23 12:48:52
2021-02-06,19:56:38,2021-02-06 19:56:38
1976-04-01,11:09:39,1976-04-01 11:09:39
2014-06-05,20:44:17,2014-06-05 20:44:17
2022-09-08,16:49:03,2022-09-08 16:49:03
2021-10-10,18:56:29,2021-10-10 18:56:29
1985-06-14,22:45:15,1985-06-14 22:45:15
2018-08-17,15:52:34,2018-08-17 15:52:34
1974-08-11,08:47:18,1974-08-11 08:47:18
1971-05-13,08:33:51,1971-05-13 08:33:51
1975-08-10,04:54:47,1975-08-10 04:54:47
2015-05-29,01:31:34,2015-05-29 01:31:34
1993-09-15,14:37:54,1993-09-15 14:37:54
1984-09-10,01:18:22,1984-09-10 01:18:22
1985-02-08,20:17:08,1985-02-08 20:17:08
2009-10-05,02:35:46,2009-10-05 02:35:46
1992-12-03,08:57:39,1992-12-03 08:57:39
1999-10-10,22:43:48,1999-10-10 22:43:48
1998-02-23,02:02:52,1998-02-23 02:02:52
2006-01-02,22:34:20,2006-01-02 22:34:20
1991-05-06,15:02:07,1991-05-06 15:02:07
2021-10-15,07:35:53,2021-10-15 07:35:53
2005-05-01,06:36:21,2005-05-01 06:36:21
2013-12-02,23:31:32,2013-12-02 23:31:32
1980-09-20,09:46:33,1980-09-20 09:46:33
2005-03-23,23:39:04,2005-03-23 23:39:04
1992-07-25,03:58:10,1992-07-25 03:58:10
2006-04-14,18:47:58,2006-04-14 18:47:58
2001-11-01,21:39:47,2001-11-01 21:39:47
2021-07-02,17:26:49,2021-07-02 17:26:49
2007-11-18,18:17:44,2007-11-18 18:17:44
2024-04-19,09:03:31,2024-04-19 09:03:31
1972-09-23,14:08:57,1972-09-23 14:08:57
2023-10-30,03:30:39,2023-10-30 03:30:39
1984-01-13,05:41:52,1984-01-13 05:41:52
2023-05-26,13:36:28,2023-05-26 13:36:28
2005-05-01,21:40:52,2005-05-01 21:40:52
1984-02-18,10:39:59,1984-02-18 10:39:59
1984-09-10,14:45:14,1984-09-10 14:45:14
1989-04-20,15:26:37,1989-04-20 15:26:37
1993-04-27,06:43:01,1993-04-27 06:43:01
1988-04-29,21:04:23,1988-04-29 21:04:23
2012-09-19,10:27:30,2012-09-19 10:27:30
2016-12-29,23:50:56,2016-12-29 23:50:56
2008-06-03,14:12:42,2008-06-03 14:12:42
2007-10-23,03:03:35,2007-10-23 03:03:35
2014-10-02,00:00:11,2014-10-02 00:00:11
2000-06-25,12:26:06,2000-06-25 12:26:06
1977-04-19,22:00:32,1977-04-19 22:00:32
1998-09-02,09:20:53,1998-09-02 09:20:53
2005-06-13,05:53:37,2005-06-13 05:53:37
1972-05-06,08:21:30,1972-05-06 08:21:30
1972-12-17,09:48:25,1972-12-17 09:48:25
1975-07-07,05:45:38,1975-07-07 05:45:38
1983-08-20,21:44:39,1983-08-20 21:44:39
1989-08-30,00:23:58,1989-08-30 00:23:58
1994-06-21,11:50:34,1994-06-21 11:50:34
1995-03-07,21:13:24,1995-03-07 21:13:24
1976-06-01,08:26:08,1976-06-01 08:26:08
1971-07-30,19:30:11,1971-07-30 19:30:11
2024-01-16,08:28:10,2024-01-16 08:28:10
1987-11-10,10:30:52,1987-11-10 10:30:52
2021-12-05,07:20:35,2021-12-05 07:20:35
2022-05-05,08:00:40,2022-05-05 08:00:40
1980-10-25,11:25:51,1980-10-25 11:25:51
2002-06-11,16:28:47,2002-06-11 16:28:47
1979-11-28,00:16:27,1979-11-28 00:16:27
2011-09-11,17:39:57,2011-09-11 17:39:57
1989-05-08,00:24:52,1989-05-08 00:24:52
1995-11-26,15:44:02,1995-11-26 15:44:02
2014-03-14,18:39:24,2014-03-14 18:39:24
2000-10-09,20:55:05,2000-10-09 20:55:05
2006-11-11,07:19:14,2006-11-11 07:19:14
1987-07-17,18:29:50,1987-07-17 18:29:50
1991-01-16,05:49:42,1991-01-16 05:49:42
1979-12-15,18:07:17,1979-12-15 18:07:17
1972-07-24,21:12:10,1972-07-24 21:12:10
1975-06-02,01:55:11,1975-06-02 01:55:11
1997-05-30,09:17:23,1997-05-30 09:17:23
2018-11-17,09:19:05,2018-11-17 09:19:05
1974-11-18,08:36:51,1974-11-18 08:36:51
2006-04-17,14:53:36,2006-04-17 14:53:36
1999-09-27,19:07:56,1999-09-27 19:07:56
2007-12-25,17:02:52,2007-12-25 17:02:52
2008-11-14,09:52:07,2008-11-14 09:52:07
1991-06-21,11:51:26,1991-06-21 11:51:26
1986-11-18,20:37:54,1986-11-18 20:37:54
2001-02-12,20:03:06,2001-02-12 20:03:06
1982-06-30,01:06:31,1982-06-30 01:06:31
2003-04-18,05:03:56,2003-04-18 05:03:56
1979-08-17,10:11:33,1979-08-17 10:11:33
1992-06-11,20:06:22,1992-06-11 20:06:22
2015-08-04,19:00:27,2015-08-04 19:00:27
1975-08-13,17:39:00,1975-08-13 17:39:00
2000-10-24,20:37:39,2000-10-24 20:37:39
2003-09-10,03:43:22,2003-09-10 03:43:22
1973-03-17,12:11:22,1973-03-17 12:11:22
1986-07-13,22:51:18,1986-07-13 22:51:18
2013-12-12,18:26:23,2013-12-12 18:26:23
1997-09-16,07:02:50,1997-09-16 07:02:50
2014-02-20,08:03:24,2014-02-20 08:03:24
1970-12-13,06:18:41,1970-12-13 06:18:41
2008-10-10,02:17:03,2008-10-10 02:17:03
2010-12-12,02:22:19,2010-12-12 02:22:19
1995-09-04,10:26:56,1995-09-04 10:26:56
2005-05-18,10:09:54,2005-05-18 10:09:54
1997-10-19,12:00:34,1997-10-19 12:00:34
2015-01-20,23:13:15,2015-01-20 23:13:15
1989-05-19,06:33:59,1989-05-19 06:33:59
1970-02-18,19:22:16,1970-02-18 19:22:16
2001-05-16,04:01:22,2001-05-16 04:01:22
1995-03-13,12:56:06,1995-03-13 12:56:06
2004-05-08,19:12:49,2004-05-08 19:12:49
1979-05-31,12:36:55,1979-05-31 12:36:55
1980-03-31,12:48:14,1980-03-31 12:48:14
2000-08-23,03:52:06,2000-08-23 03:52:06
1998-02-09,23:03:27,1998-02-09 23:03:27
2005-08-19,20:32:08,2005-08-19 20:32:08
2016-04-05,20:40:48,2016-04-05 20:40:48
2010-07-29,19:40:10,2010-07-29 19:40:10
2024-07-06,17:26:11,2024-07-06 17:26:11
1971-05-23,04:33:51,1971-05-23 04:33:51
2004-07-30,16:36:43,2004-07-30 16:36:43
1989-11-16,00:33:28,1989-11-16 00:33:28
1971-10-02,00:29:32,1971-10-02 00:29:32
1984-01-06,19:41:37,1984-01-06 19:41:37
2007-02-13,12:32:35,2007-02-13 12:32:35
1979-09-14,07:11:56,1979-09-14 07:11:56
1996-10-31,06:47:07,1996-10-31 06:47:07
2015-12-17,11:44:54,2015-12-17 11:44:54
1997-09-13,14:12:57,1997-09-13 14:12:57
2015-01-02,18:18:52,2015-01-02 18:18:52
1984-07-17,01:44:01,1984-07-17 01:44:01
2008-08-31,12:48:10,2008-08-31 12:48:10
2008-02-01,08:29:22,2008-02-01 08:29:22
2001-07-14,12:07:01,2001-07-14 12:07:01
1996-06-21,15:13:20,1996-06-21 15:13:20
1996-06-10,05:14:32,1996-06-10 05:14:32
2009-09-03,18:40:34,2009-09-03 18:40:34
1982-02-28,16:25:29,1982-02-28 16:25:29
2022-06-12,04:41:18,2022-06-12 04:41:18
2009-12-10,00:00:22,2009-12-10 00:00:22
1972-06-22,07:54:40,1972-06-22 07:54:40
1975-01-27,16:41:43,1975-01-27 16:41:43
2017-06-21,03:27:08,2017-06-21 03:27:08
2015-12-05,08:29:34,2015-12-05 08:29:34
1982-10-20,04:00:15,1982-10-20 04:00:15
2020-09-03,05:53:30,2020-09-03 05:53:30
2021-10-23,23:14:29,2021-10-23 23:14:29
2004-09-26,11:20:04,2004-09-26 11:20:04
2005-07-30,17:02:35,2005-07-30 17:02:35
1984-09-14,23:44:48,1984-09-14 23:44:48
2022-06-13,08:48:00,2022-06-13 08:48:00
2017-10-02,12:41:35,2017-10-02 12:41:35
2015-10-31,20:52:59,2015-10-31 20:52:59
2004-02-04,04:20:04,2004-02-04 04:20:04
1970-11-09,05:57:18,1970-11-09 05:57:18
2003-07-15,21:39:22,2003-07-15 21:39:22
2016-11-20,10:00:18,2016-11-20 10:00:18
2021-12-25,19:58:40,2021-12-25 19:58:40
2001-04-17,13:26:28,2001-04-17 13:26:28
2004-12-13,22:32:20,2004-12-13 22:32:20
1989-10-16,17:01:14,1989-10-16 17:01:14
2024-06-15,18:14:31,2024-06-15 18:14:31
1985-08-29,18:07:48,1985-08-29 18:07:48
1994-04-24,04:50:30,1994-04-24 04:50:30
2014-11-14,06:29:01,2014-11-14 06:29:01
1985-09-06,19:29:33,1985-09-06 19:29:33
1982-10-13,21:07:26,1982-10-13 21:07:26
2021-01-26,15:59:23,2021-01-26 15:59:23
2021-07-06,05:35:20,2021-07-06 05:35:20
2015-03-31,07:16:50,2015-03-31 07:16:50
2006-06-07,09:11:39,2006-06-07 09:11:39
1976-05-24,02:27:47,1976-05-24 02:27:47
2002-11-28,17:42:23,2002-11-28 17:42:23
1998-09-08,09:18:53,1998-09-08 09:18:53
2011-05-01,05:41:51,2011-05-01 05:41:51
2021-10-15,01:18:53,2021-10-15 01:18:53
2008-03-23,05:05:06,2008-03-23 05:05:06
1993-10-30,17:41:33,1993-10-30 17:41:33
1984-06-15,20:35:19,1984-06-15 20:35:19
2015-01-11,04:14:56,2015-01-11 04:14:56
2012-05-02,13:21:56,2012-05-02 13:21:56
2017-02-14,04:25:40,2017-02-14 04:25:40
2019-09-12,23:19:04,2019-09-12 23:19:04
1971-09-06,01:08:21,1971-09-06 01:08:21
2009-09-26,04:16:35,2009-09-26 04:16:35
1972-06-15,17:06:10,1972-06-15 17:06:10
2012-07-01,04:05:37,2012-07-01 04:05:37
1984-01-18,16:10:13,1984-01-18 16:10:13
2020-08-06,20:51:20,2020-08-06 20:51:20
1976-05-26,12:20:40,1976-05-26 12:20:40
1973-06-04,21:55:31,1973-06-04 21:55:31
2000-04-16,23:43:10,2000-04-16 23:43:10
2008-04-09,06:40:59,2008-04-09 06:40:59
1972-06-06,04:10:23,1972-06-06 04:10:23
2011-06-06,23:09:39,2011-06-06 23:09:39
1975-05-24,18:24:54,1975-05-24 18:24:54
2017-01-05,21:40:16,2017-01-05 21:40:16
2022-05-08,21:56:59,2022-05-08 21:56:59
2009-04-16,15:06:50,2009-04-16 15:06:50
2018-09-23,10:13:15,2018-09-23 10:13:15
1993-02-10,11:09:53,1993-02-10 11:09:53
1972-04-19,17:22:57,1972-04-19 17:22:57
2022-02-21,21:38:43,2022-02-21 21:38:43
1979-07-15,14:33:28,1979-07-15 14:33:28
1981-01-08,17:47:46,1981-01-08 17:47:46
1989-09-06,20:25:34,1989-09-06 20:25:34
1999-04-07,10:59:44,1999-04-07 10:59:44
2005-01-10,15:35:57,2005-01-10 15:35:57
1984-05-12,22:53:41,1984-05-12 22:53:41
2002-10-30,10:07:13,2002-10-30 10:07:13
1985-07-16,09:07:51,1985-07-16 09:07:51
2013-12-28,03:08:19,2013-12-28 03:08:19
2009-05-14,04:12:27,2009-05-14 04:12:27
1984-02-01,12:24:47,1984-02-01 12:24:47
1988-05-17,13:28:51,1988-05-17 13:28:51
1991-08-30,21:24:08,1991-08-30 21:24:08
2020-12-03,22:43:59,2020-12-03 22:43:59
1971-11-14,13:35:26,1971-11-14 13:35:26
1979-02-08,11:38:21,1979-02-08 11:38:21
