city,state,location
Andalusia,AL,"Andalusia, AL"
East Meadow,NY,"East Meadow, NY"
Brockport,NY,"Brockport, NY"
Brewton,AL,"Brewton, AL"
Calera,AL,"Calera, AL"
Auburn,NY,"Auburn, NY"
Pell City,AL,"Pell City, AL"
Lancaster,NY,"Lancaster, NY"
Waterford,CT,"Waterford, CT"
Lunenburg,MA,"Lunenburg, MA"
Boaz,AL,"Boaz, AL"
Brockton,MA,"Brockton, MA"
Phenix City,AL,"Phenix City, AL"
Gardner,MA,"Gardner, MA"
Sturbridge,MA,"Sturbridge, MA"
Raynham,MA,"Raynham, MA"
Jacksonville,AL,"Jacksonville, AL"
Leominster,MA,"Leominster, MA"
Fulton,NY,"Fulton, NY"
Malone,NY,"Malone, NY"
Middletown,NY,"Middletown, NY"
Gardendale,AL,"Gardendale, AL"
Monticello,NY,"Monticello, NY"
Hartselle,AL,"Hartselle, AL"
Saraland,AL,"Saraland, AL"
Fall River,MA,"Fall River, MA"
Orange,MA,"Orange, MA"
Guntersville,AL,"Guntersville, AL"
Jackson,AL,"Jackson, AL"
Evans Mills,NY,"Evans Mills, NY"
Shelton,CT,"Shelton, CT"
Danvers,MA,"Danvers, MA"
Canandaigua,NY,"Canandaigua, NY"
Seekonk,MA,"Seekonk, MA"
North Dartmouth,MA,"North Dartmouth, MA"
Framingham,MA,"Framingham, MA"
Framingham,MA,"Framingham, MA"
Fairfield,AL,"Fairfield, AL"
Orange,MA,"Orange, MA"
Tuscaloosa,AL,"Tuscaloosa, AL"
Johnson City,NY,"Johnson City, NY"
Huntsville,AL,"Huntsville, AL"
New Milford,CT,"New Milford, CT"
Centre,AL,"Centre, AL"
Roanoke,AL,"Roanoke, AL"
Arab,AL,"Arab, AL"
Muscle Shoals,AL,"Muscle Shoals, AL"
Gardendale,AL,"Gardendale, AL"
Milford,CT,"Milford, CT"
Newburgh,NY,"Newburgh, NY"
Mobile,AL,"Mobile, AL"
Cobleskill,NY,"Cobleskill, NY"
Abington,MA,"Abington, MA"
Roanoke,AL,"Roanoke, AL"
Greenville,AL,"Greenville, AL"
Madison,AL,"Madison, AL"
Pell City,AL,"Pell City, AL"
Moulton,AL,"Moulton, AL"
Arab,AL,"Arab, AL"
Lowville,NY,"Lowville, NY"
Leeds,AL,"Leeds, AL"
Fulton,NY,"Fulton, NY"
Hadley,MA,"Hadley, MA"
Ithaca,NY,"Ithaca, NY"
Clay,NY,"Clay, NY"
Lakewood,NY,"Lakewood, NY"
Evans Mills,NY,"Evans Mills, NY"
Johnstown,NY,"Johnstown, NY"
Quincy,MA,"Quincy, MA"
Hanover,MA,"Hanover, MA"
Cheektowaga,NY,"Cheektowaga, NY"
Florence,AL,"Florence, AL"
Moulton,AL,"Moulton, AL"
Mobile,AL,"Mobile, AL"
Auburn,AL,"Auburn, AL"
Clanton,AL,"Clanton, AL"
Moulton,AL,"Moulton, AL"
Fort Payne,AL,"Fort Payne, AL"
Russellville,AL,"Russellville, AL"
Brockton,MA,"Brockton, MA"
Central Square,NY,"Central Square, NY"
Batavia,NY,"Batavia, NY"
Auburn,NY,"Auburn, NY"
Halfmoon,NY,"Halfmoon, NY"
Cheektowaga,NY,"Cheektowaga, NY"
Hornell,NY,"Hornell, NY"
North Oxford,MA,"North Oxford, MA"
Shelton,CT,"Shelton, CT"
Hartselle,AL,"Hartselle, AL"
Plymouth,MA,"Plymouth, MA"
Fairhaven,MA,"Fairhaven, MA"
Sumiton,AL,"Sumiton, AL"
Eufaula,AL,"Eufaula, AL"
Amherst,NY,"Amherst, NY"
Salem,MA,"Salem, MA"
North Reading,MA,"North Reading, MA"
Calera,AL,"Calera, AL"
Springfield,MA,"Springfield, MA"
Gulf Shores,AL,"Gulf Shores, AL"
Enterprise,AL,"Enterprise, AL"
Fairhope,AL,"Fairhope, AL"
Vestavia Hills,AL,"Vestavia Hills, AL"
Malone,NY,"Malone, NY"
Ithaca,NY,"Ithaca, NY"
Clanton,AL,"Clanton, AL"
Millbrook,AL,"Millbrook, AL"
Chelmsford,MA,"Chelmsford, MA"
Amsterdam,NY,"Amsterdam, NY"
North Dartmouth,MA,"North Dartmouth, MA"
Daphne,AL,"Daphne, AL"
Haleyville,AL,"Haleyville, AL"
Fairhaven,MA,"Fairhaven, MA"
Danvers,MA,"Danvers, MA"
Auburn,AL,"Auburn, AL"
Macedon,NY,"Macedon, NY"
Plymouth,MA,"Plymouth, MA"
Lockport,NY,"Lockport, NY"
Ozark,AL,"Ozark, AL"
Amherst,NY,"Amherst, NY"
Winfield,AL,"Winfield, AL"
Dothan,AL,"Dothan, AL"
New Milford,CT,"New Milford, CT"
Cromwell,CT,"Cromwell, CT"
Herkimer,NY,"Herkimer, NY"
Anniston,AL,"Anniston, AL"
Orange,MA,"Orange, MA"
Hadley,MA,"Hadley, MA"
Swansea,MA,"Swansea, MA"
Greece,NY,"Greece, NY"
Montgomery,AL,"Montgomery, AL"
Greece,NY,"Greece, NY"
Monroe,NY,"Monroe, NY"
West Haven,CT,"West Haven, CT"
Sturbridge,MA,"Sturbridge, MA"
Hanover,MA,"Hanover, MA"
Cromwell,CT,"Cromwell, CT"
North Attleboro,MA,"North Attleboro, MA"
Tallassee,AL,"Tallassee, AL"
Mohegan Lake,NY,"Mohegan Lake, NY"
Lakewood,NY,"Lakewood, NY"
Massapequa,NY,"Massapequa, NY"
Leeds,AL,"Leeds, AL"
Clanton,AL,"Clanton, AL"
Leeds,AL,"Leeds, AL"
Monticello,NY,"Monticello, NY"
Lynn,MA,"Lynn, MA"
Framingham,MA,"Framingham, MA"
Swansea,MA,"Swansea, MA"
Geneseo,NY,"Geneseo, NY"
Halifax,MA,"Halifax, MA"
Huntsville,AL,"Huntsville, AL"
Evans Mills,NY,"Evans Mills, NY"
Demopolis,AL,"Demopolis, AL"
Horseheads,NY,"Horseheads, NY"
Sylacauga,AL,"Sylacauga, AL"
Gadsden,AL,"Gadsden, AL"
Clanton,AL,"Clanton, AL"
Waterford,CT,"Waterford, CT"
Eufaula,AL,"Eufaula, AL"
Florence,AL,"Florence, AL"
Fall River,MA,"Fall River, MA"
Hamden,CT,"Hamden, CT"
New Milford,CT,"New Milford, CT"
Glenmont,NY,"Glenmont, NY"
Lancaster,NY,"Lancaster, NY"
Springville,AL,"Springville, AL"
Massena,NY,"Massena, NY"
Herkimer,NY,"Herkimer, NY"
Bristol,CT,"Bristol, CT"
Airmont,NY,"Airmont, NY"
Hanover,MA,"Hanover, MA"
Horseheads,NY,"Horseheads, NY"
Herkimer,NY,"Herkimer, NY"
Newburgh,NY,"Newburgh, NY"
Glenmont,NY,"Glenmont, NY"
Greece,NY,"Greece, NY"
Greenville,AL,"Greenville, AL"
Centereach,NY,"Centereach, NY"
Gulf Shores,AL,"Gulf Shores, AL"
Foley,AL,"Foley, AL"
Brewton,AL,"Brewton, AL"
Auburn,NY,"Auburn, NY"
Swansea,MA,"Swansea, MA"
Groton,CT,"Groton, CT"
Lancaster,NY,"Lancaster, NY"
Arab,AL,"Arab, AL"
Middle Island,NY,"Middle Island, NY"
Thomasville,AL,"Thomasville, AL"
Ware,MA,"Ware, MA"
Milford,CT,"Milford, CT"
Geneva,AL,"Geneva, AL"
Fairhaven,MA,"Fairhaven, MA"
Auburn,NY,"Auburn, NY"
Wareham,MA,"Wareham, MA"
Norwalk,CT,"Norwalk, CT"
Muscle Shoals,AL,"Muscle Shoals, AL"
New Milford,CT,"New Milford, CT"
Selma,AL,"Selma, AL"
Derby,CT,"Derby, CT"
Glenville,NY,"Glenville, NY"
East Syracuse,NY,"East Syracuse, NY"
Homewood,AL,"Homewood, AL"
Abington,MA,"Abington, MA"
Chelmsford,MA,"Chelmsford, MA"
Cobleskill,NY,"Cobleskill, NY"
Chelsea,AL,"Chelsea, AL"
Fairhope,AL,"Fairhope, AL"
Madison,AL,"Madison, AL"
Evans Mills,NY,"Evans Mills, NY"
Walpole,MA,"Walpole, MA"
Milford,CT,"Milford, CT"
Bellingham,MA,"Bellingham, MA"
Jacksonville,AL,"Jacksonville, AL"
Brent,AL,"Brent, AL"
Brewton,AL,"Brewton, AL"
Amherst,NY,"Amherst, NY"
Commack,NY,"Commack, NY"
Macedon,NY,"Macedon, NY"
Amsterdam,NY,"Amsterdam, NY"
Phenix City,AL,"Phenix City, AL"
Opelika,AL,"Opelika, AL"
Guntersville,AL,"Guntersville, AL"
Oxford,AL,"Oxford, AL"
Roanoke,AL,"Roanoke, AL"
Cobleskill,NY,"Cobleskill, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Attalla,AL,"Attalla, AL"
Brewton,AL,"Brewton, AL"
Valley,AL,"Valley, AL"
Anniston,AL,"Anniston, AL"
Milford,CT,"Milford, CT"
Johnstown,NY,"Johnstown, NY"
Chelsea,AL,"Chelsea, AL"
Ithaca,NY,"Ithaca, NY"
Lowville,NY,"Lowville, NY"
Auburn,AL,"Auburn, AL"
Demopolis,AL,"Demopolis, AL"
Monticello,NY,"Monticello, NY"
Middletown,NY,"Middletown, NY"
Jasper,AL,"Jasper, AL"
Hornell,NY,"Hornell, NY"
North Reading,MA,"North Reading, MA"
Wetumpka,AL,"Wetumpka, AL"
Ware,MA,"Ware, MA"
Roanoke,AL,"Roanoke, AL"
Farmingdale,NY,"Farmingdale, NY"
Johnstown,NY,"Johnstown, NY"
Naugatuck,CT,"Naugatuck, CT"
Roanoke,AL,"Roanoke, AL"
Leominster,MA,"Leominster, MA"
Torrington,CT,"Torrington, CT"
Leicester,MA,"Leicester, MA"
Clay,NY,"Clay, NY"
Jacksonville,AL,"Jacksonville, AL"
Methuen,MA,"Methuen, MA"
Haleyville,AL,"Haleyville, AL"
Old Saybrook,CT,"Old Saybrook, CT"
Oneonta,AL,"Oneonta, AL"
Waterbury,CT,"Waterbury, CT"
Kingston,NY,"Kingston, NY"
Clanton,AL,"Clanton, AL"
Mobile,AL,"Mobile, AL"
Hornell,NY,"Hornell, NY"
Raynham,MA,"Raynham, MA"
Mohegan Lake,NY,"Mohegan Lake, NY"
Prattville,AL,"Prattville, AL"
Chelmsford,MA,"Chelmsford, MA"
Alabaster,AL,"Alabaster, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Foley,AL,"Foley, AL"
Montgomery,AL,"Montgomery, AL"
Albany,NY,"Albany, NY"
Bellingham,MA,"Bellingham, MA"
Norwalk,CT,"Norwalk, CT"
Selma,AL,"Selma, AL"
Lynn,MA,"Lynn, MA"
Northborough,MA,"Northborough, MA"
Roanoke,AL,"Roanoke, AL"
Southington,CT,"Southington, CT"
Hoover,AL,"Hoover, AL"
Leominster,MA,"Leominster, MA"
Kingston,NY,"Kingston, NY"
Tewksbury,MA,"Tewksbury, MA"
Newington,CT,"Newington, CT"
Malone,NY,"Malone, NY"
Groton,CT,"Groton, CT"
Brewton,AL,"Brewton, AL"
Johnstown,NY,"Johnstown, NY"
Johnstown,NY,"Johnstown, NY"
North Attleboro,MA,"North Attleboro, MA"
Farmingdale,NY,"Farmingdale, NY"
Geneseo,NY,"Geneseo, NY"
Decatur,AL,"Decatur, AL"
Calera,AL,"Calera, AL"
Huntsville,AL,"Huntsville, AL"
Newington,CT,"Newington, CT"
Milford,CT,"Milford, CT"
Brockport,NY,"Brockport, NY"
Amherst,NY,"Amherst, NY"
Danvers,MA,"Danvers, MA"
Hoover,AL,"Hoover, AL"
Opelika,AL,"Opelika, AL"
Jacksonville,AL,"Jacksonville, AL"
Newburgh,NY,"Newburgh, NY"
Northhampton,MA,"Northhampton, MA"
Lakewood,NY,"Lakewood, NY"
Branford,CT,"Branford, CT"
Newington,CT,"Newington, CT"
Daphne,AL,"Daphne, AL"
Monticello,NY,"Monticello, NY"
Kingston,NY,"Kingston, NY"
Scottsboro,AL,"Scottsboro, AL"
Springfield,MA,"Springfield, MA"
Talladega,AL,"Talladega, AL"
Derby,CT,"Derby, CT"
Demopolis,AL,"Demopolis, AL"
Kingston,NY,"Kingston, NY"
Geneva,NY,"Geneva, NY"
Dothan,AL,"Dothan, AL"
Alabaster,AL,"Alabaster, AL"
Johnson City,NY,"Johnson City, NY"
Clanton,AL,"Clanton, AL"
Geneva,AL,"Geneva, AL"
Clay,NY,"Clay, NY"
Hueytown,AL,"Hueytown, AL"
Scottsboro,AL,"Scottsboro, AL"
Tewksbury,MA,"Tewksbury, MA"
Camillus,NY,"Camillus, NY"
Fishkill,NY,"Fishkill, NY"
Fall River,MA,"Fall River, MA"
Clanton,AL,"Clanton, AL"
Gulf Shores,AL,"Gulf Shores, AL"
Branford,CT,"Branford, CT"
Talladega,AL,"Talladega, AL"
Fulton,NY,"Fulton, NY"
Tallassee,AL,"Tallassee, AL"
Southington,CT,"Southington, CT"
Halifax,MA,"Halifax, MA"
Guilford,CT,"Guilford, CT"
Anniston,AL,"Anniston, AL"
Guntersville,AL,"Guntersville, AL"
Halifax,MA,"Halifax, MA"
Bristol,CT,"Bristol, CT"
Middle Island,NY,"Middle Island, NY"
Cobleskill,NY,"Cobleskill, NY"
North Reading,MA,"North Reading, MA"
Chicopee,MA,"Chicopee, MA"
Northport,AL,"Northport, AL"
Moulton,AL,"Moulton, AL"
Hanover,MA,"Hanover, MA"
Ware,MA,"Ware, MA"
Massena,NY,"Massena, NY"
Fayette,AL,"Fayette, AL"
Johnson City,NY,"Johnson City, NY"
Hoover,AL,"Hoover, AL"
Wetumpka,AL,"Wetumpka, AL"
Gardendale,AL,"Gardendale, AL"
Malone,NY,"Malone, NY"
Quincy,MA,"Quincy, MA"
Orange,MA,"Orange, MA"
Ithaca,NY,"Ithaca, NY"
Thomasville,AL,"Thomasville, AL"
Northhampton,MA,"Northhampton, MA"
Middletown,NY,"Middletown, NY"
Johnson City,NY,"Johnson City, NY"
Brockport,NY,"Brockport, NY"
Putnam,CT,"Putnam, CT"
Attalla,AL,"Attalla, AL"
Middle Island,NY,"Middle Island, NY"
Wallingford,CT,"Wallingford, CT"
Farmingdale,NY,"Farmingdale, NY"
Montgomery,AL,"Montgomery, AL"
Hudson,MA,"Hudson, MA"
Commack,NY,"Commack, NY"
Manchester,CT,"Manchester, CT"
North Oxford,MA,"North Oxford, MA"
Swansea,MA,"Swansea, MA"
Camillus,NY,"Camillus, NY"
Bay Minette,AL,"Bay Minette, AL"
Swansea,MA,"Swansea, MA"
Wetumpka,AL,"Wetumpka, AL"
Commack,NY,"Commack, NY"
Monticello,NY,"Monticello, NY"
Boaz,AL,"Boaz, AL"
Homewood,AL,"Homewood, AL"
North Dartmouth,MA,"North Dartmouth, MA"
Dothan,AL,"Dothan, AL"
Lakewood,NY,"Lakewood, NY"
Phenix City,AL,"Phenix City, AL"
Gadsden,AL,"Gadsden, AL"
Haleyville,AL,"Haleyville, AL"
Lockport,NY,"Lockport, NY"
Hueytown,AL,"Hueytown, AL"
Wallingford,CT,"Wallingford, CT"
Massena,NY,"Massena, NY"
Amherst,NY,"Amherst, NY"
Latham,NY,"Latham, NY"
Northport,AL,"Northport, AL"
Troy,AL,"Troy, AL"
Lockport,NY,"Lockport, NY"
Foley,AL,"Foley, AL"
Oxford,AL,"Oxford, AL"
Pell City,AL,"Pell City, AL"
Oneonta,AL,"Oneonta, AL"
Massapequa,NY,"Massapequa, NY"
Johnstown,NY,"Johnstown, NY"
Talladega,AL,"Talladega, AL"
Moulton,AL,"Moulton, AL"
Shelton,CT,"Shelton, CT"
Cicero,NY,"Cicero, NY"
Monroe,NY,"Monroe, NY"
Swansea,MA,"Swansea, MA"
Monticello,NY,"Monticello, NY"
North Adams,MA,"North Adams, MA"
Hamden,CT,"Hamden, CT"
Farmingdale,NY,"Farmingdale, NY"
Johnson City,NY,"Johnson City, NY"
Plymouth,MA,"Plymouth, MA"
Middletown,NY,"Middletown, NY"
Commack,NY,"Commack, NY"
Daphne,AL,"Daphne, AL"
Andalusia,AL,"Andalusia, AL"
Monroe,NY,"Monroe, NY"
Hudson,MA,"Hudson, MA"
Halfmoon,NY,"Halfmoon, NY"
Massena,NY,"Massena, NY"
Adamsville,AL,"Adamsville, AL"
Arab,AL,"Arab, AL"
Brent,AL,"Brent, AL"
Stratford,CT,"Stratford, CT"
Sumiton,AL,"Sumiton, AL"
Anniston,AL,"Anniston, AL"
Canandaigua,NY,"Canandaigua, NY"
Huntsville,AL,"Huntsville, AL"
Springfield,MA,"Springfield, MA"
Vestavia Hills,AL,"Vestavia Hills, AL"
Fulton,NY,"Fulton, NY"
Bellingham,MA,"Bellingham, MA"
Madison,AL,"Madison, AL"
Albion,NY,"Albion, NY"
Opelika,AL,"Opelika, AL"
Vestavia Hills,AL,"Vestavia Hills, AL"
Middle Island,NY,"Middle Island, NY"
New Hartford,NY,"New Hartford, NY"
Methuen,MA,"Methuen, MA"
Framingham,MA,"Framingham, MA"
Waterbury,CT,"Waterbury, CT"
North Dartmouth,MA,"North Dartmouth, MA"
East Windsor,CT,"East Windsor, CT"
East Windsor,CT,"East Windsor, CT"
Fulton,NY,"Fulton, NY"
Newburgh,NY,"Newburgh, NY"
Springville,AL,"Springville, AL"
Athens,AL,"Athens, AL"
Kingston,NY,"Kingston, NY"
Gadsden,AL,"Gadsden, AL"
Ware,MA,"Ware, MA"
Albany,NY,"Albany, NY"
Malone,NY,"Malone, NY"
Boaz,AL,"Boaz, AL"
North Dartmouth,MA,"North Dartmouth, MA"
Demopolis,AL,"Demopolis, AL"
Leicester,MA,"Leicester, MA"
Dothan,AL,"Dothan, AL"
Latham,NY,"Latham, NY"
Montgomery,AL,"Montgomery, AL"
Cheektowaga,NY,"Cheektowaga, NY"
Southington,CT,"Southington, CT"
Ithaca,NY,"Ithaca, NY"
East Meadow,NY,"East Meadow, NY"
Lunenburg,MA,"Lunenburg, MA"
Orange,MA,"Orange, MA"
Fishkill,NY,"Fishkill, NY"
Avon,CT,"Avon, CT"
Geneva,AL,"Geneva, AL"
Lunenburg,MA,"Lunenburg, MA"
Putnam,CT,"Putnam, CT"
Gadsden,AL,"Gadsden, AL"
Geneva,AL,"Geneva, AL"
Amsterdam,NY,"Amsterdam, NY"
Hoover,AL,"Hoover, AL"
Bellingham,MA,"Bellingham, MA"
Jasper,AL,"Jasper, AL"
Oneonta,AL,"Oneonta, AL"
Bristol,CT,"Bristol, CT"
Gardner,MA,"Gardner, MA"
Rocky Hill,CT,"Rocky Hill, CT"
Enterprise,AL,"Enterprise, AL"
Monticello,NY,"Monticello, NY"
Lisbon,CT,"Lisbon, CT"
Latham,NY,"Latham, NY"
Cortlandville,NY,"Cortlandville, NY"
Muscle Shoals,AL,"Muscle Shoals, AL"
Seekonk,MA,"Seekonk, MA"
North Windham,CT,"North Windham, CT"
Centereach,NY,"Centereach, NY"
Gadsden,AL,"Gadsden, AL"
Methuen,MA,"Methuen, MA"
Demopolis,AL,"Demopolis, AL"
Branford,CT,"Branford, CT"
Hudson,MA,"Hudson, MA"
Bristol,CT,"Bristol, CT"
Central Square,NY,"Central Square, NY"
Greenville,AL,"Greenville, AL"
Fulton,NY,"Fulton, NY"
North Windham,CT,"North Windham, CT"
Opelika,AL,"Opelika, AL"
Hamilton,AL,"Hamilton, AL"
Gadsden,AL,"Gadsden, AL"
Mobile,AL,"Mobile, AL"
Hartford,CT,"Hartford, CT"
Lunenburg,MA,"Lunenburg, MA"
Clanton,AL,"Clanton, AL"
Sturbridge,MA,"Sturbridge, MA"
Methuen,MA,"Methuen, MA"
Central Square,NY,"Central Square, NY"
Hamburg,NY,"Hamburg, NY"
Russellville,AL,"Russellville, AL"
Stratford,CT,"Stratford, CT"
Enterprise,AL,"Enterprise, AL"
Oxford,AL,"Oxford, AL"
Jackson,AL,"Jackson, AL"
Enterprise,AL,"Enterprise, AL"
Alabaster,AL,"Alabaster, AL"
Decatur,AL,"Decatur, AL"
Hartford,CT,"Hartford, CT"
Geneva,AL,"Geneva, AL"
Chicopee,MA,"Chicopee, MA"
Fulton,NY,"Fulton, NY"
Massapequa,NY,"Massapequa, NY"
Boaz,AL,"Boaz, AL"
Northborough,MA,"Northborough, MA"
Farmingdale,NY,"Farmingdale, NY"
Newington,CT,"Newington, CT"
Boaz,AL,"Boaz, AL"
Florence,AL,"Florence, AL"
Cobleskill,NY,"Cobleskill, NY"
Ithaca,NY,"Ithaca, NY"
Glenville,NY,"Glenville, NY"
Bay Minette,AL,"Bay Minette, AL"
Salem,MA,"Salem, MA"
Fall River,MA,"Fall River, MA"
Monticello,NY,"Monticello, NY"
North Adams,MA,"North Adams, MA"
Cullman,AL,"Cullman, AL"
Boaz,AL,"Boaz, AL"
Waterford,CT,"Waterford, CT"
Lakewood,NY,"Lakewood, NY"
Macedon,NY,"Macedon, NY"
Greenville,AL,"Greenville, AL"
Guilford,CT,"Guilford, CT"
Saraland,AL,"Saraland, AL"
Fulton,NY,"Fulton, NY"
New Haven,CT,"New Haven, CT"
Methuen,MA,"Methuen, MA"
Massapequa,NY,"Massapequa, NY"
Herkimer,NY,"Herkimer, NY"
Clanton,AL,"Clanton, AL"
Plymouth,MA,"Plymouth, MA"
Hoover,AL,"Hoover, AL"
Cicero,NY,"Cicero, NY"
Geneseo,NY,"Geneseo, NY"
Anniston,AL,"Anniston, AL"
Lakewood,NY,"Lakewood, NY"
Calera,AL,"Calera, AL"
Centereach,NY,"Centereach, NY"
Oneonta,AL,"Oneonta, AL"
Centre,AL,"Centre, AL"
Hueytown,AL,"Hueytown, AL"
Daphne,AL,"Daphne, AL"
Fairhope,AL,"Fairhope, AL"
Monroe,NY,"Monroe, NY"
Boaz,AL,"Boaz, AL"
Cicero,NY,"Cicero, NY"
Orange,MA,"Orange, MA"
Guntersville,AL,"Guntersville, AL"
East Falmouth,MA,"East Falmouth, MA"
Brent,AL,"Brent, AL"
Saraland,AL,"Saraland, AL"
Cromwell,CT,"Cromwell, CT"
Stratford,CT,"Stratford, CT"
Newburgh,NY,"Newburgh, NY"
Northborough,MA,"Northborough, MA"
Leominster,MA,"Leominster, MA"
Naugatuck,CT,"Naugatuck, CT"
North Reading,MA,"North Reading, MA"
Camillus,NY,"Camillus, NY"
Oneonta,AL,"Oneonta, AL"
Central Square,NY,"Central Square, NY"
East Meadow,NY,"East Meadow, NY"
Branford,CT,"Branford, CT"
Lisbon,CT,"Lisbon, CT"
Scottsboro,AL,"Scottsboro, AL"
Selma,AL,"Selma, AL"
Malone,NY,"Malone, NY"
Northport,AL,"Northport, AL"
Gardendale,AL,"Gardendale, AL"
Ithaca,NY,"Ithaca, NY"
Herkimer,NY,"Herkimer, NY"
Middletown,NY,"Middletown, NY"
West Haven,CT,"West Haven, CT"
Commack,NY,"Commack, NY"
Roanoke,AL,"Roanoke, AL"
Lynn,MA,"Lynn, MA"
Mobile,AL,"Mobile, AL"
North Reading,MA,"North Reading, MA"
Walpole,MA,"Walpole, MA"
Albany,NY,"Albany, NY"
Massena,NY,"Massena, NY"
Muscle Shoals,AL,"Muscle Shoals, AL"
Semmes,AL,"Semmes, AL"
Plymouth,MA,"Plymouth, MA"
Auburn,NY,"Auburn, NY"
Monticello,NY,"Monticello, NY"
Southington,CT,"Southington, CT"
Saraland,AL,"Saraland, AL"
Central Square,NY,"Central Square, NY"
Haleyville,AL,"Haleyville, AL"
Clanton,AL,"Clanton, AL"
Horseheads,NY,"Horseheads, NY"
Geneseo,NY,"Geneseo, NY"
Central Square,NY,"Central Square, NY"
Thomasville,AL,"Thomasville, AL"
Brent,AL,"Brent, AL"
Fairhaven,MA,"Fairhaven, MA"
Fairhope,AL,"Fairhope, AL"
Avon,MA,"Avon, MA"
Oxford,AL,"Oxford, AL"
Hartford,CT,"Hartford, CT"
Roanoke,AL,"Roanoke, AL"
Lunenburg,MA,"Lunenburg, MA"
Hamden,CT,"Hamden, CT"
Leeds,AL,"Leeds, AL"
Bay Minette,AL,"Bay Minette, AL"
Glenmont,NY,"Glenmont, NY"
Winfield,AL,"Winfield, AL"
Lisbon,CT,"Lisbon, CT"
Horseheads,NY,"Horseheads, NY"
Centereach,NY,"Centereach, NY"
Monticello,NY,"Monticello, NY"
Gardner,MA,"Gardner, MA"
Moulton,AL,"Moulton, AL"
Clay,NY,"Clay, NY"
Centereach,NY,"Centereach, NY"
Lockport,NY,"Lockport, NY"
Birmingham,AL,"Birmingham, AL"
Cicero,NY,"Cicero, NY"
Troy,AL,"Troy, AL"
Semmes,AL,"Semmes, AL"
Decatur,AL,"Decatur, AL"
Northborough,MA,"Northborough, MA"
Hornell,NY,"Hornell, NY"
Cromwell,CT,"Cromwell, CT"
Ware,MA,"Ware, MA"
Commack,NY,"Commack, NY"
Foley,AL,"Foley, AL"
Vestavia Hills,AL,"Vestavia Hills, AL"
Fayette,AL,"Fayette, AL"
North Dartmouth,MA,"North Dartmouth, MA"
Hadley,MA,"Hadley, MA"
West Haven,CT,"West Haven, CT"
Mohegan Lake,NY,"Mohegan Lake, NY"
Amsterdam,NY,"Amsterdam, NY"
Danvers,MA,"Danvers, MA"
Decatur,AL,"Decatur, AL"
Gulf Shores,AL,"Gulf Shores, AL"
East Windsor,CT,"East Windsor, CT"
East Syracuse,NY,"East Syracuse, NY"
Attalla,AL,"Attalla, AL"
Gulf Shores,AL,"Gulf Shores, AL"
Leicester,MA,"Leicester, MA"
Lynn,MA,"Lynn, MA"
Halifax,MA,"Halifax, MA"
Pittsfield,MA,"Pittsfield, MA"
Newburgh,NY,"Newburgh, NY"
Northborough,MA,"Northborough, MA"
Framingham,MA,"Framingham, MA"
Amsterdam,NY,"Amsterdam, NY"
Shelton,CT,"Shelton, CT"
Kingston,NY,"Kingston, NY"
Selma,AL,"Selma, AL"
Malone,NY,"Malone, NY"
Hamburg,NY,"Hamburg, NY"
Raynham,MA,"Raynham, MA"
Anniston,AL,"Anniston, AL"
Hamilton,AL,"Hamilton, AL"
Abington,MA,"Abington, MA"
Danvers,MA,"Danvers, MA"
