latitude,longitude,coordinates
-52.461571,-158.483944,"-52.461571, -158.483944"
-5.7978855,125.450848,"-5.7978855, 125.450848"
57.3768295,178.841581,"57.3768295, 178.841581"
88.751666,153.103660,"88.751666, 153.103660"
-53.8483935,119.316437,"-53.8483935, 119.316437"
-28.276477,6.689696,"-28.276477, 6.689696"
44.1008785,-155.217018,"44.1008785, -155.217018"
72.8925025,-87.943931,"72.8925025, -87.943931"
-3.6982435,-171.967326,"-3.6982435, -171.967326"
40.9272435,39.003401,"40.9272435, 39.003401"
86.2659545,-28.890376,"86.2659545, -28.890376"
-39.280770,-65.627729,"-39.280770, -65.627729"
-9.7244405,-56.288178,"-9.7244405, -56.288178"
-69.528946,46.082609,"-69.528946, 46.082609"
9.3076705,-101.739759,"9.3076705, -101.739759"
1.5621565,3.691950,"1.5621565, 3.691950"
-55.5086435,-79.989720,"-55.5086435, -79.989720"
47.407857,70.699718,"47.407857, 70.699718"
60.094615,99.428057,"60.094615, 99.428057"
-45.7674375,86.156315,"-45.7674375, 86.156315"
45.5347515,143.368759,"45.5347515, 143.368759"
-0.827454,-136.062227,"-0.827454, -136.062227"
77.420086,-14.744976,"77.420086, -14.744976"
-70.518476,173.487943,"-70.518476, 173.487943"
84.127821,74.077808,"84.127821, 74.077808"
-46.575465,-130.483945,"-46.575465, -130.483945"
60.4207035,-57.056482,"60.4207035, -57.056482"
-50.542507,129.590434,"-50.542507, 129.590434"
-25.4660785,29.856907,"-25.4660785, 29.856907"
-46.9354315,132.505484,"-46.9354315, 132.505484"
-15.1693055,-149.775566,"-15.1693055, -149.775566"
-69.560668,78.577514,"-69.560668, 78.577514"
-21.7516855,-163.855195,"-21.7516855, -163.855195"
53.015518,-17.532251,"53.015518, -17.532251"
-37.3220595,-146.738034,"-37.3220595, -146.738034"
-6.6395565,42.344857,"-6.6395565, 42.344857"
-44.0615635,-33.772512,"-44.0615635, -33.772512"
66.4055025,-8.655700,"66.4055025, -8.655700"
81.2097925,-54.718386,"81.2097925, -54.718386"
16.028444,168.816543,"16.028444, 168.816543"
87.8679095,-164.420064,"87.8679095, -164.420064"
-31.6039325,-99.625273,"-31.6039325, -99.625273"
88.5595825,176.472132,"88.5595825, 176.472132"
-72.6438665,-133.523927,"-72.6438665, -133.523927"
-61.040868,-124.080938,"-61.040868, -124.080938"
-82.540802,-166.602492,"-82.540802, -166.602492"
23.7809435,78.679907,"23.7809435, 78.679907"
-59.6435345,-118.226120,"-59.6435345, -118.226120"
33.4989905,139.376143,"33.4989905, 139.376143"
68.373710,-93.267187,"68.373710, -93.267187"
77.7542675,-124.846811,"77.7542675, -124.846811"
-8.111687,-120.062495,"-8.111687, -120.062495"
-12.923145,168.466709,"-12.923145, 168.466709"
-30.3818885,-31.305807,"-30.3818885, -31.305807"
-5.1960095,79.416387,"-5.1960095, 79.416387"
26.652073,85.201638,"26.652073, 85.201638"
29.8185765,142.537043,"29.8185765, 142.537043"
-59.991236,-48.499121,"-59.991236, -48.499121"
42.3291675,-142.862482,"42.3291675, -142.862482"
-85.715339,156.661395,"-85.715339, 156.661395"
51.201159,-130.215911,"51.201159, -130.215911"
-81.019268,-171.883533,"-81.019268, -171.883533"
76.6417305,-28.602108,"76.6417305, -28.602108"
-20.390734,-25.607964,"-20.390734, -25.607964"
-50.4838185,-70.990912,"-50.4838185, -70.990912"
73.869872,-81.627849,"73.869872, -81.627849"
78.738455,88.745681,"78.738455, 88.745681"
3.3466975,157.241334,"3.3466975, 157.241334"
57.982543,72.361183,"57.982543, 72.361183"
-79.0086385,-149.777632,"-79.0086385, -149.777632"
-9.8938155,4.683625,"-9.8938155, 4.683625"
-5.984282,-164.993455,"-5.984282, -164.993455"
-76.2479475,151.470485,"-76.2479475, 151.470485"
53.256377,149.927754,"53.256377, 149.927754"
69.845627,93.177730,"69.845627, 93.177730"
61.1529745,80.771217,"61.1529745, 80.771217"
-26.7821015,-54.943283,"-26.7821015, -54.943283"
-78.043886,-133.607946,"-78.043886, -133.607946"
-40.434757,24.987086,"-40.434757, 24.987086"
-15.501171,-46.882870,"-15.501171, -46.882870"
45.192189,4.808119,"45.192189, 4.808119"
15.2612355,-52.106316,"15.2612355, -52.106316"
-71.2805335,110.975463,"-71.2805335, 110.975463"
-25.0604885,-56.084836,"-25.0604885, -56.084836"
-77.065710,44.292770,"-77.065710, 44.292770"
89.0482145,6.233299,"89.0482145, 6.233299"
38.207459,159.343108,"38.207459, 159.343108"
-46.2906035,93.550520,"-46.2906035, 93.550520"
32.513053,-93.834574,"32.513053, -93.834574"
45.604863,118.626922,"45.604863, 118.626922"
21.730613,76.379881,"21.730613, 76.379881"
-73.373289,-11.250694,"-73.373289, -11.250694"
20.525385,-0.254821,"20.525385, -0.254821"
-52.0778185,-165.395875,"-52.0778185, -165.395875"
-24.137366,137.427851,"-24.137366, 137.427851"
60.0274785,146.507542,"60.0274785, 146.507542"
0.6356625,115.861248,"0.6356625, 115.861248"
43.736273,-39.377805,"43.736273, -39.377805"
-22.0303095,32.698625,"-22.0303095, 32.698625"
29.035963,14.002151,"29.035963, 14.002151"
81.7867695,-10.391066,"81.7867695, -10.391066"
32.1086025,146.222788,"32.1086025, 146.222788"
-82.4954825,-145.207463,"-82.4954825, -145.207463"
-75.3234675,-152.588396,"-75.3234675, -152.588396"
43.540746,-116.940402,"43.540746, -116.940402"
82.947011,-107.246203,"82.947011, -107.246203"
-7.5642785,165.929849,"-7.5642785, 165.929849"
25.036731,45.613906,"25.036731, 45.613906"
73.6141195,111.533641,"73.6141195, 111.533641"
-11.496489,27.146693,"-11.496489, 27.146693"
-27.3297875,-136.183306,"-27.3297875, -136.183306"
-18.871260,130.790672,"-18.871260, 130.790672"
58.2726575,35.191941,"58.2726575, 35.191941"
-55.1569515,-54.784077,"-55.1569515, -54.784077"
34.5464325,120.018125,"34.5464325, 120.018125"
-50.0784285,-135.893312,"-50.0784285, -135.893312"
80.0610935,-148.591465,"80.0610935, -148.591465"
-6.903663,168.469130,"-6.903663, 168.469130"
76.5499015,-11.083062,"76.5499015, -11.083062"
84.729464,64.864554,"84.729464, 64.864554"
-72.613600,171.801518,"-72.613600, 171.801518"
-49.572642,79.747908,"-49.572642, 79.747908"
-66.3532255,168.194599,"-66.3532255, 168.194599"
45.620740,45.454900,"45.620740, 45.454900"
-13.280047,174.145196,"-13.280047, 174.145196"
-87.2756855,-6.809825,"-87.2756855, -6.809825"
-88.455813,-173.559265,"-88.455813, -173.559265"
-46.410228,95.157257,"-46.410228, 95.157257"
32.6746055,109.404554,"32.6746055, 109.404554"
-57.625502,100.709214,"-57.625502, 100.709214"
40.8953225,-3.663721,"40.8953225, -3.663721"
-48.3428845,-20.623491,"-48.3428845, -20.623491"
67.048470,-62.396174,"67.048470, -62.396174"
-87.8680305,-40.747139,"-87.8680305, -40.747139"
-10.804310,-48.593315,"-10.804310, -48.593315"
-84.629455,119.321313,"-84.629455, 119.321313"
-50.972535,-12.006758,"-50.972535, -12.006758"
-24.2115275,157.752189,"-24.2115275, 157.752189"
-87.8370495,24.165874,"-87.8370495, 24.165874"
25.349143,-36.870564,"25.349143, -36.870564"
-5.403928,95.359543,"-5.403928, 95.359543"
45.0154635,-159.918876,"45.0154635, -159.918876"
50.628275,101.387770,"50.628275, 101.387770"
34.196941,80.424851,"34.196941, 80.424851"
10.4728065,77.649875,"10.4728065, 77.649875"
37.6105555,71.244398,"37.6105555, 71.244398"
4.366796,-10.598608,"4.366796, -10.598608"
-75.9713375,144.777767,"-75.9713375, 144.777767"
70.5456125,-125.492357,"70.5456125, -125.492357"
0.100789,176.983782,"0.100789, 176.983782"
53.2100765,57.689757,"53.2100765, 57.689757"
63.5685095,-55.506935,"63.5685095, -55.506935"
-47.940692,-12.514581,"-47.940692, -12.514581"
24.868982,169.533761,"24.868982, 169.533761"
-9.295922,-11.682781,"-9.295922, -11.682781"
-66.9860035,13.794348,"-66.9860035, 13.794348"
-11.345680,62.092177,"-11.345680, 62.092177"
54.0323775,-77.321443,"54.0323775, -77.321443"
-40.2984875,-37.239975,"-40.2984875, -37.239975"
57.930509,-104.752507,"57.930509, -104.752507"
-1.823259,14.429726,"-1.823259, 14.429726"
82.211987,137.013255,"82.211987, 137.013255"
-15.3384285,-117.884242,"-15.3384285, -117.884242"
45.7666405,-121.270528,"45.7666405, -121.270528"
67.8486965,118.226238,"67.8486965, 118.226238"
66.2982365,37.682266,"66.2982365, 37.682266"
58.8634975,133.985186,"58.8634975, 133.985186"
-84.7999035,36.673576,"-84.7999035, 36.673576"
-1.872145,-76.179221,"-1.872145, -76.179221"
59.964194,-70.509043,"59.964194, -70.509043"
57.561926,50.142736,"57.561926, 50.142736"
-19.8302215,124.518232,"-19.8302215, 124.518232"
13.543989,-132.799577,"13.543989, -132.799577"
85.203072,-40.717974,"85.203072, -40.717974"
-89.876301,72.129982,"-89.876301, 72.129982"
-50.7587705,-65.276365,"-50.7587705, -65.276365"
-40.928991,-90.020718,"-40.928991, -90.020718"
83.257097,-65.265032,"83.257097, -65.265032"
52.8976245,-115.666783,"52.8976245, -115.666783"
-10.5065425,-46.399775,"-10.5065425, -46.399775"
-75.6252825,155.795370,"-75.6252825, 155.795370"
-70.622691,-115.729065,"-70.622691, -115.729065"
24.604875,157.964603,"24.604875, 157.964603"
-87.8767675,-125.662124,"-87.8767675, -125.662124"
51.341810,147.046514,"51.341810, 147.046514"
-59.3966355,95.299987,"-59.3966355, 95.299987"
51.083763,-33.586025,"51.083763, -33.586025"
44.0432415,-5.903354,"44.0432415, -5.903354"
-23.0598825,-148.069881,"-23.0598825, -148.069881"
64.4836525,111.291107,"64.4836525, 111.291107"
43.487662,-9.202753,"43.487662, -9.202753"
-56.774351,136.795952,"-56.774351, 136.795952"
-32.605974,-74.980024,"-32.605974, -74.980024"
48.048504,-146.242076,"48.048504, -146.242076"
62.6861485,-172.639479,"62.6861485, -172.639479"
33.1635535,81.487614,"33.1635535, 81.487614"
-9.5052275,179.547438,"-9.5052275, 179.547438"
9.7030675,-146.682876,"9.7030675, -146.682876"
-68.4988155,166.768744,"-68.4988155, 166.768744"
35.0718525,173.003085,"35.0718525, 173.003085"
72.3762425,112.365346,"72.3762425, 112.365346"
12.5948205,-61.633530,"12.5948205, -61.633530"
50.430634,177.108081,"50.430634, 177.108081"
78.6612725,-129.397116,"78.6612725, -129.397116"
19.5266775,65.850416,"19.5266775, 65.850416"
23.557253,124.878167,"23.557253, 124.878167"
-40.5675605,-40.679101,"-40.5675605, -40.679101"
-49.261244,-62.254741,"-49.261244, -62.254741"
43.7348945,101.161641,"43.7348945, 101.161641"
56.2587685,-69.643508,"56.2587685, -69.643508"
-42.3254925,126.338826,"-42.3254925, 126.338826"
30.1575155,56.964048,"30.1575155, 56.964048"
68.9332805,-12.782705,"68.9332805, -12.782705"
-6.7910265,101.212700,"-6.7910265, 101.212700"
-0.3041455,84.048366,"-0.3041455, 84.048366"
-47.240915,-3.561551,"-47.240915, -3.561551"
79.639486,-144.707776,"79.639486, -144.707776"
61.367880,-71.686815,"61.367880, -71.686815"
16.632917,-135.182931,"16.632917, -135.182931"
77.9611085,53.279964,"77.9611085, 53.279964"
-13.541340,103.475666,"-13.541340, 103.475666"
60.2902345,22.074138,"60.2902345, 22.074138"
74.023172,6.065308,"74.023172, 6.065308"
3.1776415,-75.688314,"3.1776415, -75.688314"
-20.266455,136.923762,"-20.266455, 136.923762"
-85.0247955,-62.210619,"-85.0247955, -62.210619"
-26.8625945,123.879039,"-26.8625945, 123.879039"
8.6515625,-162.864355,"8.6515625, -162.864355"
-33.232366,2.904355,"-33.232366, 2.904355"
-25.9563225,169.002049,"-25.9563225, 169.002049"
48.039609,66.926495,"48.039609, 66.926495"
-28.264262,-64.389524,"-28.264262, -64.389524"
-68.776210,52.900003,"-68.776210, 52.900003"
13.8976075,113.755189,"13.8976075, 113.755189"
3.3391415,116.114329,"3.3391415, 116.114329"
70.5766935,3.346608,"70.5766935, 3.346608"
-11.224047,-142.357748,"-11.224047, -142.357748"
-49.849621,21.568180,"-49.849621, 21.568180"
28.5458265,79.987517,"28.5458265, 79.987517"
68.498547,98.865266,"68.498547, 98.865266"
1.9945115,99.394322,"1.9945115, 99.394322"
-32.784137,-113.701255,"-32.784137, -113.701255"
40.147888,-11.478300,"40.147888, -11.478300"
-70.460175,-69.358927,"-70.460175, -69.358927"
-87.5774045,74.085623,"-87.5774045, 74.085623"
79.544375,-171.522970,"79.544375, -171.522970"
-23.7436375,134.991570,"-23.7436375, 134.991570"
48.299238,-145.254454,"48.299238, -145.254454"
3.530483,154.651336,"3.530483, 154.651336"
-18.9912905,128.359853,"-18.9912905, 128.359853"
-62.3471995,42.195096,"-62.3471995, 42.195096"
-89.927971,92.634373,"-89.927971, 92.634373"
11.6033915,-109.133819,"11.6033915, -109.133819"
62.3074265,20.449730,"62.3074265, 20.449730"
-1.231431,126.144347,"-1.231431, 126.144347"
32.335373,-87.111954,"32.335373, -87.111954"
38.7296165,-135.907270,"38.7296165, -135.907270"
65.315337,-35.290749,"65.315337, -35.290749"
-39.1791275,-166.426200,"-39.1791275, -166.426200"
-63.7395025,114.267686,"-63.7395025, 114.267686"
47.030888,-90.141322,"47.030888, -90.141322"
80.7980295,19.549761,"80.7980295, 19.549761"
76.208416,158.433197,"76.208416, 158.433197"
-85.9886075,-76.985535,"-85.9886075, -76.985535"
42.0592875,-119.027057,"42.0592875, -119.027057"
-28.5618375,96.006274,"-28.5618375, 96.006274"
88.408107,-20.976458,"88.408107, -20.976458"
-35.120305,-87.721310,"-35.120305, -87.721310"
10.381911,22.567725,"10.381911, 22.567725"
-75.2875725,32.062144,"-75.2875725, 32.062144"
-78.330743,-44.718223,"-78.330743, -44.718223"
81.9710485,177.603481,"81.9710485, 177.603481"
0.041440,116.380670,"0.041440, 116.380670"
-8.162781,24.773587,"-8.162781, 24.773587"
77.466117,-129.996472,"77.466117, -129.996472"
66.9127835,117.105611,"66.9127835, 117.105611"
-23.6851865,156.222260,"-23.6851865, 156.222260"
-59.2677785,7.760521,"-59.2677785, 7.760521"
-52.0711715,8.213438,"-52.0711715, 8.213438"
21.9046195,78.798629,"21.9046195, 78.798629"
-37.381184,-17.732045,"-37.381184, -17.732045"
1.9133555,-154.896442,"1.9133555, -154.896442"
7.3093065,96.094731,"7.3093065, 96.094731"
35.4240885,41.650174,"35.4240885, 41.650174"
43.4900855,19.755252,"43.4900855, 19.755252"
63.115933,-144.271113,"63.115933, -144.271113"
14.984667,-41.996555,"14.984667, -41.996555"
75.6747975,-37.736075,"75.6747975, -37.736075"
-26.4293545,91.665154,"-26.4293545, 91.665154"
-80.9217495,46.356197,"-80.9217495, 46.356197"
-40.495742,-62.295502,"-40.495742, -62.295502"
-18.383603,-137.978309,"-18.383603, -137.978309"
-58.9025445,102.325751,"-58.9025445, 102.325751"
-34.4342955,30.414728,"-34.4342955, 30.414728"
-78.008794,179.707633,"-78.008794, 179.707633"
-27.8043845,117.806175,"-27.8043845, 117.806175"
-85.731621,-85.599553,"-85.731621, -85.599553"
16.3322195,-43.229278,"16.3322195, -43.229278"
35.4354475,-107.781681,"35.4354475, -107.781681"
45.211679,-144.854529,"45.211679, -144.854529"
-41.8795645,-92.994098,"-41.8795645, -92.994098"
33.029883,-117.613088,"33.029883, -117.613088"
-45.2053275,132.738104,"-45.2053275, 132.738104"
55.434193,145.325770,"55.434193, 145.325770"
-55.4286025,-48.946863,"-55.4286025, -48.946863"
-25.6688145,133.206544,"-25.6688145, 133.206544"
-86.992912,19.617724,"-86.992912, 19.617724"
-42.8587115,-68.170147,"-42.8587115, -68.170147"
50.5022845,-160.756215,"50.5022845, -160.756215"
-50.7171035,13.984896,"-50.7171035, 13.984896"
-33.6231695,-27.255740,"-33.6231695, -27.255740"
48.119986,-89.779365,"48.119986, -89.779365"
-63.674552,61.184978,"-63.674552, 61.184978"
-14.1885495,6.902447,"-14.1885495, 6.902447"
3.3007685,-101.772768,"3.3007685, -101.772768"
15.346878,33.867999,"15.346878, 33.867999"
55.6290245,100.051618,"55.6290245, 100.051618"
-64.503733,151.701301,"-64.503733, 151.701301"
57.718948,-41.783824,"57.718948, -41.783824"
-47.5983975,-71.256589,"-47.5983975, -71.256589"
87.2623095,106.820448,"87.2623095, 106.820448"
-51.6598975,167.663566,"-51.6598975, 167.663566"
80.9686195,101.952578,"80.9686195, 101.952578"
62.3569555,-134.102746,"62.3569555, -134.102746"
18.399794,32.850972,"18.399794, 32.850972"
32.370854,42.059402,"32.370854, 42.059402"
-40.1014625,39.501002,"-40.1014625, 39.501002"
-34.5770995,36.241452,"-34.5770995, 36.241452"
-55.4437575,79.830412,"-55.4437575, 79.830412"
64.497792,-29.410578,"64.497792, -29.410578"
-42.1279645,62.320911,"-42.1279645, 62.320911"
-77.852662,99.158806,"-77.852662, 99.158806"
61.258504,152.439683,"61.258504, 152.439683"
75.6634735,-84.665982,"75.6634735, -84.665982"
33.461925,63.770253,"33.461925, 63.770253"
19.9618995,-28.888582,"19.9618995, -28.888582"
18.7707385,-118.105620,"18.7707385, -118.105620"
74.1436415,69.473907,"74.1436415, 69.473907"
-27.428614,-29.827945,"-27.428614, -29.827945"
-35.779892,9.698255,"-35.779892, 9.698255"
-3.0042825,-140.496254,"-3.0042825, -140.496254"
57.518007,32.013923,"57.518007, 32.013923"
67.1255275,-22.730005,"67.1255275, -22.730005"
-13.6989055,124.166448,"-13.6989055, 124.166448"
77.993094,117.587705,"77.993094, 117.587705"
18.997518,90.457519,"18.997518, 90.457519"
-49.0255655,99.631217,"-49.0255655, 99.631217"
-79.4709525,40.927869,"-79.4709525, 40.927869"
55.537122,30.719921,"55.537122, 30.719921"
24.1101075,-125.703118,"24.1101075, -125.703118"
-18.7213955,-131.608265,"-18.7213955, -131.608265"
-40.098821,-97.148480,"-40.098821, -97.148480"
-11.256867,6.129670,"-11.256867, 6.129670"
77.7033405,-5.461516,"77.7033405, -5.461516"
-69.152364,-0.535317,"-69.152364, -0.535317"
-68.356750,36.971042,"-68.356750, 36.971042"
89.4875365,117.139907,"89.4875365, 117.139907"
27.915581,31.105731,"27.915581, 31.105731"
14.1799255,38.541204,"14.1799255, 38.541204"
-53.6674915,-48.162677,"-53.6674915, -48.162677"
34.2955425,-127.583434,"34.2955425, -127.583434"
67.0485155,-50.185122,"67.0485155, -50.185122"
-4.855262,-86.656486,"-4.855262, -86.656486"
-11.3559845,-96.165318,"-11.3559845, -96.165318"
-32.286525,-30.302532,"-32.286525, -30.302532"
-77.693973,178.585915,"-77.693973, 178.585915"
-41.185717,152.580210,"-41.185717, 152.580210"
-10.0483865,-13.768236,"-10.0483865, -13.768236"
18.3000925,6.738150,"18.3000925, 6.738150"
42.634587,127.031878,"42.634587, 127.031878"
-50.3154295,70.878104,"-50.3154295, 70.878104"
-1.8322695,86.494574,"-1.8322695, 86.494574"
87.4113695,-3.074960,"87.4113695, -3.074960"
1.129696,-152.819307,"1.129696, -152.819307"
-47.7845185,61.742286,"-47.7845185, 61.742286"
8.2711035,126.599716,"8.2711035, 126.599716"
23.734164,29.359122,"23.734164, 29.359122"
31.370546,-146.965353,"31.370546, -146.965353"
-84.4155325,2.790890,"-84.4155325, 2.790890"
-11.110654,-46.841641,"-11.110654, -46.841641"
-85.404435,-44.424597,"-85.404435, -44.424597"
43.018272,-89.325803,"43.018272, -89.325803"
-39.320894,36.498365,"-39.320894, 36.498365"
16.706989,-104.207426,"16.706989, -104.207426"
-14.4336965,-151.081070,"-14.4336965, -151.081070"
38.734172,-19.125396,"38.734172, -19.125396"
-20.802499,91.022920,"-20.802499, 91.022920"
38.6303115,152.435467,"38.6303115, 152.435467"
5.357425,-81.834481,"5.357425, -81.834481"
49.7183855,-161.395952,"49.7183855, -161.395952"
-41.2454875,-86.945049,"-41.2454875, -86.945049"
-85.8493175,-167.462108,"-85.8493175, -167.462108"
-67.6253015,-98.590773,"-67.6253015, -98.590773"
13.270361,3.619769,"13.270361, 3.619769"
-12.023918,-15.581554,"-12.023918, -15.581554"
-81.0228435,-62.482116,"-81.0228435, -62.482116"
-17.802841,-150.166468,"-17.802841, -150.166468"
68.6848045,104.398682,"68.6848045, 104.398682"
-36.1329135,165.532793,"-36.1329135, 165.532793"
-18.6682565,68.206663,"-18.6682565, 68.206663"
-16.793358,21.215757,"-16.793358, 21.215757"
84.969575,65.466069,"84.969575, 65.466069"
-73.737009,170.563637,"-73.737009, 170.563637"
39.7849515,-151.578605,"39.7849515, -151.578605"
44.892340,-118.852509,"44.892340, -118.852509"
-66.2007615,45.976698,"-66.2007615, 45.976698"
1.9551565,145.343264,"1.9551565, 145.343264"
-76.8432915,-15.912771,"-76.8432915, -15.912771"
36.0805925,-11.512074,"36.0805925, -11.512074"
-79.535197,67.169445,"-79.535197, 67.169445"
41.7721575,29.653397,"41.7721575, 29.653397"
-5.7098385,65.466749,"-5.7098385, 65.466749"
41.6840545,-65.682553,"41.6840545, -65.682553"
7.0332615,86.008395,"7.0332615, 86.008395"
-63.699328,27.444522,"-63.699328, 27.444522"
-26.7496255,-36.341127,"-26.7496255, -36.341127"
83.104308,38.143879,"83.104308, 38.143879"
-56.155727,-108.402304,"-56.155727, -108.402304"
0.824315,14.218746,"0.824315, 14.218746"
12.1102045,-58.834456,"12.1102045, -58.834456"
85.1436315,91.105812,"85.1436315, 91.105812"
-72.3978815,13.282997,"-72.3978815, 13.282997"
64.378628,-120.674040,"64.378628, -120.674040"
-70.1824195,-14.518198,"-70.1824195, -14.518198"
-58.794516,-23.426869,"-58.794516, -23.426869"
37.9708665,-27.701271,"37.9708665, -27.701271"
39.0820175,-24.886019,"39.0820175, -24.886019"
0.309379,-56.847765,"0.309379, -56.847765"
-70.0109435,123.199630,"-70.0109435, 123.199630"
0.543064,-121.295741,"0.543064, -121.295741"
-76.855347,-156.436984,"-76.855347, -156.436984"
26.787021,154.968639,"26.787021, 154.968639"
-40.5748775,-84.406304,"-40.5748775, -84.406304"
64.3466125,-56.959167,"64.3466125, -56.959167"
72.907035,170.567566,"72.907035, 170.567566"
-76.024692,-153.566066,"-76.024692, -153.566066"
41.630959,45.313125,"41.630959, 45.313125"
50.597361,17.065632,"50.597361, 17.065632"
-15.587388,55.720310,"-15.587388, 55.720310"
53.4718865,-113.201589,"53.4718865, -113.201589"
-37.846690,130.495947,"-37.846690, 130.495947"
29.8308515,-64.376069,"29.8308515, -64.376069"
-50.2365565,110.389876,"-50.2365565, 110.389876"
67.6439265,27.472085,"67.6439265, 27.472085"
-55.1235555,146.333166,"-55.1235555, 146.333166"
-69.1716425,-100.269852,"-69.1716425, -100.269852"
-83.5348925,6.517778,"-83.5348925, 6.517778"
53.757814,-73.117352,"53.757814, -73.117352"
-62.8790585,36.326381,"-62.8790585, 36.326381"
-86.7344405,-162.593123,"-86.7344405, -162.593123"
-40.3035895,-159.439904,"-40.3035895, -159.439904"
-15.1289505,29.127129,"-15.1289505, 29.127129"
76.628267,-107.962413,"76.628267, -107.962413"
-89.205497,131.163203,"-89.205497, 131.163203"
10.5877675,-155.293862,"10.5877675, -155.293862"
23.796986,-127.370212,"23.796986, -127.370212"
-54.136564,-153.663190,"-54.136564, -153.663190"
13.928707,99.478376,"13.928707, 99.478376"
-61.2819445,-2.351339,"-61.2819445, -2.351339"
70.1762695,132.753742,"70.1762695, 132.753742"
-13.5433405,-93.439428,"-13.5433405, -93.439428"
57.2174955,-164.650120,"57.2174955, -164.650120"
-17.310959,137.797315,"-17.310959, 137.797315"
-88.2347225,84.279471,"-88.2347225, 84.279471"
-63.632163,-128.256310,"-63.632163, -128.256310"
-73.2998435,-70.515044,"-73.2998435, -70.515044"
79.8264575,172.804799,"79.8264575, 172.804799"
36.051577,137.259062,"36.051577, 137.259062"
18.480263,80.986450,"18.480263, 80.986450"
8.522910,-49.239720,"8.522910, -49.239720"
11.4639065,-153.951984,"11.4639065, -153.951984"
-77.4464165,-117.504790,"-77.4464165, -117.504790"
-23.1291085,127.986065,"-23.1291085, 127.986065"
49.7837005,-51.187160,"49.7837005, -51.187160"
26.5622365,98.199318,"26.5622365, 98.199318"
-68.3408315,-87.889837,"-68.3408315, -87.889837"
3.0698915,-124.323666,"3.0698915, -124.323666"
-81.432005,-43.064762,"-81.432005, -43.064762"
-43.784115,-171.068017,"-43.784115, -171.068017"
-51.541343,-115.596630,"-51.541343, -115.596630"
87.1736395,-6.929463,"87.1736395, -6.929463"
20.581339,82.033184,"20.581339, 82.033184"
60.0839375,-7.003312,"60.0839375, -7.003312"
54.5332875,-36.324248,"54.5332875, -36.324248"
76.5945525,-128.564194,"76.5945525, -128.564194"
-59.3140655,-162.915606,"-59.3140655, -162.915606"
28.764064,-70.990515,"28.764064, -70.990515"
-18.349095,-19.840164,"-18.349095, -19.840164"
-1.665671,108.467121,"-1.665671, 108.467121"
66.0724975,-146.751953,"66.0724975, -146.751953"
-68.6856825,33.795774,"-68.6856825, 33.795774"
8.494112,-174.909424,"8.494112, -174.909424"
87.833902,168.514135,"87.833902, 168.514135"
-84.5988775,-63.489586,"-84.5988775, -63.489586"
-39.9675535,-129.416734,"-39.9675535, -129.416734"
-17.142240,55.063106,"-17.142240, 55.063106"
-4.978569,-40.854473,"-4.978569, -40.854473"
-40.0058725,-12.914267,"-40.0058725, -12.914267"
-84.541634,58.360508,"-84.541634, 58.360508"
-25.8429985,-173.270298,"-25.8429985, -173.270298"
10.2712305,166.677814,"10.2712305, 166.677814"
-39.901317,-15.135701,"-39.901317, -15.135701"
-86.6499865,-61.762643,"-86.6499865, -61.762643"
