primary_color,secondary_color,tertiary_color,rgb_color
116,223,38,"116, 223, 38"
118,111,78,"118, 111, 78"
172,228,150,"172, 228, 150"
235,14,237,"235, 14, 237"
103,11,72,"103, 11, 72"
109,57,197,"109, 57, 197"
54,251,163,"54, 251, 163"
112,245,229,"112, 245, 229"
33,205,135,"33, 205, 135"
4,4,42,"4, 4, 42"
112,173,192,"112, 173, 192"
172,184,247,"172, 184, 247"
152,88,183,"152, 88, 183"
163,223,231,"163, 223, 231"
198,110,105,"198, 110, 105"
218,233,209,"218, 233, 209"
14,35,21,"14, 35, 21"
183,26,182,"183, 26, 182"
31,222,179,"31, 222, 179"
226,166,98,"226, 166, 98"
190,206,24,"190, 206, 24"
241,187,96,"241, 187, 96"
8,5,27,"8, 5, 27"
10,165,43,"10, 165, 43"
34,79,198,"34, 79, 198"
31,193,204,"31, 193, 204"
255,113,115,"255, 113, 115"
82,217,181,"82, 217, 181"
12,225,242,"12, 225, 242"
231,132,22,"231, 132, 22"
200,65,19,"200, 65, 19"
166,140,114,"166, 140, 114"
124,91,233,"124, 91, 233"
85,110,13,"85, 110, 13"
33,33,73,"33, 33, 73"
40,139,197,"40, 139, 197"
127,65,171,"127, 65, 171"
229,146,108,"229, 146, 108"
75,138,23,"75, 138, 23"
249,6,158,"249, 6, 158"
127,119,61,"127, 119, 61"
13,179,226,"13, 179, 226"
212,225,118,"212, 225, 118"
50,14,33,"50, 14, 33"
186,63,228,"186, 63, 228"
4,45,212,"4, 45, 212"
83,84,160,"83, 84, 160"
9,29,112,"9, 29, 112"
137,135,174,"137, 135, 174"
63,64,167,"63, 64, 167"
10,198,115,"10, 198, 115"
144,52,21,"144, 52, 21"
194,142,162,"194, 142, 162"
232,117,185,"232, 117, 185"
137,58,218,"137, 58, 218"
254,202,45,"254, 202, 45"
125,35,112,"125, 35, 112"
162,127,226,"162, 127, 226"
41,3,195,"41, 3, 195"
65,181,2,"65, 181, 2"
252,210,183,"252, 210, 183"
154,39,36,"154, 39, 36"
166,112,162,"166, 112, 162"
74,170,54,"74, 170, 54"
231,198,58,"231, 198, 58"
218,93,87,"218, 93, 87"
173,94,128,"173, 94, 128"
176,87,125,"176, 87, 125"
150,38,177,"150, 38, 177"
118,165,191,"118, 165, 191"
219,180,191,"219, 180, 191"
158,192,195,"158, 192, 195"
57,202,213,"57, 202, 213"
164,79,129,"164, 79, 129"
123,101,156,"123, 101, 156"
227,174,180,"227, 174, 180"
251,61,147,"251, 61, 147"
226,171,50,"226, 171, 50"
128,242,172,"128, 242, 172"
173,36,240,"173, 36, 240"
97,159,223,"97, 159, 223"
70,246,169,"70, 246, 169"
67,238,3,"67, 238, 3"
163,69,242,"163, 69, 242"
81,141,159,"81, 141, 159"
204,122,190,"204, 122, 190"
110,31,86,"110, 31, 86"
166,112,18,"166, 112, 18"
188,87,50,"188, 87, 50"
206,144,28,"206, 144, 28"
65,16,239,"65, 16, 239"
169,183,173,"169, 183, 173"
128,238,151,"128, 238, 151"
87,192,82,"87, 192, 82"
179,41,174,"179, 41, 174"
153,101,182,"153, 101, 182"
114,49,238,"114, 49, 238"
255,129,134,"255, 129, 134"
100,127,167,"100, 127, 167"
245,61,132,"245, 61, 132"
23,118,249,"23, 118, 249"
158,8,94,"158, 8, 94"
115,11,27,"115, 11, 27"
205,149,237,"205, 149, 237"
206,245,2,"206, 245, 2"
189,90,11,"189, 90, 11"
124,5,39,"124, 5, 39"
204,56,199,"204, 56, 199"
208,207,245,"208, 207, 245"
5,203,55,"5, 203, 55"
74,21,72,"74, 21, 72"
60,94,87,"60, 94, 87"
225,240,242,"225, 240, 242"
107,251,202,"107, 251, 202"
252,31,130,"252, 31, 130"
182,179,125,"182, 179, 125"
5,16,215,"5, 16, 215"
157,15,74,"157, 15, 74"
52,174,107,"52, 174, 107"
240,3,186,"240, 3, 186"
174,100,100,"174, 100, 100"
253,77,246,"253, 77, 246"
228,125,215,"228, 125, 215"
223,94,218,"223, 94, 218"
239,217,69,"239, 217, 69"
142,20,223,"142, 20, 223"
227,15,143,"227, 15, 143"
232,236,225,"232, 236, 225"
202,125,174,"202, 125, 174"
44,95,202,"44, 95, 202"
162,188,156,"162, 188, 156"
90,4,96,"90, 4, 96"
11,63,174,"11, 63, 174"
14,150,216,"14, 150, 216"
40,114,90,"40, 114, 90"
222,159,23,"222, 159, 23"
3,251,137,"3, 251, 137"
82,35,118,"82, 35, 118"
139,181,209,"139, 181, 209"
101,82,69,"101, 82, 69"
140,114,218,"140, 114, 218"
221,50,165,"221, 50, 165"
125,207,155,"125, 207, 155"
223,118,159,"223, 118, 159"
158,129,33,"158, 129, 33"
104,18,233,"104, 18, 233"
50,169,104,"50, 169, 104"
31,221,203,"31, 221, 203"
243,214,137,"243, 214, 137"
58,239,254,"58, 239, 254"
127,250,119,"127, 250, 119"
129,64,165,"129, 64, 165"
233,143,201,"233, 143, 201"
14,211,229,"14, 211, 229"
76,62,75,"76, 62, 75"
250,133,56,"250, 133, 56"
79,203,146,"79, 203, 146"
19,148,184,"19, 148, 184"
72,175,206,"72, 175, 206"
24,32,34,"24, 32, 34"
249,4,59,"249, 4, 59"
154,145,224,"154, 145, 224"
28,135,154,"28, 135, 154"
214,4,204,"214, 4, 204"
196,197,19,"196, 197, 19"
195,101,215,"195, 101, 215"
185,50,216,"185, 50, 216"
212,172,139,"212, 172, 139"
190,96,219,"190, 96, 219"
27,99,96,"27, 99, 96"
229,29,174,"229, 29, 174"
248,190,74,"248, 190, 74"
128,126,79,"128, 126, 79"
217,249,97,"217, 249, 97"
176,90,118,"176, 90, 118"
56,177,87,"56, 177, 87"
219,18,175,"219, 18, 175"
203,88,137,"203, 88, 137"
247,81,98,"247, 81, 98"
113,121,240,"113, 121, 240"
15,15,74,"15, 15, 74"
12,200,53,"12, 200, 53"
55,118,35,"55, 118, 35"
74,23,100,"74, 23, 100"
255,4,199,"255, 4, 199"
69,99,19,"69, 99, 19"
85,243,218,"85, 243, 218"
138,232,190,"138, 232, 190"
193,224,158,"193, 224, 158"
202,195,131,"202, 195, 131"
66,221,51,"66, 221, 51"
230,38,132,"230, 38, 132"
19,160,57,"19, 160, 57"
175,172,26,"175, 172, 26"
68,133,244,"68, 133, 244"
28,163,17,"28, 163, 17"
29,25,46,"29, 25, 46"
130,52,212,"130, 52, 212"
150,203,72,"150, 203, 72"
41,123,171,"41, 123, 171"
213,151,163,"213, 151, 163"
18,228,226,"18, 228, 226"
73,196,132,"73, 196, 132"
106,5,255,"106, 5, 255"
32,117,148,"32, 117, 148"
217,249,165,"217, 249, 165"
131,81,188,"131, 81, 188"
7,197,196,"7, 197, 196"
120,11,192,"120, 11, 192"
190,39,41,"190, 39, 41"
240,122,112,"240, 122, 112"
98,255,22,"98, 255, 22"
226,207,49,"226, 207, 49"
68,245,120,"68, 245, 120"
221,126,96,"221, 126, 96"
21,12,67,"21, 12, 67"
134,109,43,"134, 109, 43"
122,181,46,"122, 181, 46"
55,12,240,"55, 12, 240"
130,68,121,"130, 68, 121"
99,253,241,"99, 253, 241"
40,139,160,"40, 139, 160"
240,205,125,"240, 205, 125"
40,106,67,"40, 106, 67"
65,80,83,"65, 80, 83"
66,48,136,"66, 48, 136"
150,193,25,"150, 193, 25"
180,211,236,"180, 211, 236"
227,152,239,"227, 152, 239"
165,26,128,"165, 26, 128"
8,130,60,"8, 130, 60"
60,155,2,"60, 155, 2"
254,69,140,"254, 69, 140"
68,201,108,"68, 201, 108"
32,196,119,"32, 196, 119"
41,87,46,"41, 87, 46"
133,80,47,"133, 80, 47"
21,82,92,"21, 82, 92"
184,15,189,"184, 15, 189"
75,71,84,"75, 71, 84"
66,151,164,"66, 151, 164"
80,37,254,"80, 37, 254"
208,41,194,"208, 41, 194"
200,234,202,"200, 234, 202"
180,85,65,"180, 85, 65"
213,47,175,"213, 47, 175"
199,141,236,"199, 141, 236"
224,240,10,"224, 240, 10"
211,53,40,"211, 53, 40"
66,47,113,"66, 47, 113"
60,234,255,"60, 234, 255"
242,218,175,"242, 218, 175"
49,59,138,"49, 59, 138"
9,83,63,"9, 83, 63"
8,46,10,"8, 46, 10"
240,200,191,"240, 200, 191"
211,11,166,"211, 11, 166"
168,85,12,"168, 85, 12"
139,179,97,"139, 179, 97"
73,125,137,"73, 125, 137"
162,66,35,"162, 66, 35"
139,236,188,"139, 236, 188"
57,132,123,"57, 132, 123"
158,207,242,"158, 207, 242"
8,61,186,"8, 61, 186"
191,171,160,"191, 171, 160"
43,122,179,"43, 122, 179"
77,118,83,"77, 118, 83"
73,161,84,"73, 161, 84"
189,97,46,"189, 97, 46"
255,233,33,"255, 233, 33"
34,81,246,"34, 81, 246"
20,137,131,"20, 137, 131"
180,110,75,"180, 110, 75"
79,202,165,"79, 202, 165"
3,163,111,"3, 163, 111"
87,109,228,"87, 109, 228"
185,43,47,"185, 43, 47"
232,3,186,"232, 3, 186"
70,43,222,"70, 43, 222"
82,50,91,"82, 50, 91"
63,239,95,"63, 239, 95"
99,149,218,"99, 149, 218"
214,205,55,"214, 205, 55"
39,145,22,"39, 145, 22"
40,48,39,"40, 48, 39"
77,53,211,"77, 53, 211"
186,107,99,"186, 107, 99"
234,171,52,"234, 171, 52"
172,180,28,"172, 180, 28"
50,19,215,"50, 19, 215"
245,222,69,"245, 222, 69"
213,130,144,"213, 130, 144"
87,248,121,"87, 248, 121"
135,13,11,"135, 13, 11"
205,46,237,"205, 46, 237"
30,38,71,"30, 38, 71"
16,49,240,"16, 49, 240"
52,179,178,"52, 179, 178"
119,38,100,"119, 38, 100"
225,139,34,"225, 139, 34"
86,187,205,"86, 187, 205"
224,169,13,"224, 169, 13"
82,135,222,"82, 135, 222"
217,122,126,"217, 122, 126"
107,173,253,"107, 173, 253"
2,194,91,"2, 194, 91"
51,79,84,"51, 79, 84"
173,66,56,"173, 66, 56"
42,106,97,"42, 106, 97"
121,135,2,"121, 135, 2"
154,144,8,"154, 144, 8"
4,23,102,"4, 23, 102"
56,192,205,"56, 192, 205"
17,186,87,"17, 186, 87"
96,50,151,"96, 50, 151"
30,160,26,"30, 160, 26"
242,20,222,"242, 20, 222"
239,140,2,"239, 140, 2"
107,33,105,"107, 33, 105"
48,20,40,"48, 20, 40"
190,144,41,"190, 144, 41"
75,179,239,"75, 179, 239"
156,148,93,"156, 148, 93"
127,74,94,"127, 74, 94"
100,220,61,"100, 220, 61"
128,177,60,"128, 177, 60"
142,154,181,"142, 154, 181"
13,65,190,"13, 65, 190"
142,168,246,"142, 168, 246"
118,168,2,"118, 168, 2"
97,89,157,"97, 89, 157"
2,18,232,"2, 18, 232"
234,213,157,"234, 213, 157"
34,222,53,"34, 222, 53"
227,223,83,"227, 223, 83"
134,230,70,"134, 230, 70"
130,101,129,"130, 101, 129"
117,221,93,"117, 221, 93"
177,150,243,"177, 150, 243"
109,158,32,"109, 158, 32"
175,86,239,"175, 86, 239"
77,83,133,"77, 83, 133"
227,187,46,"227, 187, 46"
109,37,19,"109, 37, 19"
191,90,162,"191, 90, 162"
96,226,224,"96, 226, 224"
9,30,104,"9, 30, 104"
184,98,94,"184, 98, 94"
188,57,110,"188, 57, 110"
150,229,79,"150, 229, 79"
237,104,198,"237, 104, 198"
238,195,34,"238, 195, 34"
148,102,221,"148, 102, 221"
164,40,120,"164, 40, 120"
238,97,19,"238, 97, 19"
215,157,226,"215, 157, 226"
5,165,84,"5, 165, 84"
97,93,161,"97, 93, 161"
138,142,224,"138, 142, 224"
179,142,96,"179, 142, 96"
123,120,113,"123, 120, 113"
178,144,244,"178, 144, 244"
246,67,235,"246, 67, 235"
38,91,7,"38, 91, 7"
57,20,243,"57, 20, 243"
67,9,143,"67, 9, 143"
145,164,3,"145, 164, 3"
66,58,53,"66, 58, 53"
105,39,165,"105, 39, 165"
139,126,202,"139, 126, 202"
230,189,248,"230, 189, 248"
182,11,191,"182, 11, 191"
117,179,96,"117, 179, 96"
154,166,164,"154, 166, 164"
248,38,60,"248, 38, 60"
170,43,79,"170, 43, 79"
233,242,149,"233, 242, 149"
15,81,8,"15, 81, 8"
79,252,236,"79, 252, 236"
161,62,206,"161, 62, 206"
110,12,175,"110, 12, 175"
144,79,90,"144, 79, 90"
84,76,140,"84, 76, 140"
83,161,181,"83, 161, 181"
202,152,6,"202, 152, 6"
85,173,162,"85, 173, 162"
70,240,56,"70, 240, 56"
246,143,245,"246, 143, 245"
5,59,181,"5, 59, 181"
144,50,144,"144, 50, 144"
95,39,165,"95, 39, 165"
129,175,208,"129, 175, 208"
99,127,254,"99, 127, 254"
222,22,250,"222, 22, 250"
138,47,32,"138, 47, 32"
86,139,57,"86, 139, 57"
68,188,137,"68, 188, 137"
100,40,83,"100, 40, 83"
214,215,31,"214, 215, 31"
123,138,192,"123, 138, 192"
180,16,137,"180, 16, 137"
103,190,183,"103, 190, 183"
111,171,26,"111, 171, 26"
121,183,53,"121, 183, 53"
95,211,116,"95, 211, 116"
189,114,225,"189, 114, 225"
7,214,97,"7, 214, 97"
72,149,200,"72, 149, 200"
51,171,134,"51, 171, 134"
207,91,8,"207, 91, 8"
230,105,66,"230, 105, 66"
169,22,226,"169, 22, 226"
25,80,184,"25, 80, 184"
210,193,93,"210, 193, 93"
120,248,141,"120, 248, 141"
112,87,78,"112, 87, 78"
184,136,255,"184, 136, 255"
194,71,48,"194, 71, 48"
154,9,143,"154, 9, 143"
213,24,40,"213, 24, 40"
207,206,214,"207, 206, 214"
215,73,211,"215, 73, 211"
191,8,151,"191, 8, 151"
81,172,122,"81, 172, 122"
250,11,4,"250, 11, 4"
57,189,132,"57, 189, 132"
191,178,44,"191, 178, 44"
176,162,114,"176, 162, 114"
123,80,67,"123, 80, 67"
71,204,34,"71, 204, 34"
179,69,235,"179, 69, 235"
1,89,156,"1, 89, 156"
94,218,32,"94, 218, 32"
242,148,138,"242, 148, 138"
214,60,122,"214, 60, 122"
79,193,87,"79, 193, 87"
183,51,103,"183, 51, 103"
135,87,119,"135, 87, 119"
32,196,255,"32, 196, 255"
80,197,114,"80, 197, 114"
10,141,47,"10, 141, 47"
209,162,51,"209, 162, 51"
158,36,115,"158, 36, 115"
247,129,205,"247, 129, 205"
193,139,215,"193, 139, 215"
16,231,107,"16, 231, 107"
109,197,23,"109, 197, 23"
132,26,28,"132, 26, 28"
208,87,35,"208, 87, 35"
72,235,99,"72, 235, 99"
178,120,182,"178, 120, 182"
57,41,128,"57, 41, 128"
238,184,119,"238, 184, 119"
240,188,75,"240, 188, 75"
162,226,162,"162, 226, 162"
87,11,213,"87, 11, 213"
217,151,188,"217, 151, 188"
98,65,239,"98, 65, 239"
73,29,92,"73, 29, 92"
63,162,1,"63, 162, 1"
147,157,191,"147, 157, 191"
182,26,177,"182, 26, 177"
54,31,167,"54, 31, 167"
3,94,148,"3, 94, 148"
196,59,245,"196, 59, 245"
178,170,205,"178, 170, 205"
50,145,88,"50, 145, 88"
23,184,182,"23, 184, 182"
132,38,1,"132, 38, 1"
10,119,157,"10, 119, 157"
76,131,67,"76, 131, 67"
124,247,162,"124, 247, 162"
186,6,228,"186, 6, 228"
153,200,13,"153, 200, 13"
17,126,189,"17, 126, 189"
116,47,58,"116, 47, 58"
55,200,52,"55, 200, 52"
168,188,184,"168, 188, 184"
237,105,251,"237, 105, 251"
183,85,73,"183, 85, 73"
225,125,114,"225, 125, 114"
243,247,60,"243, 247, 60"
104,251,142,"104, 251, 142"
248,244,139,"248, 244, 139"
216,76,198,"216, 76, 198"
88,19,84,"88, 19, 84"
32,40,15,"32, 40, 15"
87,46,224,"87, 46, 224"
136,101,63,"136, 101, 63"
85,243,44,"85, 243, 44"
238,15,197,"238, 15, 197"
249,110,151,"249, 110, 151"
180,76,13,"180, 76, 13"
51,46,177,"51, 46, 177"
16,135,98,"16, 135, 98"
80,202,150,"80, 202, 150"
56,101,177,"56, 101, 177"
237,129,204,"237, 129, 204"
218,168,188,"218, 168, 188"
72,100,185,"72, 100, 185"
113,11,29,"113, 11, 29"
223,69,49,"223, 69, 49"
135,236,29,"135, 236, 29"
246,59,210,"246, 59, 210"
87,76,54,"87, 76, 54"
171,68,41,"171, 68, 41"
174,227,248,"174, 227, 248"
132,80,130,"132, 80, 130"
157,118,116,"157, 118, 116"
82,223,157,"82, 223, 157"
155,188,198,"155, 188, 198"
225,51,104,"225, 51, 104"
52,108,79,"52, 108, 79"
165,108,161,"165, 108, 161"
16,250,59,"16, 250, 59"
184,14,88,"184, 14, 88"
187,235,226,"187, 235, 226"
180,61,192,"180, 61, 192"
55,36,176,"55, 36, 176"
244,208,157,"244, 208, 157"
163,42,81,"163, 42, 81"
44,40,74,"44, 40, 74"
52,187,109,"52, 187, 109"
154,75,114,"154, 75, 114"
102,135,232,"102, 135, 232"
239,146,178,"239, 146, 178"
21,192,23,"21, 192, 23"
81,53,251,"81, 53, 251"
4,109,103,"4, 109, 103"
132,62,130,"132, 62, 130"
247,236,33,"247, 236, 33"
135,4,26,"135, 4, 26"
185,138,22,"185, 138, 22"
165,158,56,"165, 158, 56"
69,213,218,"69, 213, 218"
245,158,209,"245, 158, 209"
77,247,42,"77, 247, 42"
76,172,20,"76, 172, 20"
17,59,237,"17, 59, 237"
206,62,203,"206, 62, 203"
226,117,163,"226, 117, 163"
108,203,113,"108, 203, 113"
22,167,45,"22, 167, 45"
202,16,247,"202, 16, 247"
184,239,1,"184, 239, 1"
91,112,78,"91, 112, 78"
176,77,215,"176, 77, 215"
89,184,72,"89, 184, 72"
88,12,230,"88, 12, 230"
68,151,97,"68, 151, 97"
134,25,87,"134, 25, 87"
235,179,96,"235, 179, 96"
71,188,218,"71, 188, 218"
74,28,38,"74, 28, 38"
42,144,216,"42, 144, 216"
103,183,148,"103, 183, 148"
58,46,71,"58, 46, 71"
18,77,6,"18, 77, 6"
209,130,69,"209, 130, 69"
100,91,72,"100, 91, 72"
238,69,45,"238, 69, 45"
21,115,245,"21, 115, 245"
198,220,177,"198, 220, 177"
156,96,88,"156, 96, 88"
113,86,154,"113, 86, 154"
7,98,106,"7, 98, 106"
68,128,158,"68, 128, 158"
120,152,105,"120, 152, 105"
18,27,129,"18, 27, 129"
59,89,69,"59, 89, 69"
24,225,122,"24, 225, 122"
71,239,108,"71, 239, 108"
19,54,188,"19, 54, 188"
204,30,14,"204, 30, 14"
187,150,110,"187, 150, 110"
163,173,39,"163, 173, 39"
105,45,219,"105, 45, 219"
129,56,43,"129, 56, 43"
131,249,71,"131, 249, 71"
204,179,44,"204, 179, 44"
68,150,56,"68, 150, 56"
201,24,161,"201, 24, 161"
26,28,216,"26, 28, 216"
97,227,100,"97, 227, 100"
108,246,7,"108, 246, 7"
183,173,126,"183, 173, 126"
166,41,83,"166, 41, 83"
220,133,94,"220, 133, 94"
18,221,232,"18, 221, 232"
60,209,119,"60, 209, 119"
83,86,5,"83, 86, 5"
109,221,205,"109, 221, 205"
12,38,21,"12, 38, 21"
234,100,168,"234, 100, 168"
56,135,87,"56, 135, 87"
82,207,90,"82, 207, 90"
141,60,237,"141, 60, 237"
239,29,7,"239, 29, 7"
106,174,147,"106, 174, 147"
1,23,245,"1, 23, 245"
111,197,196,"111, 197, 196"
4,95,200,"4, 95, 200"
239,240,176,"239, 240, 176"
42,18,247,"42, 18, 247"
233,107,207,"233, 107, 207"
72,108,27,"72, 108, 27"
113,77,38,"113, 77, 38"
207,183,132,"207, 183, 132"
97,204,17,"97, 204, 17"
205,76,202,"205, 76, 202"
141,56,136,"141, 56, 136"
98,228,192,"98, 228, 192"
212,56,128,"212, 56, 128"
43,56,106,"43, 56, 106"
16,228,175,"16, 228, 175"
116,62,165,"116, 62, 165"
188,234,35,"188, 234, 35"
3,77,162,"3, 77, 162"
16,2,2,"16, 2, 2"
56,83,197,"56, 83, 197"
188,187,81,"188, 187, 81"
204,76,217,"204, 76, 217"
205,191,102,"205, 191, 102"
63,87,125,"63, 87, 125"
65,180,119,"65, 180, 119"
