order_number,order_date,product_price,order_details
14831,2019-06-18 05:36:28,7.28,"14831,2019-06-18 05:36:28,7.28"
14687,2019-06-08 20:13:32,10.62,"14687,2019-06-08 20:13:32,10.62"
1904,2016-03-05 15:23:17,6.35,"1904,2016-03-05 15:23:17,6.35"
11742,2019-01-13 12:28:00,4.96,"11742,2019-01-13 12:28:00,4.96"
11810,2018-12-24 00:25:47,6.08,"11810,2018-12-24 00:25:47,6.08"
13333,2019-03-11 15:17:50,6.57,"13333,2019-03-11 15:17:50,6.57"
14171,2019-05-12 15:08:48,5.52,"14171,2019-05-12 15:08:48,5.52"
7790,2017-11-18 14:40:10,15.67,"7790,2017-11-18 14:40:10,15.67"
8045,2017-11-26 11:08:46,4.06,"8045,2017-11-26 11:08:46,4.06"
11598,2018-12-07 18:01:51,1.94,"11598,2018-12-07 18:01:51,1.94"
3397,2016-08-02 22:11:41,0.5,"3397,2016-08-02 22:11:41,0.5"
8451,2017-12-14 15:05:57,10.63,"8451,2017-12-14 15:05:57,10.63"
8200,2018-02-14 08:57:46,7.14,"8200,2018-02-14 08:57:46,7.14"
10390,2018-09-12 11:58:37,1.33,"10390,2018-09-12 11:58:37,1.33"
9602,2018-06-01 13:15:11,0.53,"9602,2018-06-01 13:15:11,0.53"
1592,2016-01-02 22:41:37,3.62,"1592,2016-01-02 22:41:37,3.62"
13083,2019-03-07 05:34:28,4.68,"13083,2019-03-07 05:34:28,4.68"
3741,2016-09-24 10:34:49,7.38,"3741,2016-09-24 10:34:49,7.38"
12254,2018-12-31 20:30:38,13.79,"12254,2018-12-31 20:30:38,13.79"
14699,2019-06-20 09:20:01,4.06,"14699,2019-06-20 09:20:01,4.06"
14527,2019-05-29 13:11:24,4.86,"14527,2019-05-29 13:11:24,4.86"
5240,2017-01-22 15:28:16,0.55,"5240,2017-01-22 15:28:16,0.55"
3954,2016-09-26 05:28:00,0.69,"3954,2016-09-26 05:28:00,0.69"
12065,2019-01-07 15:04:46,0.71,"12065,2019-01-07 15:04:46,0.71"
11613,2018-11-21 15:34:48,5.61,"11613,2018-11-21 15:34:48,5.61"
7690,2017-09-30 10:04:27,9.84,"7690,2017-09-30 10:04:27,9.84"
10547,2018-08-05 04:04:04,10.04,"10547,2018-08-05 04:04:04,10.04"
12332,2018-12-15 10:16:57,8.98,"12332,2018-12-15 10:16:57,8.98"
13765,2019-04-04 20:02:30,7.33,"13765,2019-04-04 20:02:30,7.33"
7591,2017-10-12 20:56:18,1.78,"7591,2017-10-12 20:56:18,1.78"
10179,2018-08-02 03:50:37,3.4,"10179,2018-08-02 03:50:37,3.4"
11760,2018-11-16 15:11:32,9.54,"11760,2018-11-16 15:11:32,9.54"
13116,2019-03-30 01:10:04,2.65,"13116,2019-03-30 01:10:04,2.65"
10930,2018-11-07 01:46:36,2.52,"10930,2018-11-07 01:46:36,2.52"
9146,2018-04-13 16:01:49,3.48,"9146,2018-04-13 16:01:49,3.48"
8991,2018-03-19 19:21:40,3.28,"8991,2018-03-19 19:21:40,3.28"
8585,2018-02-10 15:34:32,2.16,"8585,2018-02-10 15:34:32,2.16"
13959,2019-04-14 21:47:08,6.45,"13959,2019-04-14 21:47:08,6.45"
3467,2016-09-08 15:32:34,7.39,"3467,2016-09-08 15:32:34,7.39"
8368,2017-12-23 04:54:40,1.99,"8368,2017-12-23 04:54:40,1.99"
2447,2016-03-07 09:06:55,0.99,"2447,2016-03-07 09:06:55,0.99"
10833,2018-09-29 12:43:22,15.42,"10833,2018-09-29 12:43:22,15.42"
11596,2018-11-21 11:33:50,6.23,"11596,2018-11-21 11:33:50,6.23"
3780,2016-08-25 14:23:39,5.75,"3780,2016-08-25 14:23:39,5.75"
4757,2017-01-05 16:33:01,11.48,"4757,2017-01-05 16:33:01,11.48"
5236,2017-02-17 20:05:57,2.26,"5236,2017-02-17 20:05:57,2.26"
9424,2018-05-28 16:36:54,9.56,"9424,2018-05-28 16:36:54,9.56"
7431,2017-09-24 16:38:18,2.26,"7431,2017-09-24 16:38:18,2.26"
4704,2017-01-18 16:10:11,10.17,"4704,2017-01-18 16:10:11,10.17"
15762,2019-07-27 21:57:01,12.7,"15762,2019-07-27 21:57:01,12.7"
11970,2019-01-27 06:35:33,4.93,"11970,2019-01-27 06:35:33,4.93"
11777,2018-11-30 13:46:40,14.11,"11777,2018-11-30 13:46:40,14.11"
4927,2016-12-23 05:52:46,9.88,"4927,2016-12-23 05:52:46,9.88"
8675,2018-01-28 23:14:50,1.9,"8675,2018-01-28 23:14:50,1.9"
10532,2018-09-03 09:27:27,4.55,"10532,2018-09-03 09:27:27,4.55"
8534,2018-02-18 11:48:02,2.49,"8534,2018-02-18 11:48:02,2.49"
5474,2017-03-15 17:15:29,2.37,"5474,2017-03-15 17:15:29,2.37"
11109,2018-08-03 19:37:26,14.72,"11109,2018-08-03 19:37:26,14.72"
12627,2019-02-24 05:46:26,1.1,"12627,2019-02-24 05:46:26,1.1"
12944,2019-02-16 04:39:19,2.36,"12944,2019-02-16 04:39:19,2.36"
11815,2018-11-30 00:00:00,4.25,"11815,2018-11-30 00:00:00,4.25"
11398,2018-11-08 22:08:31,1.92,"11398,2018-11-08 22:08:31,1.92"
9304,2018-04-26 01:44:38,6.62,"9304,2018-04-26 01:44:38,6.62"
15106,2019-06-28 19:51:52,4.66,"15106,2019-06-28 19:51:52,4.66"
15371,2019-07-13 22:00:00,5.42,"15371,2019-07-13 22:00:00,5.42"
9038,2018-07-14 21:11:20,4.7,"9038,2018-07-14 21:11:20,4.7"
8613,2018-01-28 19:14:19,7.1,"8613,2018-01-28 19:14:19,7.1"
5396,2017-04-01 11:22:18,2.38,"5396,2017-04-01 11:22:18,2.38"
10681,2018-10-01 22:08:53,13.4,"10681,2018-10-01 22:08:53,13.4"
14228,2019-05-26 20:40:21,9.1,"14228,2019-05-26 20:40:21,9.1"
8215,2018-01-29 21:54:34,2.71,"8215,2018-01-29 21:54:34,2.71"
12442,2018-12-12 12:49:41,6.38,"12442,2018-12-12 12:49:41,6.38"
7148,2017-10-25 23:51:26,0.64,"7148,2017-10-25 23:51:26,0.64"
5205,2017-03-24 12:49:49,1.03,"5205,2017-03-24 12:49:49,1.03"
14948,2019-06-27 20:51:30,7.43,"14948,2019-06-27 20:51:30,7.43"
16081,2019-08-03 10:53:47,10.76,"16081,2019-08-03 10:53:47,10.76"
16071,2019-08-03 05:41:20,3.15,"16071,2019-08-03 05:41:20,3.15"
14639,2019-06-10 10:15:15,0.6,"14639,2019-06-10 10:15:15,0.6"
13868,2019-05-17 05:16:03,4.68,"13868,2019-05-17 05:16:03,4.68"
12576,2019-01-29 15:01:50,10.76,"12576,2019-01-29 15:01:50,10.76"
5740,2017-05-28 09:04:49,0.51,"5740,2017-05-28 09:04:49,0.51"
13141,2019-03-07 15:10:27,0.54,"13141,2019-03-07 15:10:27,0.54"
9260,2018-05-18 22:07:09,3.14,"9260,2018-05-18 22:07:09,3.14"
12502,2019-02-23 02:13:38,8.51,"12502,2019-02-23 02:13:38,8.51"
10999,2018-09-13 17:40:09,1.63,"10999,2018-09-13 17:40:09,1.63"
10987,2018-08-26 22:01:47,17.79,"10987,2018-08-26 22:01:47,17.79"
1472,2015-11-11 14:18:10,9.2,"1472,2015-11-11 14:18:10,9.2"
14617,2019-06-10 13:13:42,2.54,"14617,2019-06-10 13:13:42,2.54"
5313,2017-03-11 09:41:41,2.36,"5313,2017-03-11 09:41:41,2.36"
7236,2017-11-07 15:32:32,0.76,"7236,2017-11-07 15:32:32,0.76"
10921,2018-10-08 03:57:39,8.83,"10921,2018-10-08 03:57:39,8.83"
5610,2017-06-13 03:08:37,1.66,"5610,2017-06-13 03:08:37,1.66"
4352,2017-01-10 10:52:03,1.77,"4352,2017-01-10 10:52:03,1.77"
10472,2018-08-21 08:17:46,3.74,"10472,2018-08-21 08:17:46,3.74"
13776,2019-05-07 04:21:19,1.23,"13776,2019-05-07 04:21:19,1.23"
11498,2018-11-01 17:54:11,0.93,"11498,2018-11-01 17:54:11,0.93"
13185,2019-04-02 10:49:29,2.2,"13185,2019-04-02 10:49:29,2.2"
15357,2019-07-13 01:09:53,1.26,"15357,2019-07-13 01:09:53,1.26"
12713,2019-01-21 13:57:22,2.72,"12713,2019-01-21 13:57:22,2.72"
13301,2019-03-17 02:20:03,1.51,"13301,2019-03-17 02:20:03,1.51"
1734,2015-12-31 18:04:00,10.25,"1734,2015-12-31 18:04:00,10.25"
8543,2018-03-04 13:06:10,10.85,"8543,2018-03-04 13:06:10,10.85"
2434,2016-03-14 13:48:39,11.68,"2434,2016-03-14 13:48:39,11.68"
14067,2019-05-05 00:59:56,7.35,"14067,2019-05-05 00:59:56,7.35"
9463,2018-04-09 11:16:23,3.19,"9463,2018-04-09 11:16:23,3.19"
4718,2017-02-02 04:41:12,6.39,"4718,2017-02-02 04:41:12,6.39"
4233,2016-12-08 17:51:51,8.0,"4233,2016-12-08 17:51:51,8.0"
12961,2019-02-24 03:58:45,4.3,"12961,2019-02-24 03:58:45,4.3"
6323,2017-08-10 07:10:47,0.57,"6323,2017-08-10 07:10:47,0.57"
10501,2018-08-22 17:53:27,0.67,"10501,2018-08-22 17:53:27,0.67"
14461,2019-05-30 04:52:24,1.7,"14461,2019-05-30 04:52:24,1.7"
13403,2019-04-02 14:51:43,6.71,"13403,2019-04-02 14:51:43,6.71"
14652,2019-06-15 07:14:13,0.84,"14652,2019-06-15 07:14:13,0.84"
10867,2018-09-21 00:43:15,0.52,"10867,2018-09-21 00:43:15,0.52"
9371,2018-04-06 00:13:46,7.27,"9371,2018-04-06 00:13:46,7.27"
4360,2016-12-15 02:09:07,3.59,"4360,2016-12-15 02:09:07,3.59"
10019,2018-06-09 22:04:30,8.04,"10019,2018-06-09 22:04:30,8.04"
6320,2017-06-22 00:42:09,4.09,"6320,2017-06-22 00:42:09,4.09"
7377,2017-08-17 13:30:26,2.29,"7377,2017-08-17 13:30:26,2.29"
4294,2016-12-24 02:13:16,3.08,"4294,2016-12-24 02:13:16,3.08"
6629,2017-07-24 22:59:04,2.17,"6629,2017-07-24 22:59:04,2.17"
10983,2018-08-20 18:08:54,8.28,"10983,2018-08-20 18:08:54,8.28"
10629,2018-07-22 19:28:41,12.79,"10629,2018-07-22 19:28:41,12.79"
6343,2017-05-23 15:33:11,8.47,"6343,2017-05-23 15:33:11,8.47"
5297,2017-04-19 02:56:55,7.13,"5297,2017-04-19 02:56:55,7.13"
10687,2018-08-23 02:09:10,4.51,"10687,2018-08-23 02:09:10,4.51"
13017,2019-03-12 21:58:33,0.62,"13017,2019-03-12 21:58:33,0.62"
5616,2017-02-22 09:12:28,10.66,"5616,2017-02-22 09:12:28,10.66"
2830,2016-06-20 00:03:25,5.83,"2830,2016-06-20 00:03:25,5.83"
12940,2019-03-13 23:57:28,1.4,"12940,2019-03-13 23:57:28,1.4"
12008,2018-12-09 23:52:52,0.85,"12008,2018-12-09 23:52:52,0.85"
6050,2017-08-07 05:12:13,0.63,"6050,2017-08-07 05:12:13,0.63"
2475,2016-04-18 08:33:38,11.89,"2475,2016-04-18 08:33:38,11.89"
7680,2017-11-10 13:35:33,2.41,"7680,2017-11-10 13:35:33,2.41"
3437,2016-07-25 00:46:15,3.65,"3437,2016-07-25 00:46:15,3.65"
7516,2017-11-01 07:36:52,2.16,"7516,2017-11-01 07:36:52,2.16"
8718,2018-03-23 14:15:51,16.33,"8718,2018-03-23 14:15:51,16.33"
10613,2018-08-11 12:21:08,14.26,"10613,2018-08-11 12:21:08,14.26"
13870,2019-04-30 11:14:48,3.21,"13870,2019-04-30 11:14:48,3.21"
16000,2019-08-02 19:08:30,9.21,"16000,2019-08-02 19:08:30,9.21"
5407,2017-06-07 21:32:27,0.62,"5407,2017-06-07 21:32:27,0.62"
5338,2017-04-22 17:28:00,0.72,"5338,2017-04-22 17:28:00,0.72"
13155,2019-02-22 04:29:09,2.34,"13155,2019-02-22 04:29:09,2.34"
3150,2016-07-24 15:36:27,15.86,"3150,2016-07-24 15:36:27,15.86"
3596,2016-08-29 08:28:00,1.65,"3596,2016-08-29 08:28:00,1.65"
4102,2016-11-18 14:15:16,3.42,"4102,2016-11-18 14:15:16,3.42"
4208,2016-11-27 01:17:47,4.42,"4208,2016-11-27 01:17:47,4.42"
12653,2019-02-26 09:04:31,3.33,"12653,2019-02-26 09:04:31,3.33"
9369,2018-05-30 15:17:55,13.5,"9369,2018-05-30 15:17:55,13.5"
7625,2017-11-05 21:50:09,6.83,"7625,2017-11-05 21:50:09,6.83"
14846,2019-07-02 11:17:56,2.6,"14846,2019-07-02 11:17:56,2.6"
11295,2018-10-22 10:19:46,3.86,"11295,2018-10-22 10:19:46,3.86"
2239,2016-03-24 21:07:22,1.7,"2239,2016-03-24 21:07:22,1.7"
13408,2019-04-17 11:52:27,3.62,"13408,2019-04-17 11:52:27,3.62"
14723,2019-06-11 09:13:02,6.04,"14723,2019-06-11 09:13:02,6.04"
6375,2017-06-20 20:03:17,4.16,"6375,2017-06-20 20:03:17,4.16"
11270,2018-11-06 07:48:24,7.52,"11270,2018-11-06 07:48:24,7.52"
8450,2018-01-08 14:57:18,1.75,"8450,2018-01-08 14:57:18,1.75"
2583,2016-05-18 06:47:04,5.65,"2583,2016-05-18 06:47:04,5.65"
4273,2016-12-06 10:24:21,2.83,"4273,2016-12-06 10:24:21,2.83"
9234,2018-03-27 18:18:35,6.46,"9234,2018-03-27 18:18:35,6.46"
11837,2018-12-17 14:27:14,3.79,"11837,2018-12-17 14:27:14,3.79"
11444,2018-10-03 14:24:53,1.22,"11444,2018-10-03 14:24:53,1.22"
7301,2017-12-15 09:10:10,17.38,"7301,2017-12-15 09:10:10,17.38"
13961,2019-04-25 19:36:42,8.51,"13961,2019-04-25 19:36:42,8.51"
1318,2015-11-20 19:52:39,3.37,"1318,2015-11-20 19:52:39,3.37"
7523,2017-10-05 11:32:42,7.8,"7523,2017-10-05 11:32:42,7.8"
14441,2019-05-17 19:46:15,6.88,"14441,2019-05-17 19:46:15,6.88"
12579,2019-02-15 10:05:23,11.63,"12579,2019-02-15 10:05:23,11.63"
14088,2019-05-07 12:10:01,7.99,"14088,2019-05-07 12:10:01,7.99"
15041,2019-07-07 10:00:41,0.65,"15041,2019-07-07 10:00:41,0.65"
7423,2017-09-30 08:00:26,2.62,"7423,2017-09-30 08:00:26,2.62"
9438,2018-04-29 16:03:32,6.97,"9438,2018-04-29 16:03:32,6.97"
11960,2018-12-17 10:40:27,15.12,"11960,2018-12-17 10:40:27,15.12"
8851,2018-04-06 05:03:55,15.68,"8851,2018-04-06 05:03:55,15.68"
12634,2019-01-12 04:53:03,0.66,"12634,2019-01-12 04:53:03,0.66"
8379,2018-03-10 17:01:54,3.4,"8379,2018-03-10 17:01:54,3.4"
14918,2019-06-23 17:27:39,6.31,"14918,2019-06-23 17:27:39,6.31"
15617,2019-07-25 22:11:41,11.68,"15617,2019-07-25 22:11:41,11.68"
9002,2018-03-09 15:03:28,7.62,"9002,2018-03-09 15:03:28,7.62"
4403,2016-10-28 09:04:21,8.45,"4403,2016-10-28 09:04:21,8.45"
6587,2017-08-02 21:59:20,2.28,"6587,2017-08-02 21:59:20,2.28"
2362,2016-03-18 15:32:52,0.53,"2362,2016-03-18 15:32:52,0.53"
10976,2018-09-27 08:01:47,4.89,"10976,2018-09-27 08:01:47,4.89"
15025,2019-06-27 07:27:33,1.29,"15025,2019-06-27 07:27:33,1.29"
4799,2016-12-15 20:42:18,16.01,"4799,2016-12-15 20:42:18,16.01"
2636,2016-04-21 16:35:21,7.89,"2636,2016-04-21 16:35:21,7.89"
10737,2018-07-27 20:35:18,4.02,"10737,2018-07-27 20:35:18,4.02"
4742,2017-01-14 12:56:44,1.29,"4742,2017-01-14 12:56:44,1.29"
1709,2016-01-18 19:06:33,5.56,"1709,2016-01-18 19:06:33,5.56"
13292,2019-03-10 22:53:58,14.26,"13292,2019-03-10 22:53:58,14.26"
12923,2019-02-19 06:24:26,3.53,"12923,2019-02-19 06:24:26,3.53"
7411,2017-09-20 01:03:34,15.21,"7411,2017-09-20 01:03:34,15.21"
15522,2019-07-19 03:47:54,2.2,"15522,2019-07-19 03:47:54,2.2"
3875,2016-10-09 18:04:54,16.42,"3875,2016-10-09 18:04:54,16.42"
9587,2018-05-25 07:14:42,4.57,"9587,2018-05-25 07:14:42,4.57"
13483,2019-04-08 15:04:24,3.12,"13483,2019-04-08 15:04:24,3.12"
12619,2019-01-14 09:16:12,4.89,"12619,2019-01-14 09:16:12,4.89"
5731,2017-05-25 03:25:20,8.53,"5731,2017-05-25 03:25:20,8.53"
6302,2017-08-10 23:27:50,3.48,"6302,2017-08-10 23:27:50,3.48"
3328,2016-09-05 14:27:16,0.52,"3328,2016-09-05 14:27:16,0.52"
4885,2017-01-08 08:28:16,11.31,"4885,2017-01-08 08:28:16,11.31"
15131,2019-07-01 19:45:35,3.67,"15131,2019-07-01 19:45:35,3.67"
14516,2019-05-26 11:44:37,4.32,"14516,2019-05-26 11:44:37,4.32"
15471,2019-07-13 15:59:18,1.13,"15471,2019-07-13 15:59:18,1.13"
12433,2019-02-14 13:16:01,5.12,"12433,2019-02-14 13:16:01,5.12"
13073,2019-02-04 18:24:56,7.07,"13073,2019-02-04 18:24:56,7.07"
6530,2017-06-19 01:02:50,7.54,"6530,2017-06-19 01:02:50,7.54"
4748,2017-01-12 18:29:31,1.92,"4748,2017-01-12 18:29:31,1.92"
8077,2018-01-25 04:01:20,6.29,"8077,2018-01-25 04:01:20,6.29"
13662,2019-04-17 05:16:27,3.02,"13662,2019-04-17 05:16:27,3.02"
15321,2019-07-16 11:23:14,3.45,"15321,2019-07-16 11:23:14,3.45"
11870,2018-12-12 01:42:29,0.96,"11870,2018-12-12 01:42:29,0.96"
2221,2016-03-18 06:01:53,4.11,"2221,2016-03-18 06:01:53,4.11"
11896,2019-01-12 15:51:28,0.6,"11896,2019-01-12 15:51:28,0.6"
12460,2019-02-02 21:15:16,14.03,"12460,2019-02-02 21:15:16,14.03"
8381,2018-03-17 21:49:32,13.56,"8381,2018-03-17 21:49:32,13.56"
15896,2019-07-30 22:59:04,6.03,"15896,2019-07-30 22:59:04,6.03"
9774,2018-05-29 17:24:00,8.1,"9774,2018-05-29 17:24:00,8.1"
3063,2016-06-25 00:20:22,0.81,"3063,2016-06-25 00:20:22,0.81"
5940,2017-05-24 01:48:13,0.56,"5940,2017-05-24 01:48:13,0.56"
12507,2019-02-08 14:47:02,4.36,"12507,2019-02-08 14:47:02,4.36"
8409,2018-02-20 16:43:14,0.9,"8409,2018-02-20 16:43:14,0.9"
8101,2017-12-07 02:11:26,0.64,"8101,2017-12-07 02:11:26,0.64"
4436,2016-11-07 19:31:18,0.75,"4436,2016-11-07 19:31:18,0.75"
11436,2018-10-22 08:39:11,1.85,"11436,2018-10-22 08:39:11,1.85"
15549,2019-07-19 18:10:20,8.23,"15549,2019-07-19 18:10:20,8.23"
10452,2018-07-22 11:49:22,1.32,"10452,2018-07-22 11:49:22,1.32"
11750,2018-12-09 21:20:23,4.71,"11750,2018-12-09 21:20:23,4.71"
11343,2018-12-05 20:52:35,12.63,"11343,2018-12-05 20:52:35,12.63"
8021,2018-03-11 00:31:08,0.53,"8021,2018-03-11 00:31:08,0.53"
11817,2018-11-20 13:08:16,0.62,"11817,2018-11-20 13:08:16,0.62"
14588,2019-06-07 02:26:50,2.62,"14588,2019-06-07 02:26:50,2.62"
15290,2019-07-11 05:45:33,4.19,"15290,2019-07-11 05:45:33,4.19"
8057,2017-12-17 00:10:27,6.37,"8057,2017-12-17 00:10:27,6.37"
10510,2018-09-14 15:10:14,11.91,"10510,2018-09-14 15:10:14,11.91"
7240,2017-09-08 13:23:32,2.12,"7240,2017-09-08 13:23:32,2.12"
11297,2018-10-28 06:27:23,10.82,"11297,2018-10-28 06:27:23,10.82"
5522,2017-02-04 04:29:38,0.53,"5522,2017-02-04 04:29:38,0.53"
4341,2016-11-04 07:14:58,1.6,"4341,2016-11-04 07:14:58,1.6"
12925,2019-03-09 05:31:52,8.82,"12925,2019-03-09 05:31:52,8.82"
10229,2018-08-21 07:59:01,8.48,"10229,2018-08-21 07:59:01,8.48"
12122,2019-01-05 11:42:31,14.62,"12122,2019-01-05 11:42:31,14.62"
13763,2019-04-23 07:51:19,4.28,"13763,2019-04-23 07:51:19,4.28"
6853,2017-11-01 11:03:43,2.69,"6853,2017-11-01 11:03:43,2.69"
9024,2018-04-07 08:03:51,1.43,"9024,2018-04-07 08:03:51,1.43"
4824,2017-01-27 09:01:50,2.71,"4824,2017-01-27 09:01:50,2.71"
4706,2017-02-15 23:05:03,9.94,"4706,2017-02-15 23:05:03,9.94"
1998,2016-03-08 05:13:43,9.64,"1998,2016-03-08 05:13:43,9.64"
10487,2018-09-17 02:32:54,9.91,"10487,2018-09-17 02:32:54,9.91"
3089,2016-06-30 04:18:37,8.71,"3089,2016-06-30 04:18:37,8.71"
2260,2016-03-18 17:54:56,10.41,"2260,2016-03-18 17:54:56,10.41"
9245,2018-05-19 01:49:43,13.28,"9245,2018-05-19 01:49:43,13.28"
7950,2018-01-19 16:43:41,2.51,"7950,2018-01-19 16:43:41,2.51"
10393,2018-08-23 14:59:19,13.29,"10393,2018-08-23 14:59:19,13.29"
9337,2018-05-16 10:52:43,7.23,"9337,2018-05-16 10:52:43,7.23"
12373,2019-01-15 21:01:04,1.74,"12373,2019-01-15 21:01:04,1.74"
13909,2019-05-02 09:03:42,3.42,"13909,2019-05-02 09:03:42,3.42"
12838,2019-02-27 22:15:54,0.5,"12838,2019-02-27 22:15:54,0.5"
4872,2017-02-23 23:00:39,4.87,"4872,2017-02-23 23:00:39,4.87"
10372,2018-07-25 13:02:44,10.18,"10372,2018-07-25 13:02:44,10.18"
5197,2017-03-05 17:38:44,2.94,"5197,2017-03-05 17:38:44,2.94"
10491,2018-08-22 18:06:14,6.97,"10491,2018-08-22 18:06:14,6.97"
7422,2017-11-04 02:14:21,11.54,"7422,2017-11-04 02:14:21,11.54"
