temperature,humidity,pressure,weather
93,6,9888,"93,6,9888"
74,21,8702,"74,21,8702"
83,14,1203,"83,14,1203"
82,26,499,"82,26,499"
4,55,4041,"4,55,4041"
87,17,8000,"87,17,8000"
10,70,9796,"10,70,9796"
65,42,6215,"65,42,6215"
95,67,7196,"95,67,7196"
13,53,192,"13,53,192"
95,99,9273,"95,99,9273"
21,52,9607,"21,52,9607"
16,18,2309,"16,18,2309"
25,36,8800,"25,36,8800"
11,42,9308,"11,42,9308"
53,14,706,"53,14,706"
70,77,5304,"70,77,5304"
24,97,1604,"24,97,1604"
44,92,4173,"44,92,4173"
81,17,1531,"81,17,1531"
1,41,9747,"1,41,9747"
85,45,7569,"85,45,7569"
24,12,6330,"24,12,6330"
33,54,8620,"33,54,8620"
66,77,3649,"66,77,3649"
1,73,8937,"1,73,8937"
59,83,5817,"59,83,5817"
99,27,6401,"99,27,6401"
16,19,9058,"16,19,9058"
8,84,1724,"8,84,1724"
29,85,2842,"29,85,2842"
56,44,7480,"56,44,7480"
28,42,8680,"28,42,8680"
75,78,4423,"75,78,4423"
24,20,91,"24,20,91"
33,83,2838,"33,83,2838"
85,7,3621,"85,7,3621"
42,69,3493,"42,69,3493"
2,99,7708,"2,99,7708"
95,65,8137,"95,65,8137"
62,36,7338,"62,36,7338"
62,56,1975,"62,56,1975"
78,6,4518,"78,6,4518"
2,60,3106,"2,60,3106"
29,31,6266,"29,31,6266"
50,55,7519,"50,55,7519"
91,77,1027,"91,77,1027"
41,91,7542,"41,91,7542"
88,63,3438,"88,63,3438"
10,60,4378,"10,60,4378"
52,58,4454,"52,58,4454"
96,65,4185,"96,65,4185"
57,23,3817,"57,23,3817"
36,51,6227,"36,51,6227"
52,39,3418,"52,39,3418"
75,88,1103,"75,88,1103"
43,0,6344,"43,0,6344"
4,24,3685,"4,24,3685"
19,78,835,"19,78,835"
1,88,8887,"1,88,8887"
27,52,559,"27,52,559"
18,52,8956,"18,52,8956"
48,63,2732,"48,63,2732"
79,0,6178,"79,0,6178"
50,61,3366,"50,61,3366"
10,94,1199,"10,94,1199"
58,6,4553,"58,6,4553"
33,0,7452,"33,0,7452"
57,50,1211,"57,50,1211"
94,4,1908,"94,4,1908"
41,76,3968,"41,76,3968"
51,49,9881,"51,49,9881"
16,59,4917,"16,59,4917"
55,90,7709,"55,90,7709"
36,30,8330,"36,30,8330"
53,26,5040,"53,26,5040"
99,2,5147,"99,2,5147"
29,28,6552,"29,28,6552"
32,98,9059,"32,98,9059"
3,92,6401,"3,92,6401"
2,50,5537,"2,50,5537"
95,20,6097,"95,20,6097"
94,12,993,"94,12,993"
13,21,2019,"13,21,2019"
39,49,311,"39,49,311"
98,79,3134,"98,79,3134"
60,97,6231,"60,97,6231"
2,65,6797,"2,65,6797"
62,14,7071,"62,14,7071"
77,35,3425,"77,35,3425"
35,52,4707,"35,52,4707"
13,24,4692,"13,24,4692"
53,78,3829,"53,78,3829"
87,73,7331,"87,73,7331"
5,35,4907,"5,35,4907"
41,77,8350,"41,77,8350"
13,60,4039,"13,60,4039"
53,84,9683,"53,84,9683"
79,35,291,"79,35,291"
72,80,8970,"72,80,8970"
96,80,5690,"96,80,5690"
70,78,5129,"70,78,5129"
21,21,3251,"21,21,3251"
35,51,6771,"35,51,6771"
43,86,3844,"43,86,3844"
82,23,3729,"82,23,3729"
9,94,1293,"9,94,1293"
3,59,5116,"3,59,5116"
45,89,6710,"45,89,6710"
91,24,6035,"91,24,6035"
13,74,6472,"13,74,6472"
18,64,5921,"18,64,5921"
72,67,570,"72,67,570"
7,43,9694,"7,43,9694"
55,71,4456,"55,71,4456"
51,89,8066,"51,89,8066"
87,9,5483,"87,9,5483"
92,8,3575,"92,8,3575"
78,12,7713,"78,12,7713"
43,94,6737,"43,94,6737"
95,84,2165,"95,84,2165"
66,68,2506,"66,68,2506"
39,76,3148,"39,76,3148"
74,98,6577,"74,98,6577"
33,59,7366,"33,59,7366"
39,3,2603,"39,3,2603"
40,79,6737,"40,79,6737"
6,98,5046,"6,98,5046"
24,47,9488,"24,47,9488"
76,15,8624,"76,15,8624"
50,11,724,"50,11,724"
0,71,1609,"0,71,1609"
42,17,8937,"42,17,8937"
3,11,4986,"3,11,4986"
71,18,2871,"71,18,2871"
35,69,4408,"35,69,4408"
7,54,7634,"7,54,7634"
22,55,637,"22,55,637"
34,31,9534,"34,31,9534"
11,12,4097,"11,12,4097"
92,74,3998,"92,74,3998"
21,62,1925,"21,62,1925"
90,56,7478,"90,56,7478"
24,57,5373,"24,57,5373"
31,83,1064,"31,83,1064"
52,93,4439,"52,93,4439"
15,73,2279,"15,73,2279"
1,54,171,"1,54,171"
28,73,8441,"28,73,8441"
59,42,3276,"59,42,3276"
17,85,1584,"17,85,1584"
66,13,8392,"66,13,8392"
50,96,2500,"50,96,2500"
31,52,3661,"31,52,3661"
38,92,1725,"38,92,1725"
80,86,4616,"80,86,4616"
59,85,8586,"59,85,8586"
26,92,3372,"26,92,3372"
60,78,9568,"60,78,9568"
32,49,5995,"32,49,5995"
28,98,9333,"28,98,9333"
78,96,4551,"78,96,4551"
54,23,4337,"54,23,4337"
97,68,3522,"97,68,3522"
19,11,6973,"19,11,6973"
60,6,4308,"60,6,4308"
12,33,6453,"12,33,6453"
12,34,8620,"12,34,8620"
49,69,3027,"49,69,3027"
16,27,1527,"16,27,1527"
42,24,9109,"42,24,9109"
2,43,7787,"2,43,7787"
35,37,9908,"35,37,9908"
84,45,4582,"84,45,4582"
16,22,7388,"16,22,7388"
15,65,8578,"15,65,8578"
32,77,8193,"32,77,8193"
10,29,1829,"10,29,1829"
28,38,5790,"28,38,5790"
54,87,7962,"54,87,7962"
90,51,754,"90,51,754"
72,73,1455,"72,73,1455"
67,1,3735,"67,1,3735"
72,33,9759,"72,33,9759"
7,31,7225,"7,31,7225"
96,98,9121,"96,98,9121"
58,53,7459,"58,53,7459"
50,14,5005,"50,14,5005"
0,72,4904,"0,72,4904"
65,74,718,"65,74,718"
10,27,1818,"10,27,1818"
78,99,4306,"78,99,4306"
76,13,115,"76,13,115"
9,84,2567,"9,84,2567"
52,97,1351,"52,97,1351"
30,32,8882,"30,32,8882"
23,19,6570,"23,19,6570"
73,24,5630,"73,24,5630"
90,20,7526,"90,20,7526"
17,54,2290,"17,54,2290"
34,92,872,"34,92,872"
16,64,9769,"16,64,9769"
58,33,4792,"58,33,4792"
94,36,9706,"94,36,9706"
39,67,6161,"39,67,6161"
32,0,5593,"32,0,5593"
92,2,2366,"92,2,2366"
32,28,3486,"32,28,3486"
78,61,7399,"78,61,7399"
3,53,4807,"3,53,4807"
37,62,2881,"37,62,2881"
2,1,9096,"2,1,9096"
30,96,8892,"30,96,8892"
72,3,6714,"72,3,6714"
83,53,74,"83,53,74"
12,73,2240,"12,73,2240"
56,2,1367,"56,2,1367"
49,85,119,"49,85,119"
48,99,4852,"48,99,4852"
86,99,9245,"86,99,9245"
78,57,6790,"78,57,6790"
42,31,2283,"42,31,2283"
97,81,3506,"97,81,3506"
9,4,3427,"9,4,3427"
67,77,5473,"67,77,5473"
46,85,4925,"46,85,4925"
82,30,6158,"82,30,6158"
68,25,656,"68,25,656"
34,48,721,"34,48,721"
90,79,3850,"90,79,3850"
76,30,2156,"76,30,2156"
92,92,8080,"92,92,8080"
58,8,2083,"58,8,2083"
5,79,1288,"5,79,1288"
31,74,9052,"31,74,9052"
45,11,1854,"45,11,1854"
66,37,1321,"66,37,1321"
6,99,8436,"6,99,8436"
66,22,6585,"66,22,6585"
96,69,3370,"96,69,3370"
6,28,1662,"6,28,1662"
91,24,107,"91,24,107"
2,56,752,"2,56,752"
64,52,318,"64,52,318"
49,89,2908,"49,89,2908"
76,26,1126,"76,26,1126"
47,71,1802,"47,71,1802"
59,14,6163,"59,14,6163"
92,82,8493,"92,82,8493"
80,27,789,"80,27,789"
95,7,6089,"95,7,6089"
90,31,1999,"90,31,1999"
12,29,3705,"12,29,3705"
46,26,176,"46,26,176"
10,32,2504,"10,32,2504"
43,85,22,"43,85,22"
33,17,8252,"33,17,8252"
83,33,6831,"83,33,6831"
84,34,5233,"84,34,5233"
55,30,7582,"55,30,7582"
3,19,6806,"3,19,6806"
31,91,3118,"31,91,3118"
12,73,5388,"12,73,5388"
75,49,3754,"75,49,3754"
31,41,2492,"31,41,2492"
73,55,3603,"73,55,3603"
79,11,7207,"79,11,7207"
26,6,6885,"26,6,6885"
31,33,1000,"31,33,1000"
76,99,5614,"76,99,5614"
67,88,7062,"67,88,7062"
96,88,3104,"96,88,3104"
31,91,4268,"31,91,4268"
14,18,4497,"14,18,4497"
2,93,7692,"2,93,7692"
11,61,8268,"11,61,8268"
66,56,7462,"66,56,7462"
10,28,4349,"10,28,4349"
67,3,734,"67,3,734"
77,84,7547,"77,84,7547"
82,58,8794,"82,58,8794"
90,89,9610,"90,89,9610"
43,3,7788,"43,3,7788"
24,4,4337,"24,4,4337"
71,61,1672,"71,61,1672"
93,51,5884,"93,51,5884"
39,69,9513,"39,69,9513"
50,17,9592,"50,17,9592"
29,36,6757,"29,36,6757"
23,35,9788,"23,35,9788"
98,74,5405,"98,74,5405"
73,50,8628,"73,50,8628"
4,67,4998,"4,67,4998"
96,83,4383,"96,83,4383"
83,68,8901,"83,68,8901"
55,63,8149,"55,63,8149"
68,50,5844,"68,50,5844"
35,3,7366,"35,3,7366"
23,33,528,"23,33,528"
15,81,9934,"15,81,9934"
73,10,9304,"73,10,9304"
47,25,592,"47,25,592"
0,92,6426,"0,92,6426"
63,97,2281,"63,97,2281"
32,35,8399,"32,35,8399"
60,96,9331,"60,96,9331"
37,45,1701,"37,45,1701"
75,92,8944,"75,92,8944"
59,98,9230,"59,98,9230"
53,27,6120,"53,27,6120"
75,96,2269,"75,96,2269"
78,92,542,"78,92,542"
79,1,310,"79,1,310"
18,67,1552,"18,67,1552"
97,64,8711,"97,64,8711"
30,80,5569,"30,80,5569"
84,83,5729,"84,83,5729"
33,67,27,"33,67,27"
45,11,3543,"45,11,3543"
31,23,2193,"31,23,2193"
74,98,3050,"74,98,3050"
86,96,7795,"86,96,7795"
29,69,5845,"29,69,5845"
7,50,5484,"7,50,5484"
34,38,3423,"34,38,3423"
97,54,5743,"97,54,5743"
21,89,9029,"21,89,9029"
42,61,9915,"42,61,9915"
74,55,4544,"74,55,4544"
21,99,9843,"21,99,9843"
48,55,2515,"48,55,2515"
31,19,7185,"31,19,7185"
14,77,5407,"14,77,5407"
32,2,418,"32,2,418"
57,39,574,"57,39,574"
19,57,6927,"19,57,6927"
47,59,529,"47,59,529"
1,80,8170,"1,80,8170"
77,98,5094,"77,98,5094"
39,8,2911,"39,8,2911"
14,38,1133,"14,38,1133"
18,45,1875,"18,45,1875"
64,93,6685,"64,93,6685"
74,91,939,"74,91,939"
8,45,2660,"8,45,2660"
26,21,2400,"26,21,2400"
92,57,8875,"92,57,8875"
52,21,4101,"52,21,4101"
50,89,4896,"50,89,4896"
63,49,7502,"63,49,7502"
86,16,720,"86,16,720"
59,43,5054,"59,43,5054"
30,57,1824,"30,57,1824"
38,72,4217,"38,72,4217"
28,34,3181,"28,34,3181"
7,91,4503,"7,91,4503"
62,15,5234,"62,15,5234"
16,62,5069,"16,62,5069"
34,85,7846,"34,85,7846"
49,6,6800,"49,6,6800"
42,13,7780,"42,13,7780"
91,34,9067,"91,34,9067"
69,14,6498,"69,14,6498"
36,61,5890,"36,61,5890"
8,23,5213,"8,23,5213"
75,63,5891,"75,63,5891"
42,90,7823,"42,90,7823"
2,83,105,"2,83,105"
87,89,1140,"87,89,1140"
80,0,9376,"80,0,9376"
33,71,3150,"33,71,3150"
5,25,1469,"5,25,1469"
6,8,6699,"6,8,6699"
87,16,4376,"87,16,4376"
98,55,3953,"98,55,3953"
17,58,9431,"17,58,9431"
8,38,3775,"8,38,3775"
64,85,9856,"64,85,9856"
96,88,3577,"96,88,3577"
64,6,1561,"64,6,1561"
21,83,6596,"21,83,6596"
0,57,9183,"0,57,9183"
0,76,7021,"0,76,7021"
98,34,6268,"98,34,6268"
78,55,8788,"78,55,8788"
11,92,7601,"11,92,7601"
31,76,2218,"31,76,2218"
35,58,5354,"35,58,5354"
22,98,9653,"22,98,9653"
91,60,526,"91,60,526"
49,87,2178,"49,87,2178"
26,84,7164,"26,84,7164"
65,77,5654,"65,77,5654"
77,57,3226,"77,57,3226"
26,25,4227,"26,25,4227"
55,8,6050,"55,8,6050"
75,77,9671,"75,77,9671"
36,76,7139,"36,76,7139"
7,58,2235,"7,58,2235"
90,13,2150,"90,13,2150"
11,51,6102,"11,51,6102"
51,71,4172,"51,71,4172"
12,43,1826,"12,43,1826"
40,86,3360,"40,86,3360"
95,6,7035,"95,6,7035"
32,19,9334,"32,19,9334"
68,43,8028,"68,43,8028"
52,71,7697,"52,71,7697"
19,27,2480,"19,27,2480"
10,55,1431,"10,55,1431"
21,66,2000,"21,66,2000"
45,29,762,"45,29,762"
91,34,4894,"91,34,4894"
43,24,6796,"43,24,6796"
58,19,9158,"58,19,9158"
62,0,6485,"62,0,6485"
93,89,1570,"93,89,1570"
75,80,3559,"75,80,3559"
36,23,8842,"36,23,8842"
47,74,5260,"47,74,5260"
29,16,1759,"29,16,1759"
7,45,9729,"7,45,9729"
45,18,2577,"45,18,2577"
91,91,5116,"91,91,5116"
68,42,9141,"68,42,9141"
52,13,6309,"52,13,6309"
48,39,1684,"48,39,1684"
70,95,2342,"70,95,2342"
96,92,6008,"96,92,6008"
20,93,9994,"20,93,9994"
58,51,8523,"58,51,8523"
29,73,6885,"29,73,6885"
7,67,1383,"7,67,1383"
70,83,4925,"70,83,4925"
88,44,40,"88,44,40"
56,24,109,"56,24,109"
72,87,6275,"72,87,6275"
8,9,9408,"8,9,9408"
16,31,6570,"16,31,6570"
43,95,7662,"43,95,7662"
79,79,805,"79,79,805"
25,36,9530,"25,36,9530"
77,58,6570,"77,58,6570"
1,52,1118,"1,52,1118"
37,59,2439,"37,59,2439"
10,78,4056,"10,78,4056"
49,59,1142,"49,59,1142"
66,94,5645,"66,94,5645"
88,73,7374,"88,73,7374"
27,70,2879,"27,70,2879"
33,66,8420,"33,66,8420"
43,26,1341,"43,26,1341"
87,58,7216,"87,58,7216"
9,99,8910,"9,99,8910"
57,81,6816,"57,81,6816"
58,4,6705,"58,4,6705"
95,70,7534,"95,70,7534"
83,14,428,"83,14,428"
53,85,224,"53,85,224"
1,26,3068,"1,26,3068"
5,39,9557,"5,39,9557"
63,59,5176,"63,59,5176"
82,12,2173,"82,12,2173"
25,18,3488,"25,18,3488"
82,25,8858,"82,25,8858"
15,42,4063,"15,42,4063"
75,95,989,"75,95,989"
64,59,6182,"64,59,6182"
13,99,1918,"13,99,1918"
64,12,4057,"64,12,4057"
28,76,1981,"28,76,1981"
72,59,2506,"72,59,2506"
28,0,992,"28,0,992"
41,6,4324,"41,6,4324"
29,8,7115,"29,8,7115"
76,9,9820,"76,9,9820"
99,3,381,"99,3,381"
51,27,7382,"51,27,7382"
42,45,906,"42,45,906"
69,30,2404,"69,30,2404"
99,15,1968,"99,15,1968"
71,22,4968,"71,22,4968"
49,22,6496,"49,22,6496"
93,84,8284,"93,84,8284"
45,94,732,"45,94,732"
40,83,6322,"40,83,6322"
65,47,3712,"65,47,3712"
19,3,5383,"19,3,5383"
97,24,7558,"97,24,7558"
15,48,9810,"15,48,9810"
60,63,2321,"60,63,2321"
67,26,4948,"67,26,4948"
10,15,1202,"10,15,1202"
79,5,5144,"79,5,5144"
49,14,2334,"49,14,2334"
87,78,675,"87,78,675"
28,64,3494,"28,64,3494"
84,25,9097,"84,25,9097"
66,20,9557,"66,20,9557"
33,53,7854,"33,53,7854"
63,92,5091,"63,92,5091"
65,18,4121,"65,18,4121"
49,25,5129,"49,25,5129"
0,32,2183,"0,32,2183"
38,19,698,"38,19,698"
63,40,5492,"63,40,5492"
0,83,8189,"0,83,8189"
20,77,562,"20,77,562"
17,13,4879,"17,13,4879"
48,83,9805,"48,83,9805"
85,10,3696,"85,10,3696"
58,81,9123,"58,81,9123"
66,94,4638,"66,94,4638"
87,25,7275,"87,25,7275"
53,8,2378,"53,8,2378"
29,45,8723,"29,45,8723"
76,1,4989,"76,1,4989"
9,3,350,"9,3,350"
6,79,1051,"6,79,1051"
35,41,2929,"35,41,2929"
46,66,8260,"46,66,8260"
7,91,7528,"7,91,7528"
26,11,4315,"26,11,4315"
39,19,9607,"39,19,9607"
73,79,1148,"73,79,1148"
70,0,6212,"70,0,6212"
47,86,2765,"47,86,2765"
65,66,906,"65,66,906"
73,90,3479,"73,90,3479"
64,1,1116,"64,1,1116"
68,22,2020,"68,22,2020"
33,89,5876,"33,89,5876"
50,99,5066,"50,99,5066"
54,91,923,"54,91,923"
69,50,9346,"69,50,9346"
92,70,8966,"92,70,8966"
93,99,407,"93,99,407"
48,60,4838,"48,60,4838"
88,94,3857,"88,94,3857"
23,33,9687,"23,33,9687"
55,0,9111,"55,0,9111"
60,69,6724,"60,69,6724"
12,96,4149,"12,96,4149"
92,69,1958,"92,69,1958"
56,95,7981,"56,95,7981"
75,63,103,"75,63,103"
36,35,713,"36,35,713"
83,67,2788,"83,67,2788"
56,34,74,"56,34,74"
47,80,2881,"47,80,2881"
2,97,571,"2,97,571"
83,10,2306,"83,10,2306"
98,78,7638,"98,78,7638"
50,67,7498,"50,67,7498"
34,38,5641,"34,38,5641"
60,52,981,"60,52,981"
66,96,6708,"66,96,6708"
90,87,5129,"90,87,5129"
22,82,3994,"22,82,3994"
22,54,8778,"22,54,8778"
91,13,8763,"91,13,8763"
9,14,3342,"9,14,3342"
30,18,9816,"30,18,9816"
82,6,2058,"82,6,2058"
80,23,3676,"80,23,3676"
78,65,7233,"78,65,7233"
17,69,4437,"17,69,4437"
86,83,5681,"86,83,5681"
29,53,3824,"29,53,3824"
24,3,5455,"24,3,5455"
91,32,5630,"91,32,5630"
95,80,7250,"95,80,7250"
99,68,7530,"99,68,7530"
31,71,7186,"31,71,7186"
67,35,605,"67,35,605"
51,54,7461,"51,54,7461"
22,59,8224,"22,59,8224"
97,59,6830,"97,59,6830"
50,96,5252,"50,96,5252"
56,99,2773,"56,99,2773"
2,40,4643,"2,40,4643"
7,35,1727,"7,35,1727"
87,70,6744,"87,70,6744"
66,80,2123,"66,80,2123"
2,77,4577,"2,77,4577"
79,56,1299,"79,56,1299"
91,3,8992,"91,3,8992"
74,79,5034,"74,79,5034"
47,1,3082,"47,1,3082"
90,18,5148,"90,18,5148"
84,47,819,"84,47,819"
90,4,3813,"90,4,3813"
97,72,6719,"97,72,6719"
10,37,4218,"10,37,4218"
93,81,6834,"93,81,6834"
75,55,2475,"75,55,2475"
83,40,3715,"83,40,3715"
86,87,2615,"86,87,2615"
92,89,4493,"92,89,4493"
65,36,3386,"65,36,3386"
61,67,712,"61,67,712"
45,59,1420,"45,59,1420"
86,87,3886,"86,87,3886"
14,52,8036,"14,52,8036"
15,7,7100,"15,7,7100"
55,91,3282,"55,91,3282"
0,83,5672,"0,83,5672"
70,49,2248,"70,49,2248"
21,95,9588,"21,95,9588"
99,85,8442,"99,85,8442"
84,32,3005,"84,32,3005"
81,87,8842,"81,87,8842"
9,50,2254,"9,50,2254"
22,94,5332,"22,94,5332"
1,66,2972,"1,66,2972"
32,18,5575,"32,18,5575"
6,76,6173,"6,76,6173"
10,90,4333,"10,90,4333"
2,7,834,"2,7,834"
2,99,9888,"2,99,9888"
78,50,7614,"78,50,7614"
0,14,1780,"0,14,1780"
35,40,5879,"35,40,5879"
80,41,5374,"80,41,5374"
18,30,1614,"18,30,1614"
97,93,9784,"97,93,9784"
18,32,3477,"18,32,3477"
58,73,6426,"58,73,6426"
40,24,7620,"40,24,7620"
51,13,7130,"51,13,7130"
52,47,3782,"52,47,3782"
65,91,1738,"65,91,1738"
19,63,4748,"19,63,4748"
26,98,2384,"26,98,2384"
1,63,4157,"1,63,4157"
95,9,107,"95,9,107"
85,37,4056,"85,37,4056"
22,3,9927,"22,3,9927"
73,93,1912,"73,93,1912"
71,0,5122,"71,0,5122"
0,21,5809,"0,21,5809"
20,77,3728,"20,77,3728"
20,87,1886,"20,87,1886"
47,56,3647,"47,56,3647"
23,5,7356,"23,5,7356"
91,49,816,"91,49,816"
2,16,5761,"2,16,5761"
87,59,3401,"87,59,3401"
56,82,3829,"56,82,3829"
74,61,1510,"74,61,1510"
49,34,547,"49,34,547"
3,82,1093,"3,82,1093"
61,25,7259,"61,25,7259"
91,61,172,"91,61,172"
99,9,2631,"99,9,2631"
33,14,9640,"33,14,9640"
12,72,8511,"12,72,8511"
27,52,503,"27,52,503"
49,12,4133,"49,12,4133"
62,88,1019,"62,88,1019"
33,52,7152,"33,52,7152"
30,75,3661,"30,75,3661"
45,96,9608,"45,96,9608"
37,48,7602,"37,48,7602"
98,67,7205,"98,67,7205"
69,87,3049,"69,87,3049"
58,84,2322,"58,84,2322"
3,86,1010,"3,86,1010"
23,0,3264,"23,0,3264"
1,74,7298,"1,74,7298"
31,39,9053,"31,39,9053"
10,3,1067,"10,3,1067"
60,46,7087,"60,46,7087"
8,24,319,"8,24,319"
29,27,2550,"29,27,2550"
53,75,9470,"53,75,9470"
17,69,6236,"17,69,6236"
74,16,7552,"74,16,7552"
19,89,5410,"19,89,5410"
94,75,971,"94,75,971"
41,82,1236,"41,82,1236"
6,72,748,"6,72,748"
69,36,3338,"69,36,3338"
30,33,7505,"30,33,7505"
62,39,3084,"62,39,3084"
47,68,6857,"47,68,6857"
18,22,2733,"18,22,2733"
7,91,3370,"7,91,3370"
98,52,6132,"98,52,6132"
42,90,5785,"42,90,5785"
51,10,6825,"51,10,6825"
31,61,9314,"31,61,9314"
71,77,8510,"71,77,8510"
53,29,1468,"53,29,1468"
83,27,7570,"83,27,7570"
67,89,736,"67,89,736"
46,43,5438,"46,43,5438"
64,31,3283,"64,31,3283"
38,66,1830,"38,66,1830"
35,98,2961,"35,98,2961"
87,91,2197,"87,91,2197"
28,86,9128,"28,86,9128"
15,65,7968,"15,65,7968"
87,97,6524,"87,97,6524"
86,89,2811,"86,89,2811"
45,2,7073,"45,2,7073"
44,95,4898,"44,95,4898"
75,79,9569,"75,79,9569"
39,17,7347,"39,17,7347"
1,14,68,"1,14,68"
42,97,4658,"42,97,4658"
73,37,6075,"73,37,6075"
27,30,6480,"27,30,6480"
26,76,8878,"26,76,8878"
36,82,9898,"36,82,9898"
38,67,4687,"38,67,4687"
59,39,7238,"59,39,7238"
71,50,3695,"71,50,3695"
14,45,1881,"14,45,1881"
40,49,5959,"40,49,5959"
6,38,7849,"6,38,7849"
64,21,4401,"64,21,4401"
37,70,3927,"37,70,3927"
59,23,5382,"59,23,5382"
45,55,4747,"45,55,4747"
78,24,135,"78,24,135"
9,3,2744,"9,3,2744"
10,40,5116,"10,40,5116"
55,24,9867,"55,24,9867"
28,46,9173,"28,46,9173"
92,23,3708,"92,23,3708"
62,15,8920,"62,15,8920"
39,52,5114,"39,52,5114"
60,37,6655,"60,37,6655"
43,67,1647,"43,67,1647"
25,72,2287,"25,72,2287"
61,49,6492,"61,49,6492"
43,32,7345,"43,32,7345"
51,27,3098,"51,27,3098"
21,37,2521,"21,37,2521"
23,2,2074,"23,2,2074"
82,96,2239,"82,96,2239"
93,51,7671,"93,51,7671"
45,62,7616,"45,62,7616"
83,61,9888,"83,61,9888"
34,24,6145,"34,24,6145"
24,87,789,"24,87,789"
84,7,5764,"84,7,5764"
17,43,2490,"17,43,2490"
14,74,3683,"14,74,3683"
19,64,2839,"19,64,2839"
8,39,9765,"8,39,9765"
42,71,1213,"42,71,1213"
63,89,7157,"63,89,7157"
16,61,595,"16,61,595"
86,18,6968,"86,18,6968"
12,84,4353,"12,84,4353"
15,55,9979,"15,55,9979"
37,90,8804,"37,90,8804"
52,73,8847,"52,73,8847"
38,43,679,"38,43,679"
89,59,5778,"89,59,5778"
72,19,5447,"72,19,5447"
76,64,408,"76,64,408"
80,56,5032,"80,56,5032"
95,92,5561,"95,92,5561"
98,71,8678,"98,71,8678"
59,74,2565,"59,74,2565"
