brand_name,model_name,os,phone_info
Blackview,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android,"Blackview,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android"
ALCATEL,BV5800 Pro 2/16GB Black,Android,"ALCATEL,BV5800 Pro 2/16GB Black,Android"
HTC,Reno2 Z 8/128GB Black,Android,"HTC,Reno2 Z 8/128GB Black,Android"
Samsung,Redmi 9 3/32GB Purple no NFC,Android,"Samsung,Redmi 9 3/32GB Purple no NFC,Android"
Meizu,G7 ThinQ 4/64GB Aurora Black (LMG710EMW.ACISBK),Android,"Meizu,G7 ThinQ 4/64GB Aurora Black (LMG710EMW.ACISBK),Android"
Tecno,Galaxy Fold 12/512GB Black (SM-F900FZKD),Android,"Tecno,Galaxy Fold 12/512GB Black (SM-F900FZKD),Android"
Archos,E500A 2019 DualSim Black,Android,"Archos,E500A 2019 DualSim Black,Android"
Samsung,Moto Z 32GB White/Gold (SM4389AD1U1),Android,"Samsung,Moto Z 32GB White/Gold (SM4389AD1U1),Android"
Blackview,K10 Note 6/128GB Louise Lake,Android,"Blackview,K10 Note 6/128GB Louise Lake,Android"
Xiaomi,Cool Play 6 6/64GB Black,Android,"Xiaomi,Cool Play 6 6/64GB Black,Android"
Apple,iPhone XR 256GB Black (MRYJ2),Android,"Apple,iPhone XR 256GB Black (MRYJ2),Android"
Apple,Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK),Android,"Apple,Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK),Android"
Google,X-treme PQ39 Black,Android,"Google,X-treme PQ39 Black,Android"
OnePlus,M10 2/32GB Black,Android,"OnePlus,M10 2/32GB Black,Android"
Ulefone,Moto M Grey (PA5D0075UA),Android,"Ulefone,Moto M Grey (PA5D0075UA),Android"
Samsung,Moto G6 Plus XT1926 Dual Sim 64GB Indigo Blue,Android,"Samsung,Moto G6 Plus XT1926 Dual Sim 64GB Indigo Blue,Android"
Xiaomi,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android,"Xiaomi,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android"
AGM,G6 Plus 128GB Gold,Android,"AGM,G6 Plus 128GB Gold,Android"
Xiaomi,iPhone 6s 16GB Space Gray (MKQJ2),Android,"Xiaomi,iPhone 6s 16GB Space Gray (MKQJ2),Android"
Google,M5 Black,iOS,"Google,M5 Black,iOS"
Samsung,T3 Pro 3/16GB Black,Android,"Samsung,T3 Pro 3/16GB Black,Android"
Samsung,Redmi Note 5 3/32GB Rose Gold,Android,"Samsung,Redmi Note 5 3/32GB Rose Gold,Android"
Samsung,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android,"Samsung,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android"
LG,One Vision 4/128GB Sapphire Blue,Android,"LG,One Vision 4/128GB Sapphire Blue,Android"
vivo,iPhone 6s Plus 32GB Space Gray (MN2V2),Android,"vivo,iPhone 6s Plus 32GB Space Gray (MN2V2),Android"
Apple,iPhone 6 Plus 64GB Space Gray (MGAH2),Android,"Apple,iPhone 6 Plus 64GB Space Gray (MGAH2),Android"
Apple,A7 2/32GB L19111 Blue,Android,"Apple,A7 2/32GB L19111 Blue,Android"
Xiaomi,Pixel 5 8/128GB Just Black,Android,"Xiaomi,Pixel 5 8/128GB Just Black,Android"
UMIDIGI,BV9800 6/128Gb Black,Android,"UMIDIGI,BV9800 6/128Gb Black,Android"
Sigma mobile,Pixel 2 64GB Just Black,Android,"Sigma mobile,Pixel 2 64GB Just Black,Android"
Apple,X90 1/16GB Blue,Android,"Apple,X90 1/16GB Blue,Android"
ZTE,Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),Android,"ZTE,Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),Android"
Oukitel,iPhone 11 Pro Max 256GB Midnight Green (MWH72),Android,"Oukitel,iPhone 11 Pro Max 256GB Midnight Green (MWH72),Android"
Xiaomi,Armor 3W 6/64GB Black,Android,"Xiaomi,Armor 3W 6/64GB Black,Android"
Lenovo,A5 2020 3/64GB Black,Android,"Lenovo,A5 2020 3/64GB Black,Android"
Apple,iPhone 11 Pro Max 512GB Dual Sim Silver (MWF62),Android,"Apple,iPhone 11 Pro Max 512GB Dual Sim Silver (MWF62),Android"
Apple,nubia Red Magic 5G 8/128GB Black,Android,"Apple,nubia Red Magic 5G 8/128GB Black,Android"
Apple,nova 5T 6/128GB Black (51094MEU),iOS,"Apple,nova 5T 6/128GB Black (51094MEU),iOS"
HUAWEI,Spark 4 KC2 3/32GB Royal Purple,iOS,"HUAWEI,Spark 4 KC2 3/32GB Royal Purple,iOS"
Apple,Redmi 10x 4G 4/128GB Blue,Android,"Apple,Redmi 10x 4G 4/128GB Blue,Android"
Google,X19 4/64GB Black,Android,"Google,X19 4/64GB Black,Android"
Blackview,6 Pro 8/128GB Blue,iOS,"Blackview,6 Pro 8/128GB Blue,iOS"
Motorola,Pixel 4a 6/128GB Just Black,iOS,"Motorola,Pixel 4a 6/128GB Just Black,iOS"
Samsung,Galaxy Note 9 N960 8/512GB Metallic Copper,Android,"Samsung,Galaxy Note 9 N960 8/512GB Metallic Copper,Android"
Apple,POP 3 BB2 1/16GB DS Sandstone Black (4895180751288),Android,"Apple,POP 3 BB2 1/16GB DS Sandstone Black (4895180751288),Android"
ZTE,Pixel 4a 6/128GB Just Black,Android,"ZTE,Pixel 4a 6/128GB Just Black,Android"
Samsung,iPhone 5C 8GB (White),Android,"Samsung,iPhone 5C 8GB (White),Android"
ALCATEL,Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,Android,"ALCATEL,Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,Android"
Sigma mobile,Xperia 1 II XQ-AT51 8/256GB Black,Android,"Sigma mobile,Xperia 1 II XQ-AT51 8/256GB Black,Android"
Blackview,Blade L8 1/16GB Blue,Android,"Blackview,Blade L8 1/16GB Blue,Android"
Xiaomi,Armor X5 Pro 4/64GB Black (6937748733829),Android,"Xiaomi,Armor X5 Pro 4/64GB Black (6937748733829),Android"
HUAWEI,Pixel 3a XL 4/64GB Just Black,Android,"HUAWEI,Pixel 3a XL 4/64GB Just Black,Android"
ZTE,8 12/256GB Onyx Black,Android,"ZTE,8 12/256GB Onyx Black,Android"
DOOGEE,6 64GB Black,Android,"DOOGEE,6 64GB Black,Android"
Samsung,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android,"Samsung,Moto Z2 Play Lunar Grey (SM4482AC3K7),Android"
Sony,P30 Pro 8/256GB Black (51093NFN),iOS,"Sony,P30 Pro 8/256GB Black (51093NFN),iOS"
S-TELL,One Zoom 4/128GB Purple,iOS,"S-TELL,One Zoom 4/128GB Purple,iOS"
Sigma mobile,P Smart Pro 6/128GB Midnight Black (51094UVB),Android,"Sigma mobile,P Smart Pro 6/128GB Midnight Black (51094UVB),Android"
Sony,iPhone 11 Pro Max 256GB Dual Sim Gold (MWF32),iOS,"Sony,iPhone 11 Pro Max 256GB Dual Sim Gold (MWF32),iOS"
Motorola,X-treme PQ29 Black,Android,"Motorola,X-treme PQ29 Black,Android"
Samsung,S90C 4/128GB Black,Android,"Samsung,S90C 4/128GB Black,Android"
Nokia,BV9500 Black,Android,"Nokia,BV9500 Black,Android"
Samsung,Mi Max 2 4/64GB Black,Android,"Samsung,Mi Max 2 4/64GB Black,Android"
Honor,Galaxy A41 4/64GB Black (SM-A415FZKD),Android,"Honor,Galaxy A41 4/64GB Black (SM-A415FZKD),Android"
CAT,iPhone 11 64GB Dual Sim White (MWN12),Android,"CAT,iPhone 11 64GB Dual Sim White (MWN12),Android"
DOOGEE,Redmi 4x 2/16GB Black,Android,"DOOGEE,Redmi 4x 2/16GB Black,Android"
Xiaomi,BV4900 Pro 4/64GB Orange,Android,"Xiaomi,BV4900 Pro 4/64GB Orange,Android"
Xiaomi,Armor X5 Pro 4/64GB Black (6937748733829),Android,"Xiaomi,Armor X5 Pro 4/64GB Black (6937748733829),Android"
Samsung,T3 Pro 3/16GB Black,Android,"Samsung,T3 Pro 3/16GB Black,Android"
DOOGEE,8 Pro 12/256GB Glacial Green,Android,"DOOGEE,8 Pro 12/256GB Glacial Green,Android"
Oukitel,Galaxy S10 SM-G973 DS 512GB Black,iOS,"Oukitel,Galaxy S10 SM-G973 DS 512GB Black,iOS"
Google,X95 2/16GB Black,iOS,"Google,X95 2/16GB Black,iOS"
vivo,WP2 4/64GB Black,Android,"vivo,WP2 4/64GB Black,Android"
Sigma mobile,S55 4/64GB Black,iOS,"Sigma mobile,S55 4/64GB Black,iOS"
Xiaomi,Galaxy M10S M107F 3/32GB Black,iOS,"Xiaomi,Galaxy M10S M107F 3/32GB Black,iOS"
Xiaomi,Redmi Note 4 3/64GB (Gold),Android,"Xiaomi,Redmi Note 4 3/64GB (Gold),Android"
UMIDIGI,A80 Pro 4/64GB Black,Android,"UMIDIGI,A80 Pro 4/64GB Black,Android"
Oukitel,Reno 4 Lite 8/128GB Magic Blue,Android,"Oukitel,Reno 4 Lite 8/128GB Magic Blue,Android"
Ulefone,Galaxy J6 2018 2/32GB Gold (SM-J600FZDD),Android,"Ulefone,Galaxy J6 2018 2/32GB Gold (SM-J600FZDD),Android"
realme,P40 8/128GB Black (51095EHY),Android,"realme,P40 8/128GB Black (51095EHY),Android"
DOOGEE,8A 2/32GB Gold,Android,"DOOGEE,8A 2/32GB Gold,Android"
Lenovo,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android,"Lenovo,Galaxy A50s 2019 SM-A507FD 6/128GB Black,Android"
ZTE,X50 Pro 8/256GB Alpha Grey,Android,"ZTE,X50 Pro 8/256GB Alpha Grey,Android"
LG,Xperia XZ (Black),Android,"LG,Xperia XZ (Black),Android"
Blackview,One Action 4/128GB XT2013-2 White,Android,"Blackview,One Action 4/128GB XT2013-2 White,Android"
ZTE,BV6300 3/32GB Black,Android,"ZTE,BV6300 3/32GB Black,Android"
Motorola,Redmi 5 Plus 4/64GB Gold,Android,"Motorola,Redmi 5 Plus 4/64GB Gold,Android"
Samsung,Moto G9 Power 4/128GB Gray (PALR0020RS),iOS,"Samsung,Moto G9 Power 4/128GB Gray (PALR0020RS),iOS"
OnePlus,P8 Prestige Gold,Android,"OnePlus,P8 Prestige Gold,Android"
Blackview,6i 4/128GB Green,Android,"Blackview,6i 4/128GB Green,Android"
Google,Note 20 Pro 6/128GB Black,Android,"Google,Note 20 Pro 6/128GB Black,Android"
LG,Pixel 5 8/128GB Just Black,iOS,"LG,Pixel 5 8/128GB Just Black,iOS"
Xiaomi,5 Pro 8/128GB Green,Android,"Xiaomi,5 Pro 8/128GB Green,Android"
OnePlus,Armor X7 Pro 4/32GB Black,Android,"OnePlus,Armor X7 Pro 4/32GB Black,Android"
DOOGEE,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),Android,"DOOGEE,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),Android"
Meizu,BV9800 6/128Gb Black,Android,"Meizu,BV9800 6/128Gb Black,Android"
DOOGEE,Galaxy Fold 5G SM-F907B 12/512GB Silver,Android,"DOOGEE,Galaxy Fold 5G SM-F907B 12/512GB Silver,Android"
HUAWEI,Q 6/64GB Blue,Android,"HUAWEI,Q 6/64GB Blue,Android"
Samsung,X-treme PQ20 Black Orange,Android,"Samsung,X-treme PQ20 Black Orange,Android"
CAT,V40 ThinQ 4/64GB Aurora Black,Android,"CAT,V40 ThinQ 4/64GB Aurora Black,Android"
Apple,iPhone SE 2020 256GB Black (MXVT2/MXVP2),Android,"Apple,iPhone SE 2020 256GB Black (MXVT2/MXVP2),Android"
Xiaomi,1B 5002H Prime Black (5002H-2AALUA12),Android,"Xiaomi,1B 5002H Prime Black (5002H-2AALUA12),Android"
Tecno,7 6/64GB Mist Blue,Android,"Tecno,7 6/64GB Mist Blue,Android"
Motorola,X90L 3/16GB Purple,Android,"Motorola,X90L 3/16GB Purple,Android"
Xiaomi,Blade A5 2/32GB Black,Android,"Xiaomi,Blade A5 2/32GB Black,Android"
realme,A5 2020 3/64GB Black,Android,"realme,A5 2020 3/64GB Black,Android"
Lenovo,A5 2020 3/64GB Black,Android,"Lenovo,A5 2020 3/64GB Black,Android"
Crosscall,A9 4/32GB Black,Android,"Crosscall,A9 4/32GB Black,Android"
vivo,One Vision 4/128GB Sapphire Blue,Android,"vivo,One Vision 4/128GB Sapphire Blue,Android"
HUAWEI,One Vision 4/128GB Sapphire Blue,Android,"HUAWEI,One Vision 4/128GB Sapphire Blue,Android"
Xiaomi,Mate 10 6/128GB Gold,Android,"Xiaomi,Mate 10 6/128GB Gold,Android"
Apple,Redmi 9C NFC 3/64GB Midnight Gray,iOS,"Apple,Redmi 9C NFC 3/64GB Midnight Gray,iOS"
Samsung,ROG Phone 3 Strix 12/128GB Black (90AI0031-M00010),Android,"Samsung,ROG Phone 3 Strix 12/128GB Black (90AI0031-M00010),Android"
Honor,3T 64GB (Gunmetal),Android,"Honor,3T 64GB (Gunmetal),Android"
Apple,Pixel XL 128GB (Quite Black),Android,"Apple,Pixel XL 128GB (Quite Black),Android"
Sigma mobile,iPhone 12 Pro Max 128GB Graphite (MGD73),Android,"Sigma mobile,iPhone 12 Pro Max 128GB Graphite (MGD73),Android"
Lenovo,Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),Android,"Lenovo,Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),Android"
HUAWEI,Pixel 32GB (Quite Black),Android,"HUAWEI,Pixel 32GB (Quite Black),Android"
Ulefone,Mi 10T 6/128GB Cosmic Black,Android,"Ulefone,Mi 10T 6/128GB Cosmic Black,Android"
AGM,6.1 4/64GB Black,Android,"AGM,6.1 4/64GB Black,Android"
NUU,A53 4/128GB Electric Black,Android,"NUU,A53 4/128GB Electric Black,Android"
Xiaomi,Redmi 6 3/32GB Gold,Android,"Xiaomi,Redmi 6 3/32GB Gold,Android"
Samsung,POP 2F B1F 1/16GB Midnight Black (4895180746659),Android,"Samsung,POP 2F B1F 1/16GB Midnight Black (4895180746659),Android"
Xiaomi,Redmi Note 9 3/64GB Grey (no NFC),Android,"Xiaomi,Redmi Note 9 3/64GB Grey (no NFC),Android"
Sigma mobile,Galaxy S20+ 5G SM-G9860 12/128GB Cosmic Black,Android,"Sigma mobile,Galaxy S20+ 5G SM-G9860 12/128GB Cosmic Black,Android"
Google,iPhone 12 128GB Dual Sim Black (MGGU3),Android,"Google,iPhone 12 128GB Dual Sim Black (MGGU3),Android"
Nokia,40 Neon,Android,"Nokia,40 Neon,Android"
DOOGEE,P30 8/128GB Black,Android,"DOOGEE,P30 8/128GB Black,Android"
Samsung,iPhone 7 256GB Black (MN972),Android,"Samsung,iPhone 7 256GB Black (MN972),Android"
Apple,S52,Android,"Apple,S52,Android"
vivo,iPhone 11 64GB Dual Sim White (MWN12),Android,"vivo,iPhone 11 64GB Dual Sim White (MWN12),Android"
