job_title,department_name,length_of_service,employee_info
Shelf Stocker,Processed Foods,21,"Shelf Stocker,Processed Foods,21"
VP Stores,Executive,26,"VP Stores,Executive,26"
Produce Manager,Processed Foods,19,"Produce Manager,Processed Foods,19"
Customer Service Manager,Dairy,21,"Customer Service Manager,Dairy,21"
Produce Clerk,Accounts Payable,20,"Produce Clerk,Accounts Payable,20"
Produce Clerk,Dairy,18,"Produce Clerk,Dairy,18"
Meat Cutter,Accounts Receiveable,26,"Meat Cutter,Accounts Receiveable,26"
Processed Foods Manager,Meats,23,"Processed Foods Manager,Meats,23"
Dairy Person,Accounts Payable,16,"Dairy Person,Accounts Payable,16"
Legal Counsel,Executive,15,"Legal Counsel,Executive,15"
Accounts Receiveable Clerk,Recruitment,25,"Accounts Receiveable Clerk,Recruitment,25"
"Director, Compensation",Bakery,24,"Director, Compensation,Bakery,24"
"Director, HR Technology",Bakery,16,"Director, HR Technology,Bakery,16"
"Director, Employee Records",Meats,10,"Director, Employee Records,Meats,10"
VP Stores,Executive,26,"VP Stores,Executive,26"
Accounts Payable Clerk,Accounting,19,"Accounts Payable Clerk,Accounting,19"
CHief Information Officer,Store Management,25,"CHief Information Officer,Store Management,25"
Auditor,Dairy,25,"Auditor,Dairy,25"
Baker,Customer Service,15,"Baker,Customer Service,15"
Shelf Stocker,Dairy,17,"Shelf Stocker,Dairy,17"
"Director, Recruitment",Executive,17,"Director, Recruitment,Executive,17"
"Exec Assistant, Legal Counsel",Executive,20,"Exec Assistant, Legal Counsel,Executive,20"
"Director, Investments",Bakery,11,"Director, Investments,Bakery,11"
Meat Cutter,Accounts Payable,21,"Meat Cutter,Accounts Payable,21"
Dairy Manager,Meats,25,"Dairy Manager,Meats,25"
Compensation Analyst,Bakery,24,"Compensation Analyst,Bakery,24"
Produce Clerk,Bakery,23,"Produce Clerk,Bakery,23"
Shelf Stocker,Accounts Payable,21,"Shelf Stocker,Accounts Payable,21"
"Director, Accounting",Executive,21,"Director, Accounting,Executive,21"
Dairy Person,Accounts Receiveable,20,"Dairy Person,Accounts Receiveable,20"
Baker,Accounts Payable,23,"Baker,Accounts Payable,23"
Customer Service Manager,Processed Foods,15,"Customer Service Manager,Processed Foods,15"
"Director, Employee Records",Dairy,17,"Director, Employee Records,Dairy,17"
Dairy Person,Employee Records,21,"Dairy Person,Employee Records,21"
Dairy Person,Labor Relations,21,"Dairy Person,Labor Relations,21"
"Director, Audit",Recruitment,20,"Director, Audit,Recruitment,20"
Shelf Stocker,Bakery,20,"Shelf Stocker,Bakery,20"
VP Finance,Meats,25,"VP Finance,Meats,25"
Processed Foods Manager,Executive,20,"Processed Foods Manager,Executive,20"
Store Manager,Executive,24,"Store Manager,Executive,24"
Labor Relations Analyst,Processed Foods,25,"Labor Relations Analyst,Processed Foods,25"
Meat Cutter,Audit,21,"Meat Cutter,Audit,21"
"Director, Recruitment",Executive,25,"Director, Recruitment,Executive,25"
"Director, Employee Records",Meats,26,"Director, Employee Records,Meats,26"
"Director, Recruitment",Executive,23,"Director, Recruitment,Executive,23"
Dairy Person,Accounts Payable,24,"Dairy Person,Accounts Payable,24"
Dairy Person,Executive,21,"Dairy Person,Executive,21"
Meats Manager,Training,26,"Meats Manager,Training,26"
Cashier,Customer Service,19,"Cashier,Customer Service,19"
Bakery Manager,Processed Foods,19,"Bakery Manager,Processed Foods,19"
Baker,Dairy,25,"Baker,Dairy,25"
"Director, Accounting",Executive,26,"Director, Accounting,Executive,26"
Processed Foods Manager,Store Management,20,"Processed Foods Manager,Store Management,20"
Dairy Person,Bakery,21,"Dairy Person,Bakery,21"
Bakery Manager,Labor Relations,20,"Bakery Manager,Labor Relations,20"
"Director, Training",Executive,23,"Director, Training,Executive,23"
Shelf Stocker,Compensation,26,"Shelf Stocker,Compensation,26"
Dairy Person,Accounting,12,"Dairy Person,Accounting,12"
Baker,Bakery,16,"Baker,Bakery,16"
Dairy Manager,Bakery,20,"Dairy Manager,Bakery,20"
Processed Foods Manager,Bakery,17,"Processed Foods Manager,Bakery,17"
Processed Foods Manager,Produce,23,"Processed Foods Manager,Produce,23"
Shelf Stocker,Dairy,15,"Shelf Stocker,Dairy,15"
Shelf Stocker,Customer Service,15,"Shelf Stocker,Customer Service,15"
"Exec Assistant, VP Stores",Processed Foods,21,"Exec Assistant, VP Stores,Processed Foods,21"
Trainer,Labor Relations,24,"Trainer,Labor Relations,24"
Store Manager,Store Management,23,"Store Manager,Store Management,23"
Processed Foods Manager,Processed Foods,25,"Processed Foods Manager,Processed Foods,25"
Baker,Customer Service,20,"Baker,Customer Service,20"
Corporate Lawyer,Employee Records,21,"Corporate Lawyer,Employee Records,21"
Produce Clerk,Compensation,22,"Produce Clerk,Compensation,22"
CHief Information Officer,Meats,15,"CHief Information Officer,Meats,15"
"Exec Assistant, VP Stores",Executive,20,"Exec Assistant, VP Stores,Executive,20"
Produce Clerk,Customer Service,18,"Produce Clerk,Customer Service,18"
Cashier,Customer Service,13,"Cashier,Customer Service,13"
Cashier,Customer Service,7,"Cashier,Customer Service,7"
Baker,Accounts Payable,7,"Baker,Accounts Payable,7"
Meat Cutter,Customer Service,17,"Meat Cutter,Customer Service,17"
Baker,Dairy,23,"Baker,Dairy,23"
VP Human Resources,Executive,12,"VP Human Resources,Executive,12"
Meat Cutter,Compensation,7,"Meat Cutter,Compensation,7"
Produce Manager,Produce,20,"Produce Manager,Produce,20"
Processed Foods Manager,Processed Foods,22,"Processed Foods Manager,Processed Foods,22"
Meat Cutter,HR Technology,17,"Meat Cutter,HR Technology,17"
Produce Clerk,Dairy,26,"Produce Clerk,Dairy,26"
"Director, Accounts Receivable",Executive,26,"Director, Accounts Receivable,Executive,26"
Accounting Clerk,Dairy,13,"Accounting Clerk,Dairy,13"
"Exec Assistant, Human Resources",Executive,23,"Exec Assistant, Human Resources,Executive,23"
CHief Information Officer,Meats,16,"CHief Information Officer,Meats,16"
Customer Service Manager,Investment,23,"Customer Service Manager,Investment,23"
VP Human Resources,HR Technology,21,"VP Human Resources,HR Technology,21"
Legal Counsel,Meats,22,"Legal Counsel,Meats,22"
Recruiter,Accounts Receiveable,20,"Recruiter,Accounts Receiveable,20"
Customer Service Manager,Dairy,11,"Customer Service Manager,Dairy,11"
Customer Service Manager,Employee Records,14,"Customer Service Manager,Employee Records,14"
Customer Service Manager,Dairy,14,"Customer Service Manager,Dairy,14"
Produce Clerk,Processed Foods,8,"Produce Clerk,Processed Foods,8"
Baker,Produce,17,"Baker,Produce,17"
Accounts Payable Clerk,Bakery,14,"Accounts Payable Clerk,Bakery,14"
CHief Information Officer,Executive,26,"CHief Information Officer,Executive,26"
"Director, Investments",Bakery,25,"Director, Investments,Bakery,25"
"Director, Labor Relations",Executive,26,"Director, Labor Relations,Executive,26"
Produce Clerk,Dairy,20,"Produce Clerk,Dairy,20"
Meat Cutter,Meats,21,"Meat Cutter,Meats,21"
CHief Information Officer,Recruitment,25,"CHief Information Officer,Recruitment,25"
"Exec Assistant, Legal Counsel",Recruitment,25,"Exec Assistant, Legal Counsel,Recruitment,25"
Accounts Payable Clerk,Audit,18,"Accounts Payable Clerk,Audit,18"
VP Finance,Store Management,15,"VP Finance,Store Management,15"
Bakery Manager,HR Technology,13,"Bakery Manager,HR Technology,13"
Accounting Clerk,Investment,12,"Accounting Clerk,Investment,12"
Baker,Dairy,20,"Baker,Dairy,20"
Accounts Payable Clerk,Dairy,8,"Accounts Payable Clerk,Dairy,8"
Bakery Manager,Recruitment,8,"Bakery Manager,Recruitment,8"
Labor Relations Analyst,HR Technology,24,"Labor Relations Analyst,HR Technology,24"
"Exec Assistant, Legal Counsel",Store Management,24,"Exec Assistant, Legal Counsel,Store Management,24"
HRIS Analyst,Legal,24,"HRIS Analyst,Legal,24"
Corporate Lawyer,Meats,24,"Corporate Lawyer,Meats,24"
Trainer,Executive,22,"Trainer,Executive,22"
VP Human Resources,Meats,24,"VP Human Resources,Meats,24"
"Director, Compensation",Store Management,22,"Director, Compensation,Store Management,22"
Auditor,Compensation,24,"Auditor,Compensation,24"
Auditor,Produce,25,"Auditor,Produce,25"
Processed Foods Manager,Store Management,25,"Processed Foods Manager,Store Management,25"
CHief Information Officer,Employee Records,25,"CHief Information Officer,Employee Records,25"
Meat Cutter,Produce,21,"Meat Cutter,Produce,21"
Processed Foods Manager,Bakery,9,"Processed Foods Manager,Bakery,9"
Customer Service Manager,Executive,26,"Customer Service Manager,Executive,26"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
Processed Foods Manager,Investment,13,"Processed Foods Manager,Investment,13"
Meat Cutter,Employee Records,13,"Meat Cutter,Employee Records,13"
Legal Counsel,Recruitment,16,"Legal Counsel,Recruitment,16"
"Exec Assistant, Legal Counsel",Executive,26,"Exec Assistant, Legal Counsel,Executive,26"
Bakery Manager,Meats,21,"Bakery Manager,Meats,21"
Store Manager,Executive,25,"Store Manager,Executive,25"
Produce Manager,Meats,21,"Produce Manager,Meats,21"
Processed Foods Manager,Dairy,26,"Processed Foods Manager,Dairy,26"
Baker,Accounts Payable,25,"Baker,Accounts Payable,25"
Baker,Dairy,16,"Baker,Dairy,16"
Cashier,Customer Service,13,"Cashier,Customer Service,13"
VP Stores,Recruitment,16,"VP Stores,Recruitment,16"
VP Human Resources,Store Management,18,"VP Human Resources,Store Management,18"
Accounting Clerk,Produce,16,"Accounting Clerk,Produce,16"
CHief Information Officer,HR Technology,26,"CHief Information Officer,HR Technology,26"
"Exec Assistant, VP Stores",Executive,23,"Exec Assistant, VP Stores,Executive,23"
"Exec Assistant, VP Stores",Store Management,24,"Exec Assistant, VP Stores,Store Management,24"
"Exec Assistant, Legal Counsel",Store Management,25,"Exec Assistant, Legal Counsel,Store Management,25"
Processed Foods Manager,Dairy,17,"Processed Foods Manager,Dairy,17"
Dairy Person,Dairy,25,"Dairy Person,Dairy,25"
Dairy Person,Labor Relations,24,"Dairy Person,Labor Relations,24"
Labor Relations Analyst,Customer Service,12,"Labor Relations Analyst,Customer Service,12"
Meat Cutter,Bakery,20,"Meat Cutter,Bakery,20"
Legal Counsel,Executive,24,"Legal Counsel,Executive,24"
Trainer,Processed Foods,16,"Trainer,Processed Foods,16"
Shelf Stocker,Processed Foods,17,"Shelf Stocker,Processed Foods,17"
"Director, Accounts Receivable",Store Management,24,"Director, Accounts Receivable,Store Management,24"
Customer Service Manager,Investment,22,"Customer Service Manager,Investment,22"
Dairy Person,Store Management,20,"Dairy Person,Store Management,20"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
"Exec Assistant, VP Stores",Executive,24,"Exec Assistant, VP Stores,Executive,24"
Meat Cutter,HR Technology,23,"Meat Cutter,HR Technology,23"
Customer Service Manager,Audit,19,"Customer Service Manager,Audit,19"
Compensation Analyst,Meats,16,"Compensation Analyst,Meats,16"
Corporate Lawyer,Processed Foods,26,"Corporate Lawyer,Processed Foods,26"
Produce Clerk,Dairy,21,"Produce Clerk,Dairy,21"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
Processed Foods Manager,Meats,25,"Processed Foods Manager,Meats,25"
Shelf Stocker,Accounting,19,"Shelf Stocker,Accounting,19"
HRIS Analyst,Processed Foods,23,"HRIS Analyst,Processed Foods,23"
Produce Clerk,Dairy,20,"Produce Clerk,Dairy,20"
Dairy Manager,Processed Foods,6,"Dairy Manager,Processed Foods,6"
"Director, Accounting",Store Management,22,"Director, Accounting,Store Management,22"
Trainer,Legal,23,"Trainer,Legal,23"
Baker,Processed Foods,25,"Baker,Processed Foods,25"
Processed Foods Manager,Dairy,26,"Processed Foods Manager,Dairy,26"
Accounts Payable Clerk,Recruitment,11,"Accounts Payable Clerk,Recruitment,11"
"Exec Assistant, Finance",Accounts Receiveable,21,"Exec Assistant, Finance,Accounts Receiveable,21"
Shelf Stocker,Processed Foods,17,"Shelf Stocker,Processed Foods,17"
Shelf Stocker,Customer Service,18,"Shelf Stocker,Customer Service,18"
Meat Cutter,Employee Records,24,"Meat Cutter,Employee Records,24"
"Director, Accounts Receivable",Executive,26,"Director, Accounts Receivable,Executive,26"
"Director, Recruitment",Meats,22,"Director, Recruitment,Meats,22"
VP Human Resources,Executive,20,"VP Human Resources,Executive,20"
Trainer,Bakery,21,"Trainer,Bakery,21"
Produce Clerk,Dairy,10,"Produce Clerk,Dairy,10"
Dairy Person,Meats,26,"Dairy Person,Meats,26"
Store Manager,Executive,26,"Store Manager,Executive,26"
Accounts Payable Clerk,Training,21,"Accounts Payable Clerk,Training,21"
"Exec Assistant, Legal Counsel",Executive,21,"Exec Assistant, Legal Counsel,Executive,21"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
Produce Clerk,Dairy,25,"Produce Clerk,Dairy,25"
Accounts Payable Clerk,Information Technology,18,"Accounts Payable Clerk,Information Technology,18"
Labor Relations Analyst,Employee Records,26,"Labor Relations Analyst,Employee Records,26"
Shelf Stocker,Processed Foods,10,"Shelf Stocker,Processed Foods,10"
"Director, Recruitment",Employee Records,26,"Director, Recruitment,Employee Records,26"
Recruiter,Produce,22,"Recruiter,Produce,22"
Compensation Analyst,Dairy,16,"Compensation Analyst,Dairy,16"
Accounting Clerk,Accounts Receiveable,20,"Accounting Clerk,Accounts Receiveable,20"
"Exec Assistant, Human Resources",Employee Records,25,"Exec Assistant, Human Resources,Employee Records,25"
CHief Information Officer,Employee Records,23,"CHief Information Officer,Employee Records,23"
VP Stores,Executive,16,"VP Stores,Executive,16"
Produce Manager,Meats,26,"Produce Manager,Meats,26"
Shelf Stocker,Processed Foods,14,"Shelf Stocker,Processed Foods,14"
Shelf Stocker,Accounting,16,"Shelf Stocker,Accounting,16"
Cashier,Accounting,8,"Cashier,Accounting,8"
Processed Foods Manager,Processed Foods,19,"Processed Foods Manager,Processed Foods,19"
Shelf Stocker,Produce,21,"Shelf Stocker,Produce,21"
Dairy Person,Store Management,25,"Dairy Person,Store Management,25"
CHief Information Officer,Executive,23,"CHief Information Officer,Executive,23"
Corporate Lawyer,Produce,23,"Corporate Lawyer,Produce,23"
Accounts Payable Clerk,Investment,16,"Accounts Payable Clerk,Investment,16"
Accounting Clerk,Customer Service,12,"Accounting Clerk,Customer Service,12"
Processed Foods Manager,Produce,13,"Processed Foods Manager,Produce,13"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
"Director, Employee Records",Accounts Payable,9,"Director, Employee Records,Accounts Payable,9"
Accounts Receiveable Clerk,Processed Foods,25,"Accounts Receiveable Clerk,Processed Foods,25"
Produce Manager,Dairy,25,"Produce Manager,Dairy,25"
Cashier,Customer Service,12,"Cashier,Customer Service,12"
Meat Cutter,Produce,24,"Meat Cutter,Produce,24"
VP Human Resources,Executive,22,"VP Human Resources,Executive,22"
CHief Information Officer,Executive,16,"CHief Information Officer,Executive,16"
Meat Cutter,Dairy,19,"Meat Cutter,Dairy,19"
"Director, Recruitment",Training,16,"Director, Recruitment,Training,16"
Bakery Manager,Executive,15,"Bakery Manager,Executive,15"
Meats Manager,Executive,20,"Meats Manager,Executive,20"
Meat Cutter,Compensation,17,"Meat Cutter,Compensation,17"
Cashier,Customer Service,17,"Cashier,Customer Service,17"
Trainer,Recruitment,17,"Trainer,Recruitment,17"
Trainer,Accounting,20,"Trainer,Accounting,20"
Dairy Person,Customer Service,24,"Dairy Person,Customer Service,24"
VP Human Resources,Compensation,11,"VP Human Resources,Compensation,11"
Meat Cutter,Training,11,"Meat Cutter,Training,11"
Investment Analyst,Dairy,13,"Investment Analyst,Dairy,13"
Shelf Stocker,Customer Service,14,"Shelf Stocker,Customer Service,14"
Dairy Person,Labor Relations,24,"Dairy Person,Labor Relations,24"
Processed Foods Manager,Dairy,25,"Processed Foods Manager,Dairy,25"
"Director, Accounts Payable",Executive,21,"Director, Accounts Payable,Executive,21"
Dairy Manager,Investment,24,"Dairy Manager,Investment,24"
Corporate Lawyer,Executive,16,"Corporate Lawyer,Executive,16"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Benefits Admin,Processed Foods,22,"Benefits Admin,Processed Foods,22"
Dairy Person,Investment,23,"Dairy Person,Investment,23"
Accounts Payable Clerk,Processed Foods,25,"Accounts Payable Clerk,Processed Foods,25"
Baker,Dairy,17,"Baker,Dairy,17"
"Exec Assistant, VP Stores",Accounts Receiveable,21,"Exec Assistant, VP Stores,Accounts Receiveable,21"
Bakery Manager,Labor Relations,18,"Bakery Manager,Labor Relations,18"
CHief Information Officer,Executive,23,"CHief Information Officer,Executive,23"
"Exec Assistant, Legal Counsel",Legal,26,"Exec Assistant, Legal Counsel,Legal,26"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
Dairy Person,Dairy,24,"Dairy Person,Dairy,24"
CHief Information Officer,Executive,26,"CHief Information Officer,Executive,26"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Dairy Person,Investment,25,"Dairy Person,Investment,25"
"Exec Assistant, Finance",Legal,21,"Exec Assistant, Finance,Legal,21"
Trainer,Dairy,25,"Trainer,Dairy,25"
Dairy Person,Bakery,23,"Dairy Person,Bakery,23"
Meat Cutter,Bakery,15,"Meat Cutter,Bakery,15"
Baker,Dairy,16,"Baker,Dairy,16"
"Director, Accounting",Compensation,4,"Director, Accounting,Compensation,4"
"Exec Assistant, Legal Counsel",Recruitment,24,"Exec Assistant, Legal Counsel,Recruitment,24"
HRIS Analyst,Bakery,24,"HRIS Analyst,Bakery,24"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Customer Service Manager,Bakery,23,"Customer Service Manager,Bakery,23"
"Director, Accounts Payable",Produce,25,"Director, Accounts Payable,Produce,25"
Produce Clerk,Produce,25,"Produce Clerk,Produce,25"
Baker,Accounting,22,"Baker,Accounting,22"
Processed Foods Manager,Produce,22,"Processed Foods Manager,Produce,22"
Accounts Payable Clerk,Investment,25,"Accounts Payable Clerk,Investment,25"
Shelf Stocker,Compensation,7,"Shelf Stocker,Compensation,7"
Investment Analyst,Processed Foods,21,"Investment Analyst,Processed Foods,21"
Accounting Clerk,Legal,23,"Accounting Clerk,Legal,23"
Accounts Receiveable Clerk,Accounts Payable,25,"Accounts Receiveable Clerk,Accounts Payable,25"
Shelf Stocker,Processed Foods,15,"Shelf Stocker,Processed Foods,15"
Baker,Employee Records,20,"Baker,Employee Records,20"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
"Director, Audit",Bakery,24,"Director, Audit,Bakery,24"
"Director, Accounts Receivable",Bakery,24,"Director, Accounts Receivable,Bakery,24"
Trainer,Bakery,22,"Trainer,Bakery,22"
Baker,Bakery,19,"Baker,Bakery,19"
Labor Relations Analyst,Meats,16,"Labor Relations Analyst,Meats,16"
"Exec Assistant, Legal Counsel",Executive,14,"Exec Assistant, Legal Counsel,Executive,14"
Meat Cutter,Recruitment,19,"Meat Cutter,Recruitment,19"
"Exec Assistant, VP Stores",Executive,23,"Exec Assistant, VP Stores,Executive,23"
Shelf Stocker,Processed Foods,12,"Shelf Stocker,Processed Foods,12"
"Director, Recruitment",Compensation,19,"Director, Recruitment,Compensation,19"
CEO,Executive,19,"CEO,Executive,19"
Produce Clerk,Dairy,11,"Produce Clerk,Dairy,11"
Baker,Processed Foods,19,"Baker,Processed Foods,19"
Meats Manager,Meats,21,"Meats Manager,Meats,21"
Shelf Stocker,Customer Service,16,"Shelf Stocker,Customer Service,16"
Accounts Receiveable Clerk,Audit,23,"Accounts Receiveable Clerk,Audit,23"
Meats Manager,Executive,26,"Meats Manager,Executive,26"
Meat Cutter,Bakery,10,"Meat Cutter,Bakery,10"
Labor Relations Analyst,Dairy,12,"Labor Relations Analyst,Dairy,12"
Baker,Employee Records,25,"Baker,Employee Records,25"
Shelf Stocker,Processed Foods,25,"Shelf Stocker,Processed Foods,25"
Dairy Person,Bakery,25,"Dairy Person,Bakery,25"
Produce Manager,Meats,26,"Produce Manager,Meats,26"
Dairy Person,Customer Service,18,"Dairy Person,Customer Service,18"
"Exec Assistant, Legal Counsel",Executive,12,"Exec Assistant, Legal Counsel,Executive,12"
Meat Cutter,HR Technology,25,"Meat Cutter,HR Technology,25"
Dairy Person,Produce,13,"Dairy Person,Produce,13"
"Exec Assistant, Human Resources",Meats,26,"Exec Assistant, Human Resources,Meats,26"
Shelf Stocker,Investment,9,"Shelf Stocker,Investment,9"
Processed Foods Manager,Labor Relations,20,"Processed Foods Manager,Labor Relations,20"
HRIS Analyst,Audit,15,"HRIS Analyst,Audit,15"
Bakery Manager,Legal,14,"Bakery Manager,Legal,14"
VP Stores,Store Management,24,"VP Stores,Store Management,24"
Meat Cutter,Processed Foods,6,"Meat Cutter,Processed Foods,6"
Processed Foods Manager,Bakery,21,"Processed Foods Manager,Bakery,21"
Meat Cutter,Accounts Payable,26,"Meat Cutter,Accounts Payable,26"
Dairy Manager,Produce,18,"Dairy Manager,Produce,18"
Bakery Manager,Legal,16,"Bakery Manager,Legal,16"
CHief Information Officer,Executive,20,"CHief Information Officer,Executive,20"
"Exec Assistant, VP Stores",Bakery,23,"Exec Assistant, VP Stores,Bakery,23"
Meat Cutter,Compensation,25,"Meat Cutter,Compensation,25"
Produce Manager,Store Management,23,"Produce Manager,Store Management,23"
Cashier,Customer Service,17,"Cashier,Customer Service,17"
"Director, HR Technology",Accounts Receiveable,17,"Director, HR Technology,Accounts Receiveable,17"
Legal Counsel,Produce,26,"Legal Counsel,Produce,26"
"Director, Accounts Payable",Executive,22,"Director, Accounts Payable,Executive,22"
Customer Service Manager,Audit,24,"Customer Service Manager,Audit,24"
Baker,Accounting,17,"Baker,Accounting,17"
HRIS Analyst,Accounts Payable,24,"HRIS Analyst,Accounts Payable,24"
Systems Analyst,Produce,23,"Systems Analyst,Produce,23"
Benefits Admin,Processed Foods,25,"Benefits Admin,Processed Foods,25"
"Director, Recruitment",Bakery,18,"Director, Recruitment,Bakery,18"
Produce Manager,Dairy,22,"Produce Manager,Dairy,22"
Meat Cutter,Produce,22,"Meat Cutter,Produce,22"
Produce Clerk,Dairy,5,"Produce Clerk,Dairy,5"
Produce Manager,Audit,16,"Produce Manager,Audit,16"
Accounts Payable Clerk,Meats,23,"Accounts Payable Clerk,Meats,23"
Dairy Person,Recruitment,22,"Dairy Person,Recruitment,22"
Shelf Stocker,Customer Service,10,"Shelf Stocker,Customer Service,10"
Cashier,Bakery,22,"Cashier,Bakery,22"
"Director, Accounts Payable",Legal,26,"Director, Accounts Payable,Legal,26"
"Director, Recruitment",Executive,21,"Director, Recruitment,Executive,21"
Compensation Analyst,Processed Foods,22,"Compensation Analyst,Processed Foods,22"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Bakery Manager,Executive,25,"Bakery Manager,Executive,25"
Accounts Receiveable Clerk,Processed Foods,19,"Accounts Receiveable Clerk,Processed Foods,19"
Meats Manager,Executive,26,"Meats Manager,Executive,26"
Shelf Stocker,Processed Foods,11,"Shelf Stocker,Processed Foods,11"
Processed Foods Manager,Accounts Payable,22,"Processed Foods Manager,Accounts Payable,22"
Cashier,Accounting,15,"Cashier,Accounting,15"
Cashier,Customer Service,7,"Cashier,Customer Service,7"
Produce Clerk,Customer Service,9,"Produce Clerk,Customer Service,9"
