transaction_amount,merchant_name,date,transaction_details
1916.76,Fernandez-Vasquez,2023-05-18,"1916.76,Fernandez-Vasquez,2023-05-18"
2415.38,Middleton PLC,2023-10-08,"2415.38,Middleton PLC,2023-10-08"
183.38,Flores Ltd,2023-09-28,"183.38,Flores Ltd,2023-09-28"
25.12,Pierce LLC,2023-09-27,"25.12,Pierce LLC,2023-09-27"
1979.3,Baker-Brown,2023-05-04,"1979.3,Baker-Brown,2023-05-04"
315.26,Chapman-Mitchell,2023-02-26,"315.26,Chapman-Mitchell,2023-02-26"
125.03,"Young, Martinez and Swanson",2023-02-23,"125.03,Young, Martinez and Swanson,2023-02-23"
1445.61,Ortiz-Barnes,2023-03-08,"1445.61,Ortiz-Barnes,2023-03-08"
169.27,Dunn-Thomas,2023-04-01,"169.27,Dunn-Thomas,2023-04-01"
30.75,Holland Ltd,2023-08-12,"30.75,Holland Ltd,2023-08-12"
187.69,"Pitts, Drake and Blair",2023-06-24,"187.69,Pitts, Drake and Blair,2023-06-24"
68.32,"Tucker, Kelly and Cook",2023-03-01,"68.32,Tucker, Kelly and Cook,2023-03-01"
561.43,"Savage, Torres and Reese",2023-07-14,"561.43,Savage, Torres and Reese,2023-07-14"
976.17,Butler Inc,2023-07-19,"976.17,Butler Inc,2023-07-19"
47.54,Miller-Wu,2023-06-22,"47.54,Miller-Wu,2023-06-22"
44.66,Sanchez-Wall,2023-06-27,"44.66,Sanchez-Wall,2023-06-27"
2553.24,Molina and Sons,2023-07-30,"2553.24,Molina and Sons,2023-07-30"
448.58,"Figueroa, Rice and Gonzalez",2023-04-16,"448.58,Figueroa, Rice and Gonzalez,2023-04-16"
1300.29,"Taylor, Jones and Thomas",2023-04-05,"1300.29,Taylor, Jones and Thomas,2023-04-05"
110.58,"Brown, Taylor and Hayes",2023-08-04,"110.58,Brown, Taylor and Hayes,2023-08-04"
381.13,Hammond Group,2023-09-13,"381.13,Hammond Group,2023-09-13"
68.25,Butler-Walker,2023-01-08,"68.25,Butler-Walker,2023-01-08"
105.57,Mcguire-Myers,2023-04-22,"105.57,Mcguire-Myers,2023-04-22"
93.14,"Parker, Harris and Johnson",2023-05-04,"93.14,Parker, Harris and Johnson,2023-05-04"
127.15,Stanley Ltd,2023-02-08,"127.15,Stanley Ltd,2023-02-08"
153.79,"Ibarra, Beard and Alvarez",2023-07-28,"153.79,Ibarra, Beard and Alvarez,2023-07-28"
306.82,Lyons Group,2023-03-02,"306.82,Lyons Group,2023-03-02"
166.51,"Brock, Aguilar and Morgan",2023-07-27,"166.51,Brock, Aguilar and Morgan,2023-07-27"
62.78,Savage and Sons,2023-02-23,"62.78,Savage and Sons,2023-02-23"
38.64,Coleman-Gomez,2023-01-25,"38.64,Coleman-Gomez,2023-01-25"
2471.13,"Figueroa, Johnson and Mendez",2023-05-19,"2471.13,Figueroa, Johnson and Mendez,2023-05-19"
88.42,"Roberts, Huang and Jackson",2023-01-16,"88.42,Roberts, Huang and Jackson,2023-01-16"
56.75,Lawson-Cooper,2023-02-26,"56.75,Lawson-Cooper,2023-02-26"
592.05,"Avila, Wilson and Shaw",2023-08-07,"592.05,Avila, Wilson and Shaw,2023-08-07"
1274.07,Murillo-Miller,2023-05-27,"1274.07,Murillo-Miller,2023-05-27"
92.53,Holt-Li,2023-07-20,"92.53,Holt-Li,2023-07-20"
58.79,Wright-Jenkins,2023-07-24,"58.79,Wright-Jenkins,2023-07-24"
152.06,Vargas-Wiggins,2023-01-12,"152.06,Vargas-Wiggins,2023-01-12"
186.84,Luna and Sons,2023-09-07,"186.84,Luna and Sons,2023-09-07"
62.76,"Jimenez, Morse and Mcdowell",2023-07-22,"62.76,Jimenez, Morse and Mcdowell,2023-07-22"
201.1,Bates-Nelson,2023-06-02,"201.1,Bates-Nelson,2023-06-02"
2123.35,Swanson-Lucas,2023-08-06,"2123.35,Swanson-Lucas,2023-08-06"
2143.94,"Huang, Murray and Smith",2023-04-16,"2143.94,Huang, Murray and Smith,2023-04-16"
682.6,"Garcia, Edwards and Barnes",2023-05-21,"682.6,Garcia, Edwards and Barnes,2023-05-21"
518.31,Douglas-Reeves,2023-05-05,"518.31,Douglas-Reeves,2023-05-05"
256.31,Pierce-Moore,2023-05-26,"256.31,Pierce-Moore,2023-05-26"
99.64,Rhodes-Baldwin,2023-04-07,"99.64,Rhodes-Baldwin,2023-04-07"
78.17,Cook-Smith,2023-07-24,"78.17,Cook-Smith,2023-07-24"
103.78,Collins-Hill,2023-01-21,"103.78,Collins-Hill,2023-01-21"
196.6,"Reyes, Brown and Gonzalez",2023-03-06,"196.6,Reyes, Brown and Gonzalez,2023-03-06"
47.77,"Romero, Scott and Tran",2023-07-14,"47.77,Romero, Scott and Tran,2023-07-14"
264.14,Jennings-Fowler,2023-04-18,"264.14,Jennings-Fowler,2023-04-18"
62.49,"Smith, Baker and Francis",2023-10-01,"62.49,Smith, Baker and Francis,2023-10-01"
230.15,Dunlap and Sons,2023-09-11,"230.15,Dunlap and Sons,2023-09-11"
208.13,"Foster, Terry and Bridges",2023-03-30,"208.13,Foster, Terry and Bridges,2023-03-30"
532.38,"Mason, Cameron and Watson",2023-02-11,"532.38,Mason, Cameron and Watson,2023-02-11"
181.22,Decker-Morris,2023-06-25,"181.22,Decker-Morris,2023-06-25"
2943.48,Crawford-Smith,2023-10-03,"2943.48,Crawford-Smith,2023-10-03"
126.85,"Sherman, Brewer and Olson",2023-05-23,"126.85,Sherman, Brewer and Olson,2023-05-23"
237.75,"Myers, Hogan and Leblanc",2023-02-14,"237.75,Myers, Hogan and Leblanc,2023-02-14"
2876.31,Lopez and Sons,2023-10-12,"2876.31,Lopez and Sons,2023-10-12"
192.63,Holloway-Fuller,2023-10-08,"192.63,Holloway-Fuller,2023-10-08"
267.56,Allen PLC,2023-07-01,"267.56,Allen PLC,2023-07-01"
176.96,"Cruz, Francis and Herrera",2023-03-16,"176.96,Cruz, Francis and Herrera,2023-03-16"
283.62,"Park, Ward and Mata",2023-08-16,"283.62,Park, Ward and Mata,2023-08-16"
1757.12,"Williams, Ray and Carey",2023-01-01,"1757.12,Williams, Ray and Carey,2023-01-01"
35.47,Reid-Moore,2023-03-08,"35.47,Reid-Moore,2023-03-08"
645.38,Roy Group,2023-07-16,"645.38,Roy Group,2023-07-16"
30.51,Ruiz and Sons,2023-07-25,"30.51,Ruiz and Sons,2023-07-25"
138.83,Kirk and Sons,2023-09-24,"138.83,Kirk and Sons,2023-09-24"
474.78,Parker-Simon,2023-03-11,"474.78,Parker-Simon,2023-03-11"
103.22,Mitchell and Sons,2023-08-18,"103.22,Mitchell and Sons,2023-08-18"
97.33,Cordova Inc,2023-08-14,"97.33,Cordova Inc,2023-08-14"
26.97,Church-Melton,2023-06-15,"26.97,Church-Melton,2023-06-15"
218.9,Jones-Parker,2023-09-01,"218.9,Jones-Parker,2023-09-01"
72.88,"Brown, Horton and Thompson",2023-09-14,"72.88,Brown, Horton and Thompson,2023-09-14"
232.78,Moore-Figueroa,2023-07-28,"232.78,Moore-Figueroa,2023-07-28"
37.46,Bowman-Palmer,2023-08-29,"37.46,Bowman-Palmer,2023-08-29"
12.81,"Russell, Bailey and Johnson",2023-07-11,"12.81,Russell, Bailey and Johnson,2023-07-11"
288.75,"Weber, Wilkinson and Duncan",2023-08-20,"288.75,Weber, Wilkinson and Duncan,2023-08-20"
50.64,Lopez and Sons,2023-02-23,"50.64,Lopez and Sons,2023-02-23"
76.2,Taylor-Kelly,2023-02-14,"76.2,Taylor-Kelly,2023-02-14"
122.58,"Fuentes, Adams and Mayer",2023-02-06,"122.58,Fuentes, Adams and Mayer,2023-02-06"
507.55,"Walter, Ramirez and Hammond",2023-04-01,"507.55,Walter, Ramirez and Hammond,2023-04-01"
2511.2,Robertson-Vasquez,2023-06-29,"2511.2,Robertson-Vasquez,2023-06-29"
37.97,Ellis PLC,2023-04-22,"37.97,Ellis PLC,2023-04-22"
80.7,Garcia Ltd,2023-03-26,"80.7,Garcia Ltd,2023-03-26"
44.22,Brown-Mccormick,2023-05-31,"44.22,Brown-Mccormick,2023-05-31"
533.24,Lopez LLC,2023-10-06,"533.24,Lopez LLC,2023-10-06"
79.98,Mitchell-Williams,2023-09-29,"79.98,Mitchell-Williams,2023-09-29"
2590.57,Cooke LLC,2023-08-12,"2590.57,Cooke LLC,2023-08-12"
60.45,Quinn-Hughes,2023-04-13,"60.45,Quinn-Hughes,2023-04-13"
1602.6,Cunningham-Oconnor,2023-09-18,"1602.6,Cunningham-Oconnor,2023-09-18"
53.57,"Parker, Watson and Charles",2023-10-11,"53.57,Parker, Watson and Charles,2023-10-11"
427.55,York Inc,2023-04-04,"427.55,York Inc,2023-04-04"
140.34,Jones LLC,2023-06-22,"140.34,Jones LLC,2023-06-22"
47.66,"Costa, Collins and Lynch",2023-03-23,"47.66,Costa, Collins and Lynch,2023-03-23"
94.36,Roth-Maldonado,2023-06-08,"94.36,Roth-Maldonado,2023-06-08"
181.81,"Chavez, Wright and Delgado",2023-07-26,"181.81,Chavez, Wright and Delgado,2023-07-26"
183.75,Reynolds PLC,2023-07-05,"183.75,Reynolds PLC,2023-07-05"
110.09,Lyons Group,2023-07-30,"110.09,Lyons Group,2023-07-30"
83.72,"Curtis, Little and Martin",2023-03-18,"83.72,Curtis, Little and Martin,2023-03-18"
2757.59,Wu Inc,2023-01-26,"2757.59,Wu Inc,2023-01-26"
381.58,"Barnett, Richard and Roberts",2023-03-17,"381.58,Barnett, Richard and Roberts,2023-03-17"
87.3,Smith Group,2023-04-09,"87.3,Smith Group,2023-04-09"
13.82,Vasquez-Moss,2023-05-28,"13.82,Vasquez-Moss,2023-05-28"
195.26,Vega Group,2023-10-02,"195.26,Vega Group,2023-10-02"
93.19,"Mcintosh, Lloyd and Finley",2023-02-17,"93.19,Mcintosh, Lloyd and Finley,2023-02-17"
84.14,Richardson Group,2023-05-04,"84.14,Richardson Group,2023-05-04"
202.1,Ruiz LLC,2023-08-25,"202.1,Ruiz LLC,2023-08-25"
291.49,Austin and Sons,2023-09-18,"291.49,Austin and Sons,2023-09-18"
874.88,Griffith Group,2023-10-02,"874.88,Griffith Group,2023-10-02"
759.35,Cox-Cohen,2023-02-05,"759.35,Cox-Cohen,2023-02-05"
83.92,Stanley and Sons,2023-07-22,"83.92,Stanley and Sons,2023-07-22"
143.32,Dunn LLC,2023-06-20,"143.32,Dunn LLC,2023-06-20"
248.41,Santiago Group,2023-07-31,"248.41,Santiago Group,2023-07-31"
254.48,Long PLC,2023-01-05,"254.48,Long PLC,2023-01-05"
98.63,Johnson-Doyle,2023-01-15,"98.63,Johnson-Doyle,2023-01-15"
2150.84,"Guzman, Jones and Moreno",2023-06-27,"2150.84,Guzman, Jones and Moreno,2023-06-27"
756.76,Gutierrez-Russo,2023-03-03,"756.76,Gutierrez-Russo,2023-03-03"
2351.28,Bradley LLC,2023-10-03,"2351.28,Bradley LLC,2023-10-03"
238.64,Jones Inc,2023-09-27,"238.64,Jones Inc,2023-09-27"
632.51,"Curry, Williams and Bennett",2023-07-22,"632.51,Curry, Williams and Bennett,2023-07-22"
573.92,Martinez LLC,2023-01-07,"573.92,Martinez LLC,2023-01-07"
505.42,Morris-Cole,2023-08-18,"505.42,Morris-Cole,2023-08-18"
66.91,"Dougherty, Anderson and Dennis",2023-06-26,"66.91,Dougherty, Anderson and Dennis,2023-06-26"
193.27,Jenkins-Ryan,2023-06-02,"193.27,Jenkins-Ryan,2023-06-02"
165.41,Moore-Cruz,2023-06-25,"165.41,Moore-Cruz,2023-06-25"
52.85,Duncan and Sons,2023-01-21,"52.85,Duncan and Sons,2023-01-21"
192.04,"Cooke, Jennings and Rodriguez",2023-04-12,"192.04,Cooke, Jennings and Rodriguez,2023-04-12"
194.5,Ray and Sons,2023-07-15,"194.5,Ray and Sons,2023-07-15"
1054.12,"Hurst, Krueger and Ellis",2023-06-12,"1054.12,Hurst, Krueger and Ellis,2023-06-12"
1323.55,Miles-Hart,2023-08-17,"1323.55,Miles-Hart,2023-08-17"
126.75,Salazar Group,2023-06-18,"126.75,Salazar Group,2023-06-18"
835.29,"Ward, Chavez and Morales",2023-04-24,"835.29,Ward, Chavez and Morales,2023-04-24"
30.75,Williams-Carney,2023-06-06,"30.75,Williams-Carney,2023-06-06"
122.12,"Sullivan, Haynes and Benson",2023-03-31,"122.12,Sullivan, Haynes and Benson,2023-03-31"
89.89,"Jensen, Carr and Johnson",2023-08-13,"89.89,Jensen, Carr and Johnson,2023-08-13"
51.62,Jacobson Group,2023-05-07,"51.62,Jacobson Group,2023-05-07"
432.94,Jones Inc,2023-07-12,"432.94,Jones Inc,2023-07-12"
86.11,"Potter, Fitzgerald and Collins",2023-04-18,"86.11,Potter, Fitzgerald and Collins,2023-04-18"
90.78,"Jones, Hawkins and Wells",2023-06-13,"90.78,Jones, Hawkins and Wells,2023-06-13"
130.25,Sharp Ltd,2023-09-01,"130.25,Sharp Ltd,2023-09-01"
97.59,Bailey LLC,2023-01-02,"97.59,Bailey LLC,2023-01-02"
143.16,"Werner, Garza and Hernandez",2023-03-14,"143.16,Werner, Garza and Hernandez,2023-03-14"
12.67,Martinez LLC,2023-06-29,"12.67,Martinez LLC,2023-06-29"
168.72,Preston and Sons,2023-03-27,"168.72,Preston and Sons,2023-03-27"
642.29,Lopez-Floyd,2023-04-08,"642.29,Lopez-Floyd,2023-04-08"
192.62,Pacheco-Rangel,2023-02-05,"192.62,Pacheco-Rangel,2023-02-05"
1064.3,Ballard-Watson,2023-03-22,"1064.3,Ballard-Watson,2023-03-22"
400.75,Christensen Inc,2023-09-30,"400.75,Christensen Inc,2023-09-30"
211.46,"Nicholson, Pierce and Gordon",2023-07-16,"211.46,Nicholson, Pierce and Gordon,2023-07-16"
63.09,"Porter, Robbins and Anderson",2023-04-09,"63.09,Porter, Robbins and Anderson,2023-04-09"
1324.77,"Adams, Durham and Williams",2023-01-10,"1324.77,Adams, Durham and Williams,2023-01-10"
355.24,Stafford PLC,2023-01-07,"355.24,Stafford PLC,2023-01-07"
1038.1,"Yang, Johnston and Martin",2023-09-29,"1038.1,Yang, Johnston and Martin,2023-09-29"
143.67,"Ortiz, Chambers and Long",2023-06-25,"143.67,Ortiz, Chambers and Long,2023-06-25"
861.02,"Williams, Payne and Harrington",2023-04-18,"861.02,Williams, Payne and Harrington,2023-04-18"
444.14,Mcbride-Patel,2023-02-04,"444.14,Mcbride-Patel,2023-02-04"
57.99,"Barber, Maddox and Jackson",2023-03-29,"57.99,Barber, Maddox and Jackson,2023-03-29"
26.38,"Peterson, Adams and Jones",2023-03-18,"26.38,Peterson, Adams and Jones,2023-03-18"
71.93,"Norris, Nelson and Hernandez",2023-07-27,"71.93,Norris, Nelson and Hernandez,2023-07-27"
51.11,Ortiz Ltd,2023-10-10,"51.11,Ortiz Ltd,2023-10-10"
486.19,"Hernandez, Holmes and Campbell",2023-05-19,"486.19,Hernandez, Holmes and Campbell,2023-05-19"
21.49,Perry-Henry,2023-08-28,"21.49,Perry-Henry,2023-08-28"
114.74,Jones-Clarke,2023-01-06,"114.74,Jones-Clarke,2023-01-06"
139.88,Hicks-Williams,2023-03-28,"139.88,Hicks-Williams,2023-03-28"
857.03,Best-Gibbs,2023-06-07,"857.03,Best-Gibbs,2023-06-07"
865.84,Hicks Group,2023-08-31,"865.84,Hicks Group,2023-08-31"
28.68,Mack Group,2023-05-10,"28.68,Mack Group,2023-05-10"
228.04,Wood-Sutton,2023-01-14,"228.04,Wood-Sutton,2023-01-14"
238.91,"Johnson, Garcia and Brown",2023-06-19,"238.91,Johnson, Garcia and Brown,2023-06-19"
41.78,Wells-Johnson,2023-01-09,"41.78,Wells-Johnson,2023-01-09"
69.18,"King, Hernandez and Leonard",2023-07-26,"69.18,King, Hernandez and Leonard,2023-07-26"
191.58,Park PLC,2023-01-04,"191.58,Park PLC,2023-01-04"
175.86,Bell-Pearson,2023-05-27,"175.86,Bell-Pearson,2023-05-27"
410.77,Henderson-Martinez,2023-06-30,"410.77,Henderson-Martinez,2023-06-30"
109.38,Lopez-Frazier,2023-05-18,"109.38,Lopez-Frazier,2023-05-18"
643.12,King Ltd,2023-03-17,"643.12,King Ltd,2023-03-17"
1638.51,"Ortega, Ballard and James",2023-06-24,"1638.51,Ortega, Ballard and James,2023-06-24"
1984.72,Payne LLC,2023-10-11,"1984.72,Payne LLC,2023-10-11"
353.45,Howard Group,2023-02-10,"353.45,Howard Group,2023-02-10"
1887.04,Macias-Kelly,2023-06-14,"1887.04,Macias-Kelly,2023-06-14"
287.95,Blankenship Ltd,2023-05-29,"287.95,Blankenship Ltd,2023-05-29"
61.05,Stevens-Davis,2023-09-03,"61.05,Stevens-Davis,2023-09-03"
83.39,Swanson-Estes,2023-05-14,"83.39,Swanson-Estes,2023-05-14"
348.86,"Nicholson, Black and Frye",2023-04-05,"348.86,Nicholson, Black and Frye,2023-04-05"
50.12,"Peck, Schneider and Baker",2023-03-31,"50.12,Peck, Schneider and Baker,2023-03-31"
54.81,Jackson-Burns,2023-08-08,"54.81,Jackson-Burns,2023-08-08"
185.0,Walker Inc,2023-04-23,"185.0,Walker Inc,2023-04-23"
28.36,"Mayo, Hull and Long",2023-07-03,"28.36,Mayo, Hull and Long,2023-07-03"
1891.42,Taylor-Martinez,2023-06-20,"1891.42,Taylor-Martinez,2023-06-20"
683.96,"Hunt, West and Miller",2023-09-13,"683.96,Hunt, West and Miller,2023-09-13"
69.47,Wallace PLC,2023-06-10,"69.47,Wallace PLC,2023-06-10"
230.35,"Anderson, Howard and Ramos",2023-10-03,"230.35,Anderson, Howard and Ramos,2023-10-03"
186.89,Alvarez-Becker,2023-01-16,"186.89,Alvarez-Becker,2023-01-16"
875.45,Jones-Villarreal,2023-01-20,"875.45,Jones-Villarreal,2023-01-20"
1832.63,"Alvarez, Garcia and Robinson",2023-04-22,"1832.63,Alvarez, Garcia and Robinson,2023-04-22"
148.23,Stevens PLC,2023-03-22,"148.23,Stevens PLC,2023-03-22"
23.62,Foster Group,2023-09-22,"23.62,Foster Group,2023-09-22"
340.61,Landry-Case,2023-10-07,"340.61,Landry-Case,2023-10-07"
100.47,Marquez LLC,2023-05-31,"100.47,Marquez LLC,2023-05-31"
921.26,"Jones, Blair and Graves",2023-09-17,"921.26,Jones, Blair and Graves,2023-09-17"
2091.89,Tran and Sons,2023-10-01,"2091.89,Tran and Sons,2023-10-01"
14.42,Mitchell Inc,2023-09-25,"14.42,Mitchell Inc,2023-09-25"
62.68,Foster-Anderson,2023-08-08,"62.68,Foster-Anderson,2023-08-08"
2832.53,Aguilar-Tucker,2023-03-17,"2832.53,Aguilar-Tucker,2023-03-17"
87.61,Gibbs-Vega,2023-08-28,"87.61,Gibbs-Vega,2023-08-28"
235.56,"Gutierrez, Jimenez and Gonzalez",2023-05-23,"235.56,Gutierrez, Jimenez and Gonzalez,2023-05-23"
552.59,"Patterson, Rios and Jackson",2023-01-27,"552.59,Patterson, Rios and Jackson,2023-01-27"
27.76,Barnes PLC,2023-10-10,"27.76,Barnes PLC,2023-10-10"
206.97,"Ford, Anderson and Mcfarland",2023-10-02,"206.97,Ford, Anderson and Mcfarland,2023-10-02"
749.54,Goodman-Pacheco,2023-07-14,"749.54,Goodman-Pacheco,2023-07-14"
2551.78,"Vazquez, Jackson and Mclaughlin",2023-06-01,"2551.78,Vazquez, Jackson and Mclaughlin,2023-06-01"
186.76,"Smith, Watson and Humphrey",2023-04-20,"186.76,Smith, Watson and Humphrey,2023-04-20"
480.24,"Johnson, Johnson and Mitchell",2023-02-03,"480.24,Johnson, Johnson and Mitchell,2023-02-03"
21.28,Frazier-Hoffman,2023-07-31,"21.28,Frazier-Hoffman,2023-07-31"
