country,rank,year,passport_info
Grenada,30,2021,"Grenada,30,2021"
Romania,15,2020,"Romania,15,2020"
Sudan,93,2012,"Sudan,93,2012"
Afghanistan,113,2009,"Afghanistan,113,2009"
Iraq,113,2017,"Iraq,113,2017"
Laos,92,2022,"Laos,92,2022"
South Sudan,81,2015,"South Sudan,81,2015"
Uzbekistan,79,2009,"Uzbekistan,79,2009"
Croatia,18,2022,"Croatia,18,2022"
Benin,83,2022,"Benin,83,2022"
Maldives,50,2016,"Maldives,50,2016"
Guinea-Bissau,72,2011,"Guinea-Bissau,72,2011"
Jamaica,71,2019,"Jamaica,71,2019"
Malawi,73,2006,"Malawi,73,2006"
Japan,4,2009,"Japan,4,2009"
Myanmar,91,2018,"Myanmar,91,2018"
Liechtenstein,19,2017,"Liechtenstein,19,2017"
Ukraine,30,2021,"Ukraine,30,2021"
Zimbabwe,64,2010,"Zimbabwe,64,2010"
Mauritius,12,2019,"Mauritius,12,2019"
Romania,7,2018,"Romania,7,2018"
Namibia,63,2015,"Namibia,63,2015"
Liberia,82,2020,"Liberia,82,2020"
Lesotho,73,2020,"Lesotho,73,2020"
Guinea-Bissau,78,2018,"Guinea-Bissau,78,2018"
Sudan,98,2020,"Sudan,98,2020"
Cape Verde Islands,83,2017,"Cape Verde Islands,83,2017"
Gabon,84,2019,"Gabon,84,2019"
Germany,3,2008,"Germany,3,2008"
Qatar,45,2008,"Qatar,45,2008"
Italy,5,2007,"Italy,5,2007"
Guinea-Bissau,89,2012,"Guinea-Bissau,89,2012"
Colombia,64,2016,"Colombia,64,2016"
Croatia,10,2012,"Croatia,10,2012"
United Arab Emirates,8,2010,"United Arab Emirates,8,2010"
Gabon,82,2015,"Gabon,82,2015"
St. Vincent and the Grenadines,20,2022,"St. Vincent and the Grenadines,20,2022"
Jamaica,64,2021,"Jamaica,64,2021"
Angola,91,2019,"Angola,91,2019"
Algeria,83,2012,"Algeria,83,2012"
Ethiopia,90,2021,"Ethiopia,90,2021"
Jamaica,67,2022,"Jamaica,67,2022"
Tuvalu,62,2011,"Tuvalu,62,2011"
Iceland,9,2015,"Iceland,9,2015"
South Africa,66,2011,"South Africa,66,2011"
San Marino,30,2015,"San Marino,30,2015"
United Arab Emirates,52,2017,"United Arab Emirates,52,2017"
United Arab Emirates,7,2016,"United Arab Emirates,7,2016"
Brunei,32,2018,"Brunei,32,2018"
Nauru,74,2010,"Nauru,74,2010"
Fiji,72,2007,"Fiji,72,2007"
Monaco,36,2010,"Monaco,36,2010"
Vatican City,13,2011,"Vatican City,13,2011"
China,68,2014,"China,68,2014"
Senegal,79,2021,"Senegal,79,2021"
Lithuania,31,2008,"Lithuania,31,2008"
Switzerland,4,2012,"Switzerland,4,2012"
Bhutan,77,2020,"Bhutan,77,2020"
Tanzania,77,2021,"Tanzania,77,2021"
Grenada,15,2021,"Grenada,15,2021"
Sweden,4,2007,"Sweden,4,2007"
Mauritius,43,2017,"Mauritius,43,2017"
Ireland,8,2015,"Ireland,8,2015"
St. Lucia,40,2018,"St. Lucia,40,2018"
China,46,2006,"China,46,2006"
Lesotho,68,2007,"Lesotho,68,2007"
Jordan,86,2017,"Jordan,86,2017"
Afghanistan,105,2011,"Afghanistan,105,2011"
Mauritius,9,2021,"Mauritius,9,2021"
Brazil,14,2021,"Brazil,14,2021"
Morocco,86,2018,"Morocco,86,2018"
Hungary,5,2006,"Hungary,5,2006"
Norway,7,2018,"Norway,7,2018"
Latvia,8,2015,"Latvia,8,2015"
Latvia,9,2014,"Latvia,9,2014"
Chad,75,2016,"Chad,75,2016"
Suriname,50,2007,"Suriname,50,2007"
Macao (SAR China),42,2011,"Macao (SAR China),42,2011"
North Korea,88,2018,"North Korea,88,2018"
Indonesia,70,2015,"Indonesia,70,2015"
Spain,3,2018,"Spain,3,2018"
Laos,79,2016,"Laos,79,2016"
Djibouti,93,2013,"Djibouti,93,2013"
Argentina,31,2014,"Argentina,31,2014"
Kyrgyzstan,67,2011,"Kyrgyzstan,67,2011"
St. Lucia,54,2018,"St. Lucia,54,2018"
Belgium,4,2012,"Belgium,4,2012"
Latvia,9,2016,"Latvia,9,2016"
Nicaragua,60,2012,"Nicaragua,60,2012"
Benin,72,2016,"Benin,72,2016"
Ecuador,77,2020,"Ecuador,77,2020"
Belarus,23,2006,"Belarus,23,2006"
Algeria,89,2011,"Algeria,89,2011"
Singapore,2,2015,"Singapore,2,2015"
St. Vincent and the Grenadines,46,2011,"St. Vincent and the Grenadines,46,2011"
Algeria,94,2012,"Algeria,94,2012"
Comoro Islands,75,2008,"Comoro Islands,75,2008"
Turkmenistan,89,2011,"Turkmenistan,89,2011"
Kosovo,91,2021,"Kosovo,91,2021"
St. Kitts and Nevis,44,2017,"St. Kitts and Nevis,44,2017"
Georgia,59,2012,"Georgia,59,2012"
Burkina Faso,74,2006,"Burkina Faso,74,2006"
Oman,46,2006,"Oman,46,2006"
eSwatini,83,2021,"eSwatini,83,2021"
Kuwait,38,2016,"Kuwait,38,2016"
Congo (Dem. Rep.),94,2013,"Congo (Dem. Rep.),94,2013"
Syria,98,2009,"Syria,98,2009"
Nicaragua,57,2011,"Nicaragua,57,2011"
United States,17,2010,"United States,17,2010"
Bahamas,30,2017,"Bahamas,30,2017"
Finland,5,2022,"Finland,5,2022"
Kenya,68,2014,"Kenya,68,2014"
Ethiopia,96,2020,"Ethiopia,96,2020"
Estonia,19,2006,"Estonia,19,2006"
Austria,5,2010,"Austria,5,2010"
Micronesia,73,2015,"Micronesia,73,2015"
Estonia,14,2019,"Estonia,14,2019"
Italy,3,2012,"Italy,3,2012"
Togo,85,2007,"Togo,85,2007"
Mauritania,82,2016,"Mauritania,82,2016"
Mauritius,45,2006,"Mauritius,45,2006"
Libya,100,2018,"Libya,100,2018"
Iceland,7,2006,"Iceland,7,2006"
Qatar,58,2014,"Qatar,58,2014"
Niger,83,2017,"Niger,83,2017"
Armenia,82,2014,"Armenia,82,2014"
St. Vincent and the Grenadines,18,2010,"St. Vincent and the Grenadines,18,2010"
Panama,19,2016,"Panama,19,2016"
Australia,4,2022,"Australia,4,2022"
Slovenia,18,2008,"Slovenia,18,2008"
Congo (Dem. Rep.),97,2016,"Congo (Dem. Rep.),97,2016"
Jordan,93,2015,"Jordan,93,2015"
Eritrea,102,2020,"Eritrea,102,2020"
Chad,72,2014,"Chad,72,2014"
Philippines,87,2012,"Philippines,87,2012"
Croatia,37,2011,"Croatia,37,2011"
Estonia,14,2018,"Estonia,14,2018"
Russian Federation,39,2012,"Russian Federation,39,2012"
Algeria,85,2017,"Algeria,85,2017"
Palestinian Territory,95,2017,"Palestinian Territory,95,2017"
Uganda,74,2020,"Uganda,74,2020"
Spain,4,2014,"Spain,4,2014"
Burkina Faso,67,2022,"Burkina Faso,67,2022"
Cambodia,75,2007,"Cambodia,75,2007"
Saudi Arabia,36,2007,"Saudi Arabia,36,2007"
Syria,105,2014,"Syria,105,2014"
Qatar,62,2010,"Qatar,62,2010"
Netherlands,6,2020,"Netherlands,6,2020"
Chile,23,2022,"Chile,23,2022"
Madagascar,75,2015,"Madagascar,75,2015"
Nicaragua,44,2021,"Nicaragua,44,2021"
Uruguay,51,2021,"Uruguay,51,2021"
New Zealand,17,2021,"New Zealand,17,2021"
Namibia,74,2018,"Namibia,74,2018"
Nepal,100,2011,"Nepal,100,2011"
Albania,68,2019,"Albania,68,2019"
Mozambique,71,2014,"Mozambique,71,2014"
Togo,62,2008,"Togo,62,2008"
Kuwait,28,2022,"Kuwait,28,2022"
Saudi Arabia,76,2021,"Saudi Arabia,76,2021"
Haiti,92,2018,"Haiti,92,2018"
Kosovo,97,2015,"Kosovo,97,2015"
Serbia,47,2012,"Serbia,47,2012"
Morocco,59,2008,"Morocco,59,2008"
Brunei,43,2018,"Brunei,43,2018"
Cuba,69,2009,"Cuba,69,2009"
New Zealand,33,2022,"New Zealand,33,2022"
United Kingdom,15,2018,"United Kingdom,15,2018"
Algeria,78,2010,"Algeria,78,2010"
The Gambia,56,2010,"The Gambia,56,2010"
Madagascar,74,2007,"Madagascar,74,2007"
Egypt,86,2015,"Egypt,86,2015"
Montenegro,20,2017,"Montenegro,20,2017"
Marshall Islands,52,2019,"Marshall Islands,52,2019"
Malaysia,14,2017,"Malaysia,14,2017"
Mexico,9,2009,"Mexico,9,2009"
Netherlands,3,2009,"Netherlands,3,2009"
Morocco,58,2009,"Morocco,58,2009"
New Zealand,5,2009,"New Zealand,5,2009"
Austria,4,2008,"Austria,4,2008"
Namibia,49,2007,"Namibia,49,2007"
Montenegro,36,2017,"Montenegro,36,2017"
Uganda,60,2007,"Uganda,60,2007"
Guyana,53,2011,"Guyana,53,2011"
Sierra Leone,77,2019,"Sierra Leone,77,2019"
Jordan,86,2016,"Jordan,86,2016"
Rwanda,79,2022,"Rwanda,79,2022"
Brazil,11,2014,"Brazil,11,2014"
Oman,66,2009,"Oman,66,2009"
United Arab Emirates,17,2016,"United Arab Emirates,17,2016"
eSwatini,63,2012,"eSwatini,63,2012"
Samoa,36,2008,"Samoa,36,2008"
Guyana,77,2008,"Guyana,77,2008"
Mauritania,80,2010,"Mauritania,80,2010"
Nauru,60,2014,"Nauru,60,2014"
Uganda,71,2007,"Uganda,71,2007"
Mali,96,2021,"Mali,96,2021"
Liberia,87,2010,"Liberia,87,2010"
China,78,2011,"China,78,2011"
Lesotho,68,2008,"Lesotho,68,2008"
Sri Lanka,97,2014,"Sri Lanka,97,2014"
China,77,2015,"China,77,2015"
Netherlands,3,2009,"Netherlands,3,2009"
Qatar,46,2010,"Qatar,46,2010"
Belize,40,2010,"Belize,40,2010"
eSwatini,66,2012,"eSwatini,66,2012"
Mongolia,81,2015,"Mongolia,81,2015"
Palau Islands,72,2020,"Palau Islands,72,2020"
Romania,22,2022,"Romania,22,2022"
Palau Islands,68,2018,"Palau Islands,68,2018"
Finland,5,2020,"Finland,5,2020"
Sri Lanka,97,2018,"Sri Lanka,97,2018"
Bosnia and Herzegovina,42,2019,"Bosnia and Herzegovina,42,2019"
Portugal,3,2022,"Portugal,3,2022"
Congo (Rep.),93,2019,"Congo (Rep.),93,2019"
Laos,85,2012,"Laos,85,2012"
Uruguay,24,2019,"Uruguay,24,2019"
Nepal,98,2013,"Nepal,98,2013"
Zimbabwe,75,2010,"Zimbabwe,75,2010"
New Zealand,6,2007,"New Zealand,6,2007"
Cote d'Ivoire,81,2021,"Cote d'Ivoire,81,2021"
Burundi,84,2020,"Burundi,84,2020"
Samoa,64,2007,"Samoa,64,2007"
Algeria,87,2006,"Algeria,87,2006"
Qatar,49,2009,"Qatar,49,2009"
Slovakia,13,2007,"Slovakia,13,2007"
Laos,72,2014,"Laos,72,2014"
Israel,29,2022,"Israel,29,2022"
Paraguay,50,2008,"Paraguay,50,2008"
Tanzania,69,2021,"Tanzania,69,2021"
Hungary,7,2007,"Hungary,7,2007"
Eritrea,100,2020,"Eritrea,100,2020"
Russian Federation,61,2017,"Russian Federation,61,2017"
Madagascar,81,2018,"Madagascar,81,2018"
Saudi Arabia,62,2021,"Saudi Arabia,62,2021"
Malta,4,2017,"Malta,4,2017"
Sudan,90,2022,"Sudan,90,2022"
Tanzania,64,2014,"Tanzania,64,2014"
Ecuador,52,2007,"Ecuador,52,2007"
Kazakhstan,74,2017,"Kazakhstan,74,2017"
Papua New Guinea,59,2020,"Papua New Guinea,59,2020"
Monaco,19,2020,"Monaco,19,2020"
North Macedonia,16,2014,"North Macedonia,16,2014"
Venezuela,56,2009,"Venezuela,56,2009"
Barbados,33,2016,"Barbados,33,2016"
Syria,102,2010,"Syria,102,2010"
Bolivia,51,2019,"Bolivia,51,2019"
Argentina,4,2009,"Argentina,4,2009"
Israel,43,2017,"Israel,43,2017"
eSwatini,59,2009,"eSwatini,59,2009"
Bhutan,85,2016,"Bhutan,85,2016"
Indonesia,69,2009,"Indonesia,69,2009"
Qatar,49,2013,"Qatar,49,2013"
Burkina Faso,71,2007,"Burkina Faso,71,2007"
Suriname,49,2019,"Suriname,49,2019"
Armenia,51,2012,"Armenia,51,2012"
Guyana,66,2013,"Guyana,66,2013"
Sudan,99,2021,"Sudan,99,2021"
Mozambique,62,2019,"Mozambique,62,2019"
Serbia,67,2013,"Serbia,67,2013"
Peru,50,2015,"Peru,50,2015"
Palestinian Territory,101,2018,"Palestinian Territory,101,2018"
Togo,98,2009,"Togo,98,2009"
Seychelles,25,2007,"Seychelles,25,2007"
Hungary,22,2019,"Hungary,22,2019"
Central African Republic,79,2010,"Central African Republic,79,2010"
Japan,1,2013,"Japan,1,2013"
Spain,3,2006,"Spain,3,2006"
Switzerland,19,2011,"Switzerland,19,2011"
Jordan,83,2013,"Jordan,83,2013"
Ireland,5,2007,"Ireland,5,2007"
Lebanon,99,2018,"Lebanon,99,2018"
Dominican Republic,63,2012,"Dominican Republic,63,2012"
Congo (Rep.),98,2016,"Congo (Rep.),98,2016"
Afghanistan,106,2017,"Afghanistan,106,2017"
Iraq,100,2017,"Iraq,100,2017"
Eritrea,95,2021,"Eritrea,95,2021"
Togo,67,2008,"Togo,67,2008"
Uruguay,25,2012,"Uruguay,25,2012"
India,73,2013,"India,73,2013"
Tanzania,80,2019,"Tanzania,80,2019"
St. Lucia,46,2017,"St. Lucia,46,2017"
Slovenia,16,2011,"Slovenia,16,2011"
Togo,81,2010,"Togo,81,2010"
Sweden,4,2020,"Sweden,4,2020"
Georgia,32,2010,"Georgia,32,2010"
Algeria,79,2020,"Algeria,79,2020"
Sri Lanka,98,2016,"Sri Lanka,98,2016"
Rwanda,85,2017,"Rwanda,85,2017"
The Gambia,72,2016,"The Gambia,72,2016"
Ethiopia,89,2015,"Ethiopia,89,2015"
Greece,10,2021,"Greece,10,2021"
China,52,2010,"China,52,2010"
Ecuador,56,2016,"Ecuador,56,2016"
Maldives,51,2020,"Maldives,51,2020"
Jordan,83,2014,"Jordan,83,2014"
Georgia,55,2016,"Georgia,55,2016"
Cote d'Ivoire,80,2010,"Cote d'Ivoire,80,2010"
Montenegro,49,2012,"Montenegro,49,2012"
Tanzania,83,2018,"Tanzania,83,2018"
South Sudan,92,2011,"South Sudan,92,2011"
Poland,9,2016,"Poland,9,2016"
Turkey,18,2010,"Turkey,18,2010"
Netherlands,3,2015,"Netherlands,3,2015"
Tanzania,72,2013,"Tanzania,72,2013"
Montenegro,49,2006,"Montenegro,49,2006"
Slovenia,14,2020,"Slovenia,14,2020"
Hungary,7,2021,"Hungary,7,2021"
New Zealand,6,2016,"New Zealand,6,2016"
Israel,31,2014,"Israel,31,2014"
Kazakhstan,71,2017,"Kazakhstan,71,2017"
Zimbabwe,76,2016,"Zimbabwe,76,2016"
Slovenia,14,2012,"Slovenia,14,2012"
Morocco,55,2010,"Morocco,55,2010"
South Africa,49,2007,"South Africa,49,2007"
North Korea,98,2010,"North Korea,98,2010"
Sweden,3,2016,"Sweden,3,2016"
France,7,2019,"France,7,2019"
Afghanistan,109,2007,"Afghanistan,109,2007"
South Korea,5,2017,"South Korea,5,2017"
Germany,2,2018,"Germany,2,2018"
Cote d'Ivoire,95,2016,"Cote d'Ivoire,95,2016"
Ethiopia,97,2018,"Ethiopia,97,2018"
Kosovo,87,2008,"Kosovo,87,2008"
France,6,2010,"France,6,2010"
Kazakhstan,67,2020,"Kazakhstan,67,2020"
Japan,1,2012,"Japan,1,2012"
Hong Kong (SAR China),42,2020,"Hong Kong (SAR China),42,2020"
Venezuela,42,2018,"Venezuela,42,2018"
Portugal,6,2017,"Portugal,6,2017"
Panama,64,2009,"Panama,64,2009"
Ethiopia,97,2015,"Ethiopia,97,2015"
Madagascar,90,2021,"Madagascar,90,2021"
Finland,1,2010,"Finland,1,2010"
Armenia,69,2014,"Armenia,69,2014"
Ghana,41,2010,"Ghana,41,2010"
Bahrain,38,2018,"Bahrain,38,2018"
Kyrgyzstan,61,2011,"Kyrgyzstan,61,2011"
Antigua and Barbuda,42,2009,"Antigua and Barbuda,42,2009"
Yemen,102,2022,"Yemen,102,2022"
Iran,94,2018,"Iran,94,2018"
San Marino,10,2014,"San Marino,10,2014"
Iraq,105,2020,"Iraq,105,2020"
Iceland,19,2015,"Iceland,19,2015"
Andorra,31,2018,"Andorra,31,2018"
Malta,28,2019,"Malta,28,2019"
Vatican City,31,2018,"Vatican City,31,2018"
Spain,7,2007,"Spain,7,2007"
Liechtenstein,11,2007,"Liechtenstein,11,2007"
Philippines,68,2011,"Philippines,68,2011"
Uganda,66,2006,"Uganda,66,2006"
Spain,4,2013,"Spain,4,2013"
Norway,4,2012,"Norway,4,2012"
Guinea,84,2019,"Guinea,84,2019"
Germany,4,2021,"Germany,4,2021"
Myanmar,82,2020,"Myanmar,82,2020"
Armenia,67,2018,"Armenia,67,2018"
Togo,71,2021,"Togo,71,2021"
Micronesia,67,2006,"Micronesia,67,2006"
Singapore,2,2019,"Singapore,2,2019"
Antigua and Barbuda,16,2013,"Antigua and Barbuda,16,2013"
Slovakia,10,2007,"Slovakia,10,2007"
Japan,1,2008,"Japan,1,2008"
Denmark,7,2007,"Denmark,7,2007"
Switzerland,12,2020,"Switzerland,12,2020"
Mauritius,47,2008,"Mauritius,47,2008"
France,4,2010,"France,4,2010"
Burkina Faso,89,2015,"Burkina Faso,89,2015"
France,4,2007,"France,4,2007"
Mali,75,2010,"Mali,75,2010"
Uzbekistan,80,2014,"Uzbekistan,80,2014"
Lesotho,46,2010,"Lesotho,46,2010"
Armenia,65,2011,"Armenia,65,2011"
Palestinian Territory,94,2015,"Palestinian Territory,94,2015"
Canada,9,2017,"Canada,9,2017"
Cyprus,18,2007,"Cyprus,18,2007"
Canada,25,2015,"Canada,25,2015"
Dominica,60,2011,"Dominica,60,2011"
Mozambique,82,2012,"Mozambique,82,2012"
Taiwan (Chinese Taipei),65,2022,"Taiwan (Chinese Taipei),65,2022"
Luxembourg,4,2018,"Luxembourg,4,2018"
Ghana,62,2015,"Ghana,62,2015"
Papua New Guinea,68,2010,"Papua New Guinea,68,2010"
Kosovo,92,2009,"Kosovo,92,2009"
Vietnam,83,2012,"Vietnam,83,2012"
Uruguay,72,2019,"Uruguay,72,2019"
Cuba,57,2008,"Cuba,57,2008"
Vietnam,83,2007,"Vietnam,83,2007"
Israel,12,2009,"Israel,12,2009"
Ireland,8,2007,"Ireland,8,2007"
New Zealand,4,2021,"New Zealand,4,2021"
Singapore,1,2013,"Singapore,1,2013"
Mexico,49,2018,"Mexico,49,2018"
Sierra Leone,82,2007,"Sierra Leone,82,2007"
Tunisia,84,2020,"Tunisia,84,2020"
Madagascar,59,2011,"Madagascar,59,2011"
Australia,7,2009,"Australia,7,2009"
Norway,20,2019,"Norway,20,2019"
China,55,2020,"China,55,2020"
Vanuatu,42,2013,"Vanuatu,42,2013"
Zimbabwe,60,2013,"Zimbabwe,60,2013"
Central African Republic,81,2011,"Central African Republic,81,2011"
Solomon Islands,76,2009,"Solomon Islands,76,2009"
Turkmenistan,82,2019,"Turkmenistan,82,2019"
Tunisia,78,2016,"Tunisia,78,2016"
Israel,22,2006,"Israel,22,2006"
Vietnam,80,2014,"Vietnam,80,2014"
Bhutan,83,2020,"Bhutan,83,2020"
Serbia,32,2015,"Serbia,32,2015"
Romania,42,2016,"Romania,42,2016"
Bahamas,53,2017,"Bahamas,53,2017"
Latvia,12,2010,"Latvia,12,2010"
Slovakia,8,2020,"Slovakia,8,2020"
Thailand,19,2009,"Thailand,19,2009"
Somalia,105,2018,"Somalia,105,2018"
Chad,86,2014,"Chad,86,2014"
Ecuador,87,2018,"Ecuador,87,2018"
Namibia,64,2018,"Namibia,64,2018"
Greece,18,2020,"Greece,18,2020"
Timor-Leste,56,2015,"Timor-Leste,56,2015"
San Marino,23,2013,"San Marino,23,2013"
Syria,114,2015,"Syria,114,2015"
Indonesia,68,2012,"Indonesia,68,2012"
China,56,2016,"China,56,2016"
Sri Lanka,105,2020,"Sri Lanka,105,2020"
Venezuela,37,2017,"Venezuela,37,2017"
Trinidad and Tobago,16,2011,"Trinidad and Tobago,16,2011"
Mauritania,76,2020,"Mauritania,76,2020"
Andorra,28,2012,"Andorra,28,2012"
Sudan,101,2012,"Sudan,101,2012"
Australia,4,2012,"Australia,4,2012"
Brazil,15,2016,"Brazil,15,2016"
Equatorial Guinea,89,2019,"Equatorial Guinea,89,2019"
Kiribati,75,2013,"Kiribati,75,2013"
Malawi,49,2011,"Malawi,49,2011"
Montenegro,71,2016,"Montenegro,71,2016"
Spain,5,2020,"Spain,5,2020"
Dominica,18,2007,"Dominica,18,2007"
Bosnia and Herzegovina,30,2008,"Bosnia and Herzegovina,30,2008"
Micronesia,55,2017,"Micronesia,55,2017"
Sweden,4,2016,"Sweden,4,2016"
Yemen,97,2016,"Yemen,97,2016"
Canada,6,2019,"Canada,6,2019"
Cyprus,33,2015,"Cyprus,33,2015"
Palestinian Territory,103,2008,"Palestinian Territory,103,2008"
Somalia,97,2010,"Somalia,97,2010"
Bahrain,47,2009,"Bahrain,47,2009"
Ukraine,23,2009,"Ukraine,23,2009"
Peru,57,2013,"Peru,57,2013"
